GeographyCode,KS608NI0001,KS608NI0002,KS608NI0003,KS608NI0004,KS608NI0005,KS608NI0006,KS608NI0007,KS608NI0008,KS608NI0009,KS608NI0010,KS608NI0011,KS608NI0012,KS608NI0013,KS608NI0014,KS608NI0015,KS608NI0016,KS608NI0017,KS608NI0018,KS608NI0019
N00000001,591,65,30,163,199,33,31,29,18,23,11.00,5.08,27.58,33.67,5.58,5.25,4.91,3.05,3.89
N00000002,170,16,39,18,22,21,11,20,10,13,9.41,22.94,10.59,12.94,12.35,6.47,11.76,5.88,7.65
N00000003,115,15,31,9,18,10,10,6,6,10,13.04,26.96,7.83,15.65,8.70,8.70,5.22,5.22,8.70
N00000004,310,19,48,27,42,56,25,29,29,35,6.13,15.48,8.71,13.55,18.06,8.06,9.35,9.35,11.29
N00000005,210,32,39,20,18,43,17,13,11,17,15.24,18.57,9.52,8.57,20.48,8.10,6.19,5.24,8.10
N00000006,134,11,24,10,23,33,6,13,8,6,8.21,17.91,7.46,17.16,24.63,4.48,9.70,5.97,4.48
N00000007,130,16,20,13,19,24,11,7,10,10,12.31,15.38,10.00,14.62,18.46,8.46,5.38,7.69,7.69
N00000008,162,19,37,16,26,26,10,5,13,10,11.73,22.84,9.88,16.05,16.05,6.17,3.09,8.02,6.17
N00000009,408,56,103,34,58,47,24,31,19,36,13.73,25.25,8.33,14.22,11.52,5.88,7.60,4.66,8.82
N00000010,113,11,18,4,12,25,7,14,8,14,9.73,15.93,3.54,10.62,22.12,6.19,12.39,7.08,12.39
N00000011,130,8,12,14,18,15,12,16,7,28,6.15,9.23,10.77,13.85,11.54,9.23,12.31,5.38,21.54
N00000012,132,4,6,10,14,14,14,23,15,32,3.03,4.55,7.58,10.61,10.61,10.61,17.42,11.36,24.24
N00000013,116,6,15,10,15,14,18,8,13,17,5.17,12.93,8.62,12.93,12.07,15.52,6.90,11.21,14.66
N00000014,265,7,31,24,35,36,32,36,27,37,2.64,11.70,9.06,13.21,13.58,12.08,13.58,10.19,13.96
N00000015,85,3,4,11,7,7,10,10,7,26,3.53,4.71,12.94,8.24,8.24,11.76,11.76,8.24,30.59
N00000016,98,5,12,10,14,18,7,10,7,15,5.10,12.24,10.20,14.29,18.37,7.14,10.20,7.14,15.31
N00000017,150,5,14,10,15,22,19,18,18,29,3.33,9.33,6.67,10.00,14.67,12.67,12.00,12.00,19.33
N00000018,109,6,14,6,14,14,8,12,18,17,5.50,12.84,5.50,12.84,12.84,7.34,11.01,16.51,15.60
N00000019,116,5,8,5,10,15,15,10,14,34,4.31,6.90,4.31,8.62,12.93,12.93,8.62,12.07,29.31
N00000020,88,1,4,6,16,9,10,11,6,25,1.14,4.55,6.82,18.18,10.23,11.36,12.50,6.82,28.41
N00000021,114,8,10,11,9,21,15,13,5,22,7.02,8.77,9.65,7.89,18.42,13.16,11.40,4.39,19.30
N00000022,110,1,11,4,10,14,24,16,12,18,0.91,10.00,3.64,9.09,12.73,21.82,14.55,10.91,16.36
N00000023,88,4,6,7,7,17,16,5,11,15,4.55,6.82,7.95,7.95,19.32,18.18,5.68,12.50,17.05
N00000024,281,33,57,40,34,49,18,20,14,16,11.74,20.28,14.23,12.10,17.44,6.41,7.12,4.98,5.69
N00000025,241,28,31,24,31,43,18,24,23,19,11.62,12.86,9.96,12.86,17.84,7.47,9.96,9.54,7.88
N00000026,260,36,43,31,25,44,24,17,19,21,13.85,16.54,11.92,9.62,16.92,9.23,6.54,7.31,8.08
N00000027,257,29,35,18,45,53,26,17,16,18,11.28,13.62,7.00,17.51,20.62,10.12,6.61,6.23,7.00
N00000028,123,9,11,15,26,15,12,8,16,11,7.32,8.94,12.20,21.14,12.20,9.76,6.50,13.01,8.94
N00000029,218,25,39,21,26,46,15,14,16,16,11.47,17.89,9.63,11.93,21.10,6.88,6.42,7.34,7.34
N00000030,190,14,27,22,22,48,19,16,10,12,7.37,14.21,11.58,11.58,25.26,10.00,8.42,5.26,6.32
N00000031,338,27,72,28,42,74,33,21,22,19,7.99,21.30,8.28,12.43,21.89,9.76,6.21,6.51,5.62
N00000032,174,20,31,10,22,34,22,14,11,10,11.49,17.82,5.75,12.64,19.54,12.64,8.05,6.32,5.75
N00000033,246,15,46,19,27,56,24,15,21,23,6.10,18.70,7.72,10.98,22.76,9.76,6.10,8.54,9.35
N00000034,224,28,42,17,21,36,25,18,18,19,12.50,18.75,7.59,9.38,16.07,11.16,8.04,8.04,8.48
N00000035,120,3,16,8,14,24,18,9,7,21,2.50,13.33,6.67,11.67,20.00,15.00,7.50,5.83,17.50
N00000036,174,20,28,12,27,25,22,9,15,16,11.49,16.09,6.90,15.52,14.37,12.64,5.17,8.62,9.20
N00000037,120,4,16,11,21,9,16,18,11,14,3.33,13.33,9.17,17.50,7.50,13.33,15.00,9.17,11.67
N00000038,182,17,22,11,31,35,21,18,12,15,9.34,12.09,6.04,17.03,19.23,11.54,9.89,6.59,8.24
