GeographyCode,KS401NI0001,KS401NI0002,KS401NI0003,KS401NI0004,KS401NI0005,KS401NI0006,KS401NI0007,KS401NI0008,KS401NI0009,KS401NI0010,KS401NI0011,KS401NI0012,KS401NI0013,KS401NI0014,KS401NI0015,KS401NI0016,KS401NI0017,KS401NI0018,KS401NI0019,KS401NI0020
N00000001,368,368,0,368,310,58,74,216,72,6,0,0,0,20.11,58.70,19.57,1.63,0,0,0
N00000002,147,147,0,147,141,6,68,7,46,25,1,0,0,46.26,4.76,31.29,17.01,0.68,0,0
N00000003,79,79,0,79,78,1,76,0,2,0,1,0,0,96.20,0,2.53,0,1.27,0,0
N00000004,202,202,0,202,195,7,154,43,3,0,0,0,2,76.24,21.29,1.49,0,0,0,0.99
N00000005,135,135,0,135,124,11,127,4,4,0,0,0,0,94.07,2.96,2.96,0,0,0,0
N00000006,89,89,0,89,86,3,77,8,3,0,0,0,1,86.52,8.99,3.37,0,0,0,1.12
N00000007,98,98,0,98,89,9,81,9,0,6,0,0,2,82.65,9.18,0,6.12,0,0,2.04
N00000008,153,153,0,153,138,15,28,28,69,24,4,0,0,18.30,18.30,45.10,15.69,2.61,0,0
N00000009,292,292,0,292,275,17,128,59,60,43,1,0,1,43.84,20.21,20.55,14.73,0.34,0,0.34
N00000010,90,90,0,90,86,4,64,12,14,0,0,0,0,71.11,13.33,15.56,0,0,0,0
N00000011,145,145,0,145,136,9,27,13,79,25,1,0,0,18.62,8.97,54.48,17.24,0.69,0,0
N00000012,125,125,0,125,121,4,4,12,87,22,0,0,0,3.20,9.60,69.60,17.60,0,0,0
N00000013,154,154,0,154,136,18,25,12,72,44,1,0,0,16.23,7.79,46.75,28.57,0.65,0,0
N00000014,251,251,0,251,205,46,10,41,143,57,0,0,0,3.98,16.33,56.97,22.71,0,0,0
N00000015,126,126,0,126,119,7,6,17,74,28,1,0,0,4.76,13.49,58.73,22.22,0.79,0,0
N00000016,128,128,0,128,122,6,6,5,59,58,0,0,0,4.69,3.91,46.09,45.31,0,0,0
N00000017,150,150,0,150,144,6,30,20,96,3,1,0,0,20.00,13.33,64.00,2.00,0.67,0,0
N00000018,97,97,0,97,94,3,5,44,46,1,1,0,0,5.15,45.36,47.42,1.03,1.03,0,0
N00000019,119,119,0,119,116,3,2,30,81,6,0,0,0,1.68,25.21,68.07,5.04,0,0,0
N00000020,127,127,0,127,122,5,7,16,104,0,0,0,0,5.51,12.60,81.89,0,0,0,0
N00000021,138,138,0,138,128,10,11,11,84,31,1,0,0,7.97,7.97,60.87,22.46,0.72,0,0
N00000022,129,129,0,129,126,3,11,19,99,0,0,0,0,8.53,14.73,76.74,0,0,0,0
N00000023,120,120,0,120,115,5,11,37,71,1,0,0,0,9.17,30.83,59.17,0.83,0,0,0
N00000024,178,178,0,178,174,4,161,10,5,1,0,0,1,90.45,5.62,2.81,0.56,0,0,0.56
N00000025,165,165,0,165,159,6,158,3,1,0,0,0,3,95.76,1.82,0.61,0,0,0,1.82
N00000026,161,161,0,161,151,10,146,6,5,1,0,0,3,90.68,3.73,3.11,0.62,0,0,1.86
N00000027,190,190,0,190,178,12,115,42,31,1,0,0,1,60.53,22.11,16.32,0.53,0,0,0.53
N00000028,88,88,0,88,85,3,58,5,21,4,0,0,0,65.91,5.68,23.86,4.55,0,0,0
N00000029,141,141,0,141,136,5,126,9,1,1,0,0,4,89.36,6.38,0.71,0.71,0,0,2.84
N00000030,138,138,0,138,131,7,123,9,2,1,0,0,3,89.13,6.52,1.45,0.72,0,0,2.17
N00000031,215,215,0,215,201,14,187,25,2,0,0,0,1,86.98,11.63,0.93,0,0,0,0.47
N00000032,137,137,0,137,133,4,70,64,3,0,0,0,0,51.09,46.72,2.19,0,0,0,0
N00000033,181,181,0,181,166,15,144,33,2,1,0,0,1,79.56,18.23,1.10,0.55,0,0,0.55
N00000034,164,164,0,164,158,6,99,59,3,2,1,0,0,60.37,35.98,1.83,1.22,0.61,0,0
N00000035,128,128,0,128,128,0,16,64,44,4,0,0,0,12.50,50.00,34.38,3.13,0,0,0
N00000036,135,135,0,135,134,1,37,91,5,1,0,1,0,27.41,67.41,3.70,0.74,0,0.74,0
N00000037,126,126,0,126,124,2,20,74,24,8,0,0,0,15.87,58.73,19.05,6.35,0,0,0
N00000038,142,142,0,142,138,4,92,43,6,1,0,0,0,64.79,30.28,4.23,0.70,0,0,0
N00000039,473,473,0,473,448,25,158,150,100,59,3,3,0,33.40,31.71,21.14,12.47,0.63,0.63,0
N00000040,116,116,0,116,114,2,8,29,62,17,0,0,0,6.90,25.00,53.45,14.66,0,0,0
N00000041,144,144,0,144,144,0,70,46,25,3,0,0,0,48.61,31.94,17.36,2.08,0,0,0
N00000042,128,128,0,128,126,2,70,43,14,1,0,0,0,54.69,33.59,10.94,0.78,0,0,0
N00000043,380,380,0,380,368,12,186,101,67,17,3,6,0,48.95,26.58,17.63,4.47,0.79,1.58,0
N00000044,120,120,0,120,108,12,14,74,28,4,0,0,0,11.67,61.67,23.33,3.33,0,0,0
N00000045,176,176,0,176,170,6,143,16,17,0,0,0,0,81.25,9.09,9.66,0,0,0,0
N00000046,135,135,0,135,129,6,113,18,2,0,1,0,1,83.70,13.33,1.48,0,0.74,0,0.74
N00000047,140,140,0,140,138,2,102,33,4,0,0,0,1,72.86,23.57,2.86,0,0,0,0.71
N00000048,132,132,0,132,125,7,9,26,86,11,0,0,0,6.82,19.70,65.15,8.33,0,0,0
N00000049,129,129,0,129,123,6,14,29,81,5,0,0,0,10.85,22.48,62.79,3.88,0,0,0
N00000050,142,142,0,142,135,7,68,13,60,1,0,0,0,47.89,9.15,42.25,0.70,0,0,0
N00000051,129,129,0,129,124,5,15,18,95,1,0,0,0,11.63,13.95,73.64,0.78,0,0,0
N00000052,123,123,0,123,120,3,34,23,65,1,0,0,0,27.64,18.70,52.85,0.81,0,0,0
N00000053,122,122,0,122,108,14,7,16,72,27,0,0,0,5.74,13.11,59.02,22.13,0,0,0
N00000054,117,117,0,117,111,6,7,10,100,0,0,0,0,5.98,8.55,85.47,0,0,0,0
N00000055,122,122,0,122,117,5,6,27,89,0,0,0,0,4.92,22.13,72.95,0,0,0,0
N00000056,121,121,0,121,119,2,5,12,96,8,0,0,0,4.13,9.92,79.34,6.61,0,0,0
N00000057,124,124,0,124,118,6,5,5,97,16,1,0,0,4.03,4.03,78.23,12.90,0.81,0,0
N00000058,124,124,0,124,121,3,11,7,93,11,1,0,1,8.87,5.65,75.00,8.87,0.81,0,0.81
N00000059,116,116,0,116,110,6,4,6,71,35,0,0,0,3.45,5.17,61.21,30.17,0,0,0
N00000060,185,185,0,185,180,5,6,12,136,31,0,0,0,3.24,6.49,73.51,16.76,0,0,0
N00000061,130,130,0,130,129,1,72,24,22,11,1,0,0,55.38,18.46,16.92,8.46,0.77,0,0
N00000062,138,138,0,138,130,8,126,3,6,0,1,2,0,91.30,2.17,4.35,0,0.72,1.45,0
N00000063,158,158,0,158,155,3,31,18,86,21,2,0,0,19.62,11.39,54.43,13.29,1.27,0,0
N00000064,136,136,0,136,133,3,10,19,60,46,1,0,0,7.35,13.97,44.12,33.82,0.74,0,0
N00000065,147,147,0,147,146,1,61,85,1,0,0,0,0,41.50,57.82,0.68,0,0,0,0
N00000066,116,116,0,116,110,6,46,65,5,0,0,0,0,39.66,56.03,4.31,0,0,0,0
