GeographyCode,KS613NI0001,KS613NI0002,KS613NI0003,KS613NI0004,KS613NI0005,KS613NI0006,KS613NI0007,KS613NI0008,KS613NI0009,KS613NI0010,KS613NI0011,KS613NI0012,KS613NI0013,KS613NI0014,KS613NI0015,KS613NI0016,KS613NI0017,KS613NI0018,KS613NI0019,KS613NI0020,KS613NI0021,KS613NI0022,KS613NI0023
N00000001,317,4,11,80,78,8,18,60,31,7,9,11,1.26,3.47,25.24,24.61,2.52,5.68,18.93,9.78,2.21,2.84,3.47
N00000002,123,4,8,47,23,5,1,14,9,4,2,6,3.25,6.50,38.21,18.70,4.07,0.81,11.38,7.32,3.25,1.63,4.88
N00000003,84,0,3,28,16,10,2,8,8,2,0,7,0,3.57,33.33,19.05,11.90,2.38,9.52,9.52,2.38,0,8.33
N00000004,218,2,7,53,37,21,5,40,20,3,5,25,0.92,3.21,24.31,16.97,9.63,2.29,18.35,9.17,1.38,2.29,11.47
N00000005,131,3,9,43,21,10,6,19,9,1,0,10,2.29,6.87,32.82,16.03,7.63,4.58,14.50,6.87,0.76,0,7.63
N00000006,87,1,7,20,19,5,4,18,1,4,1,7,1.15,8.05,22.99,21.84,5.75,4.60,20.69,1.15,4.60,1.15,8.05
N00000007,83,3,4,21,18,6,4,14,5,1,1,6,3.61,4.82,25.30,21.69,7.23,4.82,16.87,6.02,1.20,1.20,7.23
N00000008,110,0,7,35,24,5,2,12,9,4,2,10,0,6.36,31.82,21.82,4.55,1.82,10.91,8.18,3.64,1.82,9.09
N00000009,271,4,24,83,52,20,10,45,7,5,3,18,1.48,8.86,30.63,19.19,7.38,3.69,16.61,2.58,1.85,1.11,6.64
N00000010,87,1,2,20,19,8,3,14,8,3,1,8,1.15,2.30,22.99,21.84,9.20,3.45,16.09,9.20,3.45,1.15,9.20
N00000011,113,0,4,22,19,2,5,27,20,5,0,9,0,3.54,19.47,16.81,1.77,4.42,23.89,17.70,4.42,0,7.96
N00000012,102,1,1,16,16,1,9,29,18,2,1,8,0.98,0.98,15.69,15.69,0.98,8.82,28.43,17.65,1.96,0.98,7.84
N00000013,95,0,4,11,23,2,7,23,16,2,2,5,0,4.21,11.58,24.21,2.11,7.37,24.21,16.84,2.11,2.11,5.26
N00000014,183,1,6,39,30,8,15,52,18,7,0,7,0.55,3.28,21.31,16.39,4.37,8.20,28.42,9.84,3.83,0,3.83
N00000015,85,0,0,15,14,1,8,17,21,5,0,4,0,0,17.65,16.47,1.18,9.41,20.00,24.71,5.88,0,4.71
N00000016,83,0,2,14,18,1,4,21,16,1,3,3,0,2.41,16.87,21.69,1.20,4.82,25.30,19.28,1.20,3.61,3.61
N00000017,138,2,4,21,20,4,7,39,26,5,1,9,1.45,2.90,15.22,14.49,2.90,5.07,28.26,18.84,3.62,0.72,6.52
N00000018,82,1,3,19,14,1,4,17,15,0,1,7,1.22,3.66,23.17,17.07,1.22,4.88,20.73,18.29,0,1.22,8.54
N00000019,99,0,2,10,16,1,10,24,22,9,2,3,0,2.02,10.10,16.16,1.01,10.10,24.24,22.22,9.09,2.02,3.03
N00000020,98,0,0,15,20,0,5,27,21,5,4,1,0,0,15.31,20.41,0,5.10,27.55,21.43,5.10,4.08,1.02
N00000021,102,2,3,19,15,5,6,28,15,3,1,5,1.96,2.94,18.63,14.71,4.90,5.88,27.45,14.71,2.94,0.98,4.90
N00000022,104,0,2,17,18,0,2,32,15,8,1,9,0,1.92,16.35,17.31,0,1.92,30.77,14.42,7.69,0.96,8.65
N00000023,83,0,2,9,7,1,12,28,18,3,1,2,0,2.41,10.84,8.43,1.20,14.46,33.73,21.69,3.61,1.20,2.41
N00000024,184,2,14,57,36,13,4,23,10,0,2,23,1.09,7.61,30.98,19.57,7.07,2.17,12.50,5.43,0,1.09,12.50
N00000025,166,2,9,44,28,9,5,28,16,8,2,15,1.20,5.42,26.51,16.87,5.42,3.01,16.87,9.64,4.82,1.20,9.04
N00000026,177,2,12,57,35,13,4,16,13,4,1,20,1.13,6.78,32.20,19.77,7.34,2.26,9.04,7.34,2.26,0.56,11.30
N00000027,180,1,4,42,47,15,6,26,11,10,3,15,0.56,2.22,23.33,26.11,8.33,3.33,14.44,6.11,5.56,1.67,8.33
N00000028,90,1,2,18,23,5,5,15,7,0,1,13,1.11,2.22,20.00,25.56,5.56,5.56,16.67,7.78,0,1.11,14.44
N00000029,140,1,9,23,40,14,10,21,8,0,1,13,0.71,6.43,16.43,28.57,10.00,7.14,15.00,5.71,0,0.71,9.29
N00000030,135,2,6,39,32,8,5,24,4,2,1,12,1.48,4.44,28.89,23.70,5.93,3.70,17.78,2.96,1.48,0.74,8.89
N00000031,235,4,12,77,41,7,5,37,12,9,0,31,1.70,5.11,32.77,17.45,2.98,2.13,15.74,5.11,3.83,0,13.19
N00000032,143,0,10,43,34,8,3,20,10,2,2,11,0,6.99,30.07,23.78,5.59,2.10,13.99,6.99,1.40,1.40,7.69
N00000033,161,0,11,42,35,14,3,34,9,3,1,9,0,6.83,26.09,21.74,8.70,1.86,21.12,5.59,1.86,0.62,5.59
N00000034,167,1,4,46,33,9,5,29,14,7,2,17,0.60,2.40,27.54,19.76,5.39,2.99,17.37,8.38,4.19,1.20,10.18
N00000035,123,0,3,20,20,3,9,25,22,7,4,10,0,2.44,16.26,16.26,2.44,7.32,20.33,17.89,5.69,3.25,8.13
N00000036,136,3,7,29,26,4,3,19,19,5,3,18,2.21,5.15,21.32,19.12,2.94,2.21,13.97,13.97,3.68,2.21,13.24
N00000037,112,1,3,25,28,4,3,22,10,6,2,8,0.89,2.68,22.32,25.00,3.57,2.68,19.64,8.93,5.36,1.79,7.14
N00000038,141,1,7,38,20,13,4,32,6,6,1,13,0.71,4.96,26.95,14.18,9.22,2.84,22.70,4.26,4.26,0.71,9.22
N00000039,433,4,18,92,90,17,19,96,35,10,5,47,0.92,4.16,21.25,20.79,3.93,4.39,22.17,8.08,2.31,1.15,10.85
N00000040,109,0,1,11,27,4,4,26,19,7,1,9,0,0.92,10.09,24.77,3.67,3.67,23.85,17.43,6.42,0.92,8.26
N00000041,164,3,6,39,46,4,4,27,10,4,1,20,1.83,3.66,23.78,28.05,2.44,2.44,16.46,6.10,2.44,0.61,12.20
N00000042,157,0,6,39,31,10,8,21,15,4,4,19,0,3.82,24.84,19.75,6.37,5.10,13.38,9.55,2.55,2.55,12.10
N00000043,412,9,16,96,84,7,13,81,27,17,6,56,2.18,3.88,23.30,20.39,1.70,3.16,19.66,6.55,4.13,1.46,13.59
N00000044,112,0,1,11,29,1,4,28,13,7,2,16,0,0.89,9.82,25.89,0.89,3.57,25.00,11.61,6.25,1.79,14.29
N00000045,179,5,10,49,32,17,11,23,14,2,1,15,2.79,5.59,27.37,17.88,9.50,6.15,12.85,7.82,1.12,0.56,8.38
N00000046,131,1,8,33,29,10,1,25,9,8,0,7,0.76,6.11,25.19,22.14,7.63,0.76,19.08,6.87,6.11,0,5.34
N00000047,144,1,5,43,37,7,3,11,9,16,1,11,0.69,3.47,29.86,25.69,4.86,2.08,7.64,6.25,11.11,0.69,7.64
N00000048,124,0,1,11,18,3,5,35,30,6,3,12,0,0.81,8.87,14.52,2.42,4.03,28.23,24.19,4.84,2.42,9.68
N00000049,105,0,1,20,20,5,6,27,17,5,1,3,0,0.95,19.05,19.05,4.76,5.71,25.71,16.19,4.76,0.95,2.86
N00000050,114,2,2,34,22,8,4,15,16,4,1,6,1.75,1.75,29.82,19.30,7.02,3.51,13.16,14.04,3.51,0.88,5.26
N00000051,124,1,2,18,15,2,9,23,32,11,3,8,0.81,1.61,14.52,12.10,1.61,7.26,18.55,25.81,8.87,2.42,6.45
N00000052,114,0,2,20,17,5,8,21,17,6,4,14,0,1.75,17.54,14.91,4.39,7.02,18.42,14.91,5.26,3.51,12.28
N00000053,93,0,1,17,11,4,4,26,14,6,2,8,0,1.08,18.28,11.83,4.30,4.30,27.96,15.05,6.45,2.15,8.60
N00000054,113,0,1,22,21,2,9,23,18,9,2,6,0,0.88,19.47,18.58,1.77,7.96,20.35,15.93,7.96,1.77,5.31
N00000055,104,0,0,14,22,2,7,28,22,3,2,4,0,0,13.46,21.15,1.92,6.73,26.92,21.15,2.88,1.92,3.85
N00000056,111,0,2,12,18,0,6,32,28,6,2,5,0,1.80,10.81,16.22,0,5.41,28.83,25.23,5.41,1.80,4.50
N00000057,105,0,0,11,13,1,3,35,25,7,1,9,0,0,10.48,12.38,0.95,2.86,33.33,23.81,6.67,0.95,8.57
N00000058,104,0,1,15,17,0,5,30,18,9,3,6,0,0.96,14.42,16.35,0,4.81,28.85,17.31,8.65,2.88,5.77
N00000059,83,1,2,7,13,3,5,29,14,5,1,3,1.20,2.41,8.43,15.66,3.61,6.02,34.94,16.87,6.02,1.20,3.61
N00000060,153,0,2,22,23,3,9,51,30,6,2,5,0,1.31,14.38,15.03,1.96,5.88,33.33,19.61,3.92,1.31,3.27
N00000061,105,1,6,33,17,5,4,16,16,2,0,5,0.95,5.71,31.43,16.19,4.76,3.81,15.24,15.24,1.90,0,4.76
N00000062,147,6,6,44,29,6,4,21,11,5,0,15,4.08,4.08,29.93,19.73,4.08,2.72,14.29,7.48,3.40,0,10.20
N00000063,148,0,5,24,15,5,11,33,31,8,4,12,0,3.38,16.22,10.14,3.38,7.43,22.30,20.95,5.41,2.70,8.11
N00000064,100,0,1,14,10,1,7,29,18,16,0,4,0,1.00,14.00,10.00,1.00,7.00,29.00,18.00,16.00,0,4.00
N00000065,161,4,7,41,28,7,8,28,20,4,1,13,2.48,4.35,25.47,17.39,4.35,4.97,17.39,12.42,2.48,0.62,8.07
N00000066,111,3,7,34,28,5,5,13,9,2,0,5,2.70,6.31,30.63,25.23,4.50,4.50,11.71,8.11,1.80,0,4.50
N00000067,131,0,1,14,14,3,13,31,31,10,1,13,0,0.76,10.69,10.69,2.29,9.92,23.66,23.66,7.63,0.76,9.92
N00000068,137,4,8,39,19,10,5,17,16,3,0,16,2.92,5.84,28.47,13.87,7.30,3.65,12.41,11.68,2.19,0,11.68
N00000069,127,0,0,10,18,2,9,36,21,19,3,9,0,0,7.87,14.17,1.57,7.09,28.35,16.54,14.96,2.36,7.09
N00000070,98,5,5,31,22,4,4,9,9,2,0,7,5.10,5.10,31.63,22.45,4.08,4.08,9.18,9.18,2.04,0,7.14
N00000071,110,0,1,20,31,5,5,25,15,4,0,4,0,0.91,18.18,28.18,4.55,4.55,22.73,13.64,3.64,0,3.64
N00000072,639,8,32,172,130,32,27,117,60,13,4,44,1.25,5.01,26.92,20.34,5.01,4.23,18.31,9.39,2.03,0.63,6.89
N00000073,190,1,4,46,29,8,11,39,37,10,1,4,0.53,2.11,24.21,15.26,4.21,5.79,20.53,19.47,5.26,0.53,2.11
N00000074,388,7,26,129,85,16,16,52,24,6,5,22,1.80,6.70,33.25,21.91,4.12,4.12,13.40,6.19,1.55,1.29,5.67
N00000075,118,3,2,24,24,2,6,17,14,14,2,10,2.54,1.69,20.34,20.34,1.69,5.08,14.41,11.86,11.86,1.69,8.47
N00000076,118,1,2,41,22,4,2,20,11,1,0,14,0.85,1.69,34.75,18.64,3.39,1.69,16.95,9.32,0.85,0,11.86
N00000077,101,0,1,17,29,6,7,16,12,2,0,11,0,0.99,16.83,28.71,5.94,6.93,15.84,11.88,1.98,0,10.89
N00000078,164,3,11,49,28,5,6,36,7,3,2,14,1.83,6.71,29.88,17.07,3.05,3.66,21.95,4.27,1.83,1.22,8.54
N00000079,196,5,15,66,39,12,3,18,8,3,1,26,2.55,7.65,33.67,19.90,6.12,1.53,9.18,4.08,1.53,0.51,13.27
N00000080,148,3,14,35,47,5,5,18,6,0,0,15,2.03,9.46,23.65,31.76,3.38,3.38,12.16,4.05,0,0,10.14
N00000081,125,3,5,41,22,3,6,15,11,2,0,17,2.40,4.00,32.80,17.60,2.40,4.80,12.00,8.80,1.60,0,13.60
N00000082,126,2,10,36,27,15,4,17,4,3,1,7,1.59,7.94,28.57,21.43,11.90,3.17,13.49,3.17,2.38,0.79,5.56
N00000083,244,5,18,60,49,25,5,33,10,8,2,29,2.05,7.38,24.59,20.08,10.25,2.05,13.52,4.10,3.28,0.82,11.89
N00000084,164,6,11,47,35,11,2,21,9,8,0,14,3.66,6.71,28.66,21.34,6.71,1.22,12.80,5.49,4.88,0,8.54
N00000085,147,0,7,24,30,3,6,34,27,10,1,5,0,4.76,16.33,20.41,2.04,4.08,23.13,18.37,6.80,0.68,3.40
N00000086,137,1,4,38,25,6,1,24,18,5,2,13,0.73,2.92,27.74,18.25,4.38,0.73,17.52,13.14,3.65,1.46,9.49
N00000087,334,10,28,83,64,19,10,51,23,7,3,36,2.99,8.38,24.85,19.16,5.69,2.99,15.27,6.89,2.10,0.90,10.78
