GeographyCode,KS107NI0001,KS107NI0002,KS107NI0003,KS107NI0004,KS107NI0005,KS107NI0006,KS107NI0007,KS107NI0008,KS107NI0009,KS107NI0010,KS107NI0011,KS107NI0012,KS107NI0013,KS107NI0014,KS107NI0015,KS107NI0016,KS107NI0017,KS107NI0018,KS107NI0019,KS107NI0020,KS107NI0021
N00000001,5,3,2,0,0,0,0,0,5,3,2,0,60.00,40.00,0,0,0,0,60.00,40.00,0
N00000002,10,3,2,5,0,0,0,0,10,3,2,5,30.00,20.00,50.00,0,0,0,30.00,20.00,50.00
N00000003,1,1,0,0,0,0,0,0,1,1,0,0,100.00,0,0,0,0,0,100.00,0,0
N00000004,5,5,0,0,1,1,0,0,4,4,0,0,100.00,0,0,100.00,0,0,100.00,0,0
N00000005,3,0,3,0,1,0,1,0,2,0,2,0,0,100.00,0,0,100.00,0,0,100.00,0
N00000006,2,2,0,0,0,0,0,0,2,2,0,0,100.00,0,0,0,0,0,100.00,0,0
N00000007,4,2,1,1,0,0,0,0,4,2,1,1,50.00,25.00,25.00,0,0,0,50.00,25.00,25.00
N00000008,8,2,2,4,1,0,1,0,7,2,1,4,25.00,25.00,50.00,0,100.00,0,28.57,14.29,57.14
N00000009,19,7,10,2,1,0,1,0,18,7,9,2,36.84,52.63,10.53,0,100.00,0,38.89,50.00,11.11
N00000010,3,1,1,1,0,0,0,0,3,1,1,1,33.33,33.33,33.33,0,0,0,33.33,33.33,33.33
N00000011,3,1,1,1,1,0,1,0,2,1,0,1,33.33,33.33,33.33,0,100.00,0,50.00,0,50.00
N00000012,7,4,2,1,1,0,0,1,6,4,2,0,57.14,28.57,14.29,0,0,100.00,66.67,33.33,0
N00000013,10,3,2,5,1,0,0,1,9,3,2,4,30.00,20.00,50.00,0,0,100.00,33.33,22.22,44.44
N00000014,23,14,6,3,1,0,1,0,22,14,5,3,60.87,26.09,13.04,0,100.00,0,63.64,22.73,13.64
N00000015,6,3,1,2,1,0,0,1,5,3,1,1,50.00,16.67,33.33,0,0,100.00,60.00,20.00,20.00
N00000016,11,3,5,3,3,0,3,0,8,3,2,3,27.27,45.45,27.27,0,100.00,0,37.50,25.00,37.50
N00000017,20,12,2,6,0,0,0,0,20,12,2,6,60.00,10.00,30.00,0,0,0,60.00,10.00,30.00
N00000018,8,4,1,3,1,0,1,0,7,4,0,3,50.00,12.50,37.50,0,100.00,0,57.14,0,42.86
N00000019,13,4,2,7,1,0,1,0,12,4,1,7,30.77,15.38,53.85,0,100.00,0,33.33,8.33,58.33
N00000020,25,6,4,15,1,0,0,1,24,6,4,14,24.00,16.00,60.00,0,0,100.00,25.00,16.67,58.33
N00000021,11,4,1,6,0,0,0,0,11,4,1,6,36.36,9.09,54.55,0,0,0,36.36,9.09,54.55
N00000022,15,3,5,7,2,0,2,0,13,3,3,7,20.00,33.33,46.67,0,100.00,0,23.08,23.08,53.85
N00000023,10,6,0,4,0,0,0,0,10,6,0,4,60.00,0,40.00,0,0,0,60.00,0,40.00
N00000024,4,2,1,1,0,0,0,0,4,2,1,1,50.00,25.00,25.00,0,0,0,50.00,25.00,25.00
N00000025,2,0,2,0,0,0,0,0,2,0,2,0,0,100.00,0,0,0,0,0,100.00,0
N00000026,5,2,0,3,0,0,0,0,5,2,0,3,40.00,0,60.00,0,0,0,40.00,0,60.00
N00000027,7,2,1,4,0,0,0,0,7,2,1,4,28.57,14.29,57.14,0,0,0,28.57,14.29,57.14
N00000028,4,2,1,1,0,0,0,0,4,2,1,1,50.00,25.00,25.00,0,0,0,50.00,25.00,25.00
N00000029,4,1,2,1,2,0,2,0,2,1,0,1,25.00,50.00,25.00,0,100.00,0,50.00,0,50.00
N00000030,5,4,0,1,1,0,0,1,4,4,0,0,80.00,0,20.00,0,0,100.00,100.00,0,0
N00000031,9,1,3,5,1,0,1,0,8,1,2,5,11.11,33.33,55.56,0,100.00,0,12.50,25.00,62.50
N00000032,8,3,5,0,0,0,0,0,8,3,5,0,37.50,62.50,0,0,0,0,37.50,62.50,0
N00000033,4,1,2,1,2,0,1,1,2,1,1,0,25.00,50.00,25.00,0,50.00,50.00,50.00,50.00,0
N00000034,11,2,3,6,0,0,0,0,11,2,3,6,18.18,27.27,54.55,0,0,0,18.18,27.27,54.55
N00000035,14,6,4,4,2,0,1,1,12,6,3,3,42.86,28.57,28.57,0,50.00,50.00,50.00,25.00,25.00
N00000036,11,2,4,5,1,0,1,0,10,2,3,5,18.18,36.36,45.45,0,100.00,0,20.00,30.00,50.00
N00000037,7,3,1,3,0,0,0,0,7,3,1,3,42.86,14.29,42.86,0,0,0,42.86,14.29,42.86
N00000038,14,6,2,6,2,0,0,2,12,6,2,4,42.86,14.29,42.86,0,0,100.00,50.00,16.67,33.33
N00000039,54,30,10,14,3,0,2,1,51,30,8,13,55.56,18.52,25.93,0,66.67,33.33,58.82,15.69,25.49
N00000040,17,9,2,6,0,0,0,0,17,9,2,6,52.94,11.76,35.29,0,0,0,52.94,11.76,35.29
N00000041,14,2,4,8,1,0,0,1,13,2,4,7,14.29,28.57,57.14,0,0,100.00,15.38,30.77,53.85
N00000042,9,5,3,1,0,0,0,0,9,5,3,1,55.56,33.33,11.11,0,0,0,55.56,33.33,11.11
N00000043,43,16,10,17,5,1,1,3,38,15,9,14,37.21,23.26,39.53,20.00,20.00,60.00,39.47,23.68,36.84
N00000044,19,7,4,8,1,0,0,1,18,7,4,7,36.84,21.05,42.11,0,0,100.00,38.89,22.22,38.89
N00000045,8,4,2,2,2,0,0,2,6,4,2,0,50.00,25.00,25.00,0,0,100.00,66.67,33.33,0
N00000046,4,0,0,4,0,0,0,0,4,0,0,4,0,0,100.00,0,0,0,0,0,100.00
N00000047,5,1,3,1,1,1,0,0,4,0,3,1,20.00,60.00,20.00,100.00,0,0,0,75.00,25.00
N00000048,19,6,6,7,1,0,0,1,18,6,6,6,31.58,31.58,36.84,0,0,100.00,33.33,33.33,33.33
N00000049,13,1,4,8,5,1,1,3,8,0,3,5,7.69,30.77,61.54,20.00,20.00,60.00,0,37.50,62.50
N00000050,7,1,3,3,3,0,2,1,4,1,1,2,14.29,42.86,42.86,0,66.67,33.33,25.00,25.00,50.00
N00000051,25,12,2,11,1,0,0,1,24,12,2,10,48.00,8.00,44.00,0,0,100.00,50.00,8.33,41.67
N00000052,17,5,3,9,2,0,1,1,15,5,2,8,29.41,17.65,52.94,0,50.00,50.00,33.33,13.33,53.33
N00000053,16,7,4,5,0,0,0,0,16,7,4,5,43.75,25.00,31.25,0,0,0,43.75,25.00,31.25
N00000054,26,8,6,12,1,0,1,0,25,8,5,12,30.77,23.08,46.15,0,100.00,0,32.00,20.00,48.00
N00000055,5,1,2,2,0,0,0,0,5,1,2,2,20.00,40.00,40.00,0,0,0,20.00,40.00,40.00
N00000056,11,3,1,7,0,0,0,0,11,3,1,7,27.27,9.09,63.64,0,0,0,27.27,9.09,63.64
N00000057,23,7,2,14,1,0,0,1,22,7,2,13,30.43,8.70,60.87,0,0,100.00,31.82,9.09,59.09
N00000058,26,5,13,8,1,0,1,0,25,5,12,8,19.23,50.00,30.77,0,100.00,0,20.00,48.00,32.00
N00000059,16,5,2,9,1,0,1,0,15,5,1,9,31.25,12.50,56.25,0,100.00,0,33.33,6.67,60.00
N00000060,32,15,4,13,2,0,0,2,30,15,4,11,46.88,12.50,40.63,0,0,100.00,50.00,13.33,36.67
N00000061,2,0,1,1,0,0,0,0,2,0,1,1,0,50.00,50.00,0,0,0,0,50.00,50.00
N00000062,4,1,2,1,0,0,0,0,4,1,2,1,25.00,50.00,25.00,0,0,0,25.00,50.00,25.00
N00000063,26,7,3,16,1,0,0,1,25,7,3,15,26.92,11.54,61.54,0,0,100.00,28.00,12.00,60.00
N00000064,15,2,5,8,1,0,0,1,14,2,5,7,13.33,33.33,53.33,0,0,100.00,14.29,35.71,50.00
N00000065,7,5,1,1,0,0,0,0,7,5,1,1,71.43,14.29,14.29,0,0,0,71.43,14.29,14.29
N00000066,6,3,1,2,0,0,0,0,6,3,1,2,50.00,16.67,33.33,0,0,0,50.00,16.67,33.33
N00000067,27,7,5,15,1,1,0,0,26,6,5,15,25.93,18.52,55.56,100.00,0,0,23.08,19.23,57.69
N00000068,5,2,2,1,2,0,1,1,3,2,1,0,40.00,40.00,20.00,0,50.00,50.00,66.67,33.33,0
N00000069,34,14,1,19,0,0,0,0,34,14,1,19,41.18,2.94,55.88,0,0,0,41.18,2.94,55.88
N00000070,4,3,1,0,1,0,1,0,3,3,0,0,75.00,25.00,0,0,100.00,0,100.00,0,0
N00000071,5,2,1,2,0,0,0,0,5,2,1,2,40.00,20.00,40.00,0,0,0,40.00,20.00,40.00
N00000072,50,16,22,12,2,1,0,1,48,15,22,11,32.00,44.00,24.00,50.00,0,50.00,31.25,45.83,22.92
N00000073,17,6,8,3,0,0,0,0,17,6,8,3,35.29,47.06,17.65,0,0,0,35.29,47.06,17.65
N00000074,20,5,7,8,3,0,2,1,17,5,5,7,25.00,35.00,40.00,0,66.67,33.33,29.41,29.41,41.18
N00000075,13,3,3,7,0,0,0,0,13,3,3,7,23.08,23.08,53.85,0,0,0,23.08,23.08,53.85
N00000076,4,1,1,2,0,0,0,0,4,1,1,2,25.00,25.00,50.00,0,0,0,25.00,25.00,50.00
