GeographyCode,KS209NI0001,KS209NI0002,KS209NI0003,KS209NI0004,KS209NI0005,KS209NI0006,KS209NI0007,KS209NI0008,KS209NI0009,KS209NI0010,KS209NI0011,KS209NI0012,KS209NI0013,KS209NI0014,KS209NI0015
N00000001,1003,26,7,0,11,1,45,958,2.59,0.70,0,1.10,0.10,4.49,95.51
N00000002,332,9,8,0,25,1,43,289,2.71,2.41,0,7.53,0.30,12.95,87.05
N00000003,236,6,3,2,15,2,28,208,2.54,1.27,0.85,6.36,0.85,11.86,88.14
N00000004,595,26,12,4,19,7,68,527,4.37,2.02,0.67,3.19,1.18,11.43,88.57
N00000005,359,5,10,1,23,5,44,315,1.39,2.79,0.28,6.41,1.39,12.26,87.74
N00000006,242,15,2,3,15,4,39,203,6.20,0.83,1.24,6.20,1.65,16.12,83.88
N00000007,238,7,1,0,2,1,11,227,2.94,0.42,0,0.84,0.42,4.62,95.38
N00000008,277,6,1,0,6,1,14,263,2.17,0.36,0,2.17,0.36,5.05,94.95
N00000009,688,14,5,1,12,1,33,655,2.03,0.73,0.15,1.74,0.15,4.80,95.20
N00000010,232,1,0,2,1,0,4,228,0.43,0,0.86,0.43,0,1.72,98.28
N00000011,284,7,0,0,1,0,8,276,2.46,0,0,0.35,0,2.82,97.18
N00000012,259,12,1,0,5,1,19,240,4.63,0.39,0,1.93,0.39,7.34,92.66
N00000013,257,6,2,0,10,1,19,238,2.33,0.78,0,3.89,0.39,7.39,92.61
N00000014,444,4,8,4,10,1,27,417,0.90,1.80,0.90,2.25,0.23,6.08,93.92
N00000015,222,7,0,0,2,3,12,210,3.15,0,0,0.90,1.35,5.41,94.59
N00000016,217,6,2,0,5,1,14,203,2.76,0.92,0,2.30,0.46,6.45,93.55
N00000017,319,3,4,1,2,1,11,308,0.94,1.25,0.31,0.63,0.31,3.45,96.55
N00000018,215,1,1,0,3,0,5,210,0.47,0.47,0,1.40,0,2.33,97.67
N00000019,250,5,0,0,1,1,7,243,2.00,0,0,0.40,0.40,2.80,97.20
N00000020,221,3,0,0,3,1,7,214,1.36,0,0,1.36,0.45,3.17,96.83
N00000021,261,9,0,0,2,1,12,249,3.45,0,0,0.77,0.38,4.60,95.40
N00000022,260,5,1,2,5,2,15,245,1.92,0.38,0.77,1.92,0.77,5.77,94.23
N00000023,210,0,2,0,1,0,3,207,0,0.95,0,0.48,0,1.43,98.57
N00000024,520,8,3,0,5,1,17,503,1.54,0.58,0,0.96,0.19,3.27,96.73
N00000025,454,7,8,1,6,0,22,432,1.54,1.76,0.22,1.32,0,4.85,95.15
N00000026,448,11,0,0,8,0,19,429,2.46,0,0,1.79,0,4.24,95.76
N00000027,508,22,5,2,24,3,56,452,4.33,0.98,0.39,4.72,0.59,11.02,88.98
N00000028,233,11,4,4,16,5,40,193,4.72,1.72,1.72,6.87,2.15,17.17,82.83
N00000029,395,3,0,1,6,2,12,383,0.76,0,0.25,1.52,0.51,3.04,96.96
N00000030,364,5,3,1,12,0,21,343,1.37,0.82,0.27,3.30,0,5.77,94.23
N00000031,680,57,24,2,93,18,194,486,8.38,3.53,0.29,13.68,2.65,28.53,71.47
N00000032,371,17,1,2,12,3,35,336,4.58,0.27,0.54,3.23,0.81,9.43,90.57
N00000033,478,39,18,4,27,5,93,385,8.16,3.77,0.84,5.65,1.05,19.46,80.54
N00000034,452,22,10,2,7,4,45,407,4.87,2.21,0.44,1.55,0.88,9.96,90.04
N00000035,278,12,1,2,9,2,26,252,4.32,0.36,0.72,3.24,0.72,9.35,90.65
N00000036,327,14,4,1,5,6,30,297,4.28,1.22,0.31,1.53,1.83,9.17,90.83
N00000037,279,25,7,1,14,3,50,229,8.96,2.51,0.36,5.02,1.08,17.92,82.08
N00000038,394,25,11,1,25,9,71,323,6.35,2.79,0.25,6.35,2.28,18.02,81.98
N00000039,1187,80,49,14,91,10,244,943,6.74,4.13,1.18,7.67,0.84,20.56,79.44
N00000040,254,6,4,0,5,1,16,238,2.36,1.57,0,1.97,0.39,6.30,93.70
N00000041,439,41,11,2,45,6,105,334,9.34,2.51,0.46,10.25,1.37,23.92,76.08
N00000042,399,29,18,3,27,6,83,316,7.27,4.51,0.75,6.77,1.50,20.80,79.20
N00000043,1171,74,32,18,86,19,229,942,6.32,2.73,1.54,7.34,1.62,19.56,80.44
N00000044,298,12,5,3,12,5,37,261,4.03,1.68,1.01,4.03,1.68,12.42,87.58
N00000045,496,3,1,1,4,4,13,483,0.60,0.20,0.20,0.81,0.81,2.62,97.38
N00000046,382,1,2,0,0,0,3,379,0.26,0.52,0,0,0,0.79,99.21
N00000047,362,10,1,0,6,0,17,345,2.76,0.28,0,1.66,0,4.70,95.30
N00000048,293,4,0,0,1,0,5,288,1.37,0,0,0.34,0,1.71,98.29
N00000049,245,7,1,2,2,0,12,233,2.86,0.41,0.82,0.82,0,4.90,95.10
N00000050,292,5,2,0,0,2,9,283,1.71,0.68,0,0,0.68,3.08,96.92
N00000051,297,10,5,2,7,0,24,273,3.37,1.68,0.67,2.36,0,8.08,91.92
N00000052,296,17,4,0,10,2,33,263,5.74,1.35,0,3.38,0.68,11.15,88.85
N00000053,248,15,2,1,3,4,25,223,6.05,0.81,0.40,1.21,1.61,10.08,89.92
N00000054,249,5,0,1,4,0,10,239,2.01,0,0.40,1.61,0,4.02,95.98
N00000055,256,2,1,0,3,0,6,250,0.78,0.39,0,1.17,0,2.34,97.66
N00000056,270,4,0,0,1,1,6,264,1.48,0,0,0.37,0.37,2.22,97.78
N00000057,256,4,2,0,1,0,7,249,1.56,0.78,0,0.39,0,2.73,97.27
N00000058,244,5,0,0,1,1,7,237,2.05,0,0,0.41,0.41,2.87,97.13
N00000059,212,7,1,0,2,0,10,202,3.30,0.47,0,0.94,0,4.72,95.28
N00000060,374,7,4,0,4,2,17,357,1.87,1.07,0,1.07,0.53,4.55,95.45
N00000061,267,6,1,1,3,1,12,255,2.25,0.37,0.37,1.12,0.37,4.49,95.51
N00000062,340,6,2,0,2,3,13,327,1.76,0.59,0,0.59,0.88,3.82,96.18
N00000063,412,5,2,1,0,2,10,402,1.21,0.49,0.24,0,0.49,2.43,97.57
N00000064,271,10,2,1,7,3,23,248,3.69,0.74,0.37,2.58,1.11,8.49,91.51
