GeographyCode,KS602NI0001,KS602NI0002,KS602NI0003,KS602NI0004,KS602NI0005,KS602NI0006,KS602NI0007,KS602NI0008,KS602NI0009,KS602NI0010,KS602NI0011,KS602NI0012,KS602NI0013,KS602NI0014,KS602NI0015,KS602NI0016,KS602NI0017,KS602NI0018,KS602NI0019,KS602NI0020,KS602NI0021,KS602NI0022,KS602NI0023,KS602NI0024,KS602NI0025,KS602NI0026,KS602NI0027,KS602NI0028,KS602NI0029,KS602NI0030,KS602NI0031
N00000001,437,10,386,11,3,4,2,12,1,1,7,54,1,0,0,0,2.29,88.33,2.52,0.69,0.92,0.46,2.75,0.23,0.23,1.60,12.36,33.33,0,0,0
N00000002,126,6,65,14,6,8,12,3,0,10,2,16,1,1,1,3,4.76,51.59,11.11,4.76,6.35,9.52,2.38,0,7.94,1.59,12.70,16.67,16.67,16.67,50.00
N00000003,82,3,40,16,4,0,5,6,0,4,4,15,1,2,0,2,3.66,48.78,19.51,4.88,0,6.10,7.32,0,4.88,4.88,18.29,25.00,50.00,0,50.00
N00000004,231,15,93,62,6,9,17,18,0,8,3,42,1,2,3,2,6.49,40.26,26.84,2.60,3.90,7.36,7.79,0,3.46,1.30,18.18,16.67,33.33,50.00,33.33
N00000005,144,5,68,41,2,3,10,7,2,3,3,24,0,0,0,0,3.47,47.22,28.47,1.39,2.08,6.94,4.86,1.39,2.08,2.08,16.67,0,0,0,0
N00000006,87,3,43,22,3,4,6,2,0,4,0,13,1,1,0,1,3.45,49.43,25.29,3.45,4.60,6.90,2.30,0,4.60,0,14.94,33.33,33.33,0,33.33
N00000007,93,5,50,16,3,4,9,3,0,1,2,14,0,1,0,3,5.38,53.76,17.20,3.23,4.30,9.68,3.23,0,1.08,2.15,15.05,0,33.33,0,100.00
N00000008,119,5,57,28,8,1,9,3,1,5,2,20,3,2,1,1,4.20,47.90,23.53,6.72,0.84,7.56,2.52,0.84,4.20,1.68,16.81,37.50,25.00,12.50,12.50
N00000009,262,7,158,39,9,9,24,10,0,6,0,41,1,2,1,5,2.67,60.31,14.89,3.44,3.44,9.16,3.82,0,2.29,0,15.65,11.11,22.22,11.11,55.56
N00000010,85,4,31,24,4,3,10,6,0,3,0,10,2,0,1,2,4.71,36.47,28.24,4.71,3.53,11.76,7.06,0,3.53,0,11.76,50.00,0,25.00,50.00
N00000011,101,6,54,3,6,2,16,3,2,7,2,7,1,3,0,3,5.94,53.47,2.97,5.94,1.98,15.84,2.97,1.98,6.93,1.98,6.93,16.67,50.00,0,50.00
N00000012,105,3,60,5,2,1,24,0,1,9,0,10,1,0,1,0,2.86,57.14,4.76,1.90,0.95,22.86,0,0.95,8.57,0,9.52,50.00,0,50.00,0
N00000013,102,0,53,9,12,0,10,6,0,7,5,17,1,2,1,7,0,51.96,8.82,11.76,0,9.80,5.88,0,6.86,4.90,16.67,8.33,16.67,8.33,58.33
N00000014,176,7,104,13,10,10,15,3,0,13,1,14,3,1,1,5,3.98,59.09,7.39,5.68,5.68,8.52,1.70,0,7.39,0.57,7.95,30.00,10.00,10.00,50.00
N00000015,85,6,28,8,6,3,14,3,1,13,3,7,0,1,0,5,7.06,32.94,9.41,7.06,3.53,16.47,3.53,1.18,15.29,3.53,8.24,0,16.67,0,83.33
N00000016,89,3,42,7,7,1,14,3,1,10,1,9,1,3,1,4,3.37,47.19,7.87,7.87,1.12,15.73,3.37,1.12,11.24,1.12,10.11,14.29,42.86,14.29,57.14
N00000017,106,10,52,11,10,1,11,3,1,4,3,8,2,3,1,6,9.43,49.06,10.38,9.43,0.94,10.38,2.83,0.94,3.77,2.83,7.55,20.00,30.00,10.00,60.00
N00000018,83,4,47,4,6,4,5,5,1,1,6,8,0,2,0,2,4.82,56.63,4.82,7.23,4.82,6.02,6.02,1.20,1.20,7.23,9.64,0,33.33,0,33.33
N00000019,102,12,50,5,3,3,14,3,1,11,0,4,0,2,0,1,11.76,49.02,4.90,2.94,2.94,13.73,2.94,0.98,10.78,0,3.92,0,66.67,0,33.33
N00000020,60,4,27,1,5,0,11,0,0,8,4,6,1,2,0,1,6.67,45.00,1.67,8.33,0,18.33,0,0,13.33,6.67,10.00,20.00,40.00,0,20.00
N00000021,96,3,50,4,5,2,11,1,4,13,3,9,0,3,0,3,3.13,52.08,4.17,5.21,2.08,11.46,1.04,4.17,13.54,3.13,9.38,0,60.00,0,60.00
N00000022,87,4,40,8,4,3,9,4,2,7,6,7,1,1,0,2,4.60,45.98,9.20,4.60,3.45,10.34,4.60,2.30,8.05,6.90,8.05,25.00,25.00,0,50.00
N00000023,77,6,33,4,4,2,15,2,4,6,1,4,0,0,0,1,7.79,42.86,5.19,5.19,2.60,19.48,2.60,5.19,7.79,1.30,5.19,0,0,0,25.00
N00000024,195,6,81,53,7,10,19,12,0,6,1,37,2,1,1,4,3.08,41.54,27.18,3.59,5.13,9.74,6.15,0,3.08,0.51,18.97,28.57,14.29,14.29,57.14
N00000025,181,10,77,45,7,7,19,5,1,8,2,26,2,2,1,2,5.52,42.54,24.86,3.87,3.87,10.50,2.76,0.55,4.42,1.10,14.36,28.57,28.57,14.29,28.57
N00000026,179,5,71,46,4,10,17,14,0,7,5,31,3,1,2,0,2.79,39.66,25.70,2.23,5.59,9.50,7.82,0,3.91,2.79,17.32,75.00,25.00,50.00,0
N00000027,200,13,80,47,6,7,10,11,9,11,6,33,1,0,0,1,6.50,40.00,23.50,3.00,3.50,5.00,5.50,4.50,5.50,3.00,16.50,16.67,0,0,16.67
N00000028,94,2,46,9,11,8,7,5,1,2,3,15,4,2,2,5,2.13,48.94,9.57,11.70,8.51,7.45,5.32,1.06,2.13,3.19,15.96,36.36,18.18,18.18,45.45
N00000029,164,10,67,43,8,7,14,12,1,1,1,28,2,2,0,2,6.10,40.85,26.22,4.88,4.27,8.54,7.32,0.61,0.61,0.61,17.07,25.00,25.00,0,25.00
N00000030,142,7,56,32,7,4,14,8,1,8,5,30,4,1,1,2,4.93,39.44,22.54,4.93,2.82,9.86,5.63,0.70,5.63,3.52,21.13,57.14,14.29,14.29,28.57
N00000031,254,8,101,64,16,10,27,10,2,7,9,38,6,5,3,10,3.15,39.76,25.20,6.30,3.94,10.63,3.94,0.79,2.76,3.54,14.96,37.50,31.25,18.75,62.50
N00000032,127,1,53,25,5,4,17,10,3,7,2,12,3,1,1,1,0.79,41.73,19.69,3.94,3.15,13.39,7.87,2.36,5.51,1.57,9.45,60.00,20.00,20.00,20.00
N00000033,200,5,88,44,4,5,22,16,3,6,7,25,2,0,0,0,2.50,44.00,22.00,2.00,2.50,11.00,8.00,1.50,3.00,3.50,12.50,50.00,0,0,0
N00000034,155,6,80,25,6,5,21,2,0,7,3,36,3,2,1,2,3.87,51.61,16.13,3.87,3.23,13.55,1.29,0,4.52,1.94,23.23,50.00,33.33,16.67,33.33
N00000035,99,5,37,11,10,0,10,3,1,16,6,12,2,2,1,6,5.05,37.37,11.11,10.10,0,10.10,3.03,1.01,16.16,6.06,12.12,20.00,20.00,10.00,60.00
N00000036,124,4,60,18,11,2,10,6,1,7,5,15,4,4,2,2,3.23,48.39,14.52,8.87,1.61,8.06,4.84,0.81,5.65,4.03,12.10,36.36,36.36,18.18,18.18
N00000037,100,7,43,6,9,2,15,4,4,9,1,12,1,3,1,5,7.00,43.00,6.00,9.00,2.00,15.00,4.00,4.00,9.00,1.00,12.00,11.11,33.33,11.11,55.56
N00000038,143,4,56,26,8,13,16,8,1,9,2,16,3,1,0,4,2.80,39.16,18.18,5.59,9.09,11.19,5.59,0.70,6.29,1.40,11.19,37.50,12.50,0,50.00
N00000039,393,19,203,45,23,26,26,27,3,14,7,54,3,4,1,13,4.83,51.65,11.45,5.85,6.62,6.62,6.87,0.76,3.56,1.78,13.74,13.04,17.39,4.35,56.52
N00000040,92,7,35,8,5,1,13,6,2,13,2,5,2,0,0,2,7.61,38.04,8.70,5.43,1.09,14.13,6.52,2.17,14.13,2.17,5.43,40.00,0,0,40.00
N00000041,150,2,81,23,6,6,11,10,2,7,2,19,2,0,2,1,1.33,54.00,15.33,4.00,4.00,7.33,6.67,1.33,4.67,1.33,12.67,33.33,0,33.33,16.67
N00000042,150,5,69,22,6,9,12,11,0,11,5,13,1,2,1,1,3.33,46.00,14.67,4.00,6.00,8.00,7.33,0,7.33,3.33,8.67,16.67,33.33,16.67,16.67
N00000043,375,17,199,43,21,12,17,25,3,31,7,58,6,1,3,9,4.53,53.07,11.47,5.60,3.20,4.53,6.67,0.80,8.27,1.87,15.47,28.57,4.76,14.29,42.86
N00000044,90,2,45,10,4,4,5,5,4,8,3,10,2,0,2,0,2.22,50.00,11.11,4.44,4.44,5.56,5.56,4.44,8.89,3.33,11.11,50.00,0,50.00,0
N00000045,188,5,87,54,5,3,13,8,0,12,1,24,1,2,0,4,2.66,46.28,28.72,2.66,1.60,6.91,4.26,0,6.38,0.53,12.77,20.00,40.00,0,80.00
N00000046,151,10,50,43,9,0,14,16,0,7,2,15,1,2,3,3,6.62,33.11,28.48,5.96,0,9.27,10.60,0,4.64,1.32,9.93,11.11,22.22,33.33,33.33
N00000047,141,7,56,34,5,5,19,2,1,10,2,25,0,2,0,0,4.96,39.72,24.11,3.55,3.55,13.48,1.42,0.71,7.09,1.42,17.73,0,40.00,0,0
N00000048,100,3,42,13,5,3,16,2,6,6,4,8,2,0,0,3,3.00,42.00,13.00,5.00,3.00,16.00,2.00,6.00,6.00,4.00,8.00,40.00,0,0,60.00
N00000049,97,8,43,7,12,2,7,3,0,11,4,7,2,4,1,4,8.25,44.33,7.22,12.37,2.06,7.22,3.09,0,11.34,4.12,7.22,16.67,33.33,8.33,33.33
N00000050,118,4,61,17,6,1,16,6,0,6,1,26,3,0,1,0,3.39,51.69,14.41,5.08,0.85,13.56,5.08,0,5.08,0.85,22.03,50.00,0,16.67,0
N00000051,95,9,32,6,11,1,7,4,3,18,4,11,2,4,0,6,9.47,33.68,6.32,11.58,1.05,7.37,4.21,3.16,18.95,4.21,11.58,18.18,36.36,0,54.55
N00000052,117,5,47,7,12,2,21,2,1,16,4,11,0,3,0,6,4.27,40.17,5.98,10.26,1.71,17.95,1.71,0.85,13.68,3.42,9.40,0,25.00,0,50.00
N00000053,103,9,47,1,9,5,11,5,2,11,3,11,3,3,1,3,8.74,45.63,0.97,8.74,4.85,10.68,4.85,1.94,10.68,2.91,10.68,33.33,33.33,11.11,33.33
N00000054,80,7,38,4,8,1,11,2,1,7,1,12,2,0,0,3,8.75,47.50,5.00,10.00,1.25,13.75,2.50,1.25,8.75,1.25,15.00,25.00,0,0,37.50
N00000055,100,8,41,7,10,5,14,7,0,4,4,10,6,1,1,3,8.00,41.00,7.00,10.00,5.00,14.00,7.00,0,4.00,4.00,10.00,60.00,10.00,10.00,30.00
N00000056,108,4,50,5,13,0,16,3,1,15,1,5,3,3,1,6,3.70,46.30,4.63,12.04,0,14.81,2.78,0.93,13.89,0.93,4.63,23.08,23.08,7.69,46.15
N00000057,87,9,39,4,8,3,9,3,0,9,3,3,1,2,0,5,10.34,44.83,4.60,9.20,3.45,10.34,3.45,0,10.34,3.45,3.45,12.50,25.00,0,62.50
N00000058,87,3,50,5,6,1,6,5,1,7,3,6,3,0,2,1,3.45,57.47,5.75,6.90,1.15,6.90,5.75,1.15,8.05,3.45,6.90,50.00,0,33.33,16.67
N00000059,87,6,38,3,9,4,12,2,2,6,5,8,4,0,2,2,6.90,43.68,3.45,10.34,4.60,13.79,2.30,2.30,6.90,5.75,9.20,44.44,0,22.22,22.22
N00000060,131,16,47,6,15,0,18,8,0,16,5,10,7,2,3,5,12.21,35.88,4.58,11.45,0,13.74,6.11,0,12.21,3.82,7.63,46.67,13.33,20.00,33.33
N00000061,105,7,43,13,0,4,24,7,0,6,1,16,0,0,0,0,6.67,40.95,12.38,0,3.81,22.86,6.67,0,5.71,0.95,15.24,0,0,0,0
N00000062,125,3,64,8,6,5,26,8,0,3,2,19,4,1,1,3,2.40,51.20,6.40,4.80,4.00,20.80,6.40,0,2.40,1.60,15.20,66.67,16.67,16.67,50.00
N00000063,128,8,54,9,10,7,15,8,2,10,5,10,4,3,2,4,6.25,42.19,7.03,7.81,5.47,11.72,6.25,1.56,7.81,3.91,7.81,40.00,30.00,20.00,40.00
N00000064,106,4,34,7,13,3,12,5,2,20,6,6,1,1,2,10,3.77,32.08,6.60,12.26,2.83,11.32,4.72,1.89,18.87,5.66,5.66,7.69,7.69,15.38,76.92
N00000065,149,8,71,10,7,6,35,4,0,8,0,23,2,3,1,2,5.37,47.65,6.71,4.70,4.03,23.49,2.68,0,5.37,0,15.44,28.57,42.86,14.29,28.57
N00000066,100,7,51,11,1,4,24,1,0,1,0,16,0,1,0,1,7.00,51.00,11.00,1.00,4.00,24.00,1.00,0,1.00,0,16.00,0,100.00,0,100.00
N00000067,103,6,32,7,9,3,18,3,1,17,7,7,1,1,0,6,5.83,31.07,6.80,8.74,2.91,17.48,2.91,0.97,16.50,6.80,6.80,11.11,11.11,0,66.67
N00000068,135,12,63,17,3,8,21,4,1,5,1,15,2,1,0,0,8.89,46.67,12.59,2.22,5.93,15.56,2.96,0.74,3.70,0.74,11.11,66.67,33.33,0,0
N00000069,101,5,27,6,18,4,12,6,2,14,7,13,11,2,1,9,4.95,26.73,5.94,17.82,3.96,11.88,5.94,1.98,13.86,6.93,12.87,61.11,11.11,5.56,50.00
N00000070,86,4,41,7,2,1,21,6,0,3,1,12,0,1,0,2,4.65,47.67,8.14,2.33,1.16,24.42,6.98,0,3.49,1.16,13.95,0,50.00,0,100.00
N00000071,96,7,45,5,4,3,15,1,2,11,3,14,0,1,0,3,7.29,46.88,5.21,4.17,3.13,15.63,1.04,2.08,11.46,3.13,14.58,0,25.00,0,75.00
N00000072,605,34,366,64,33,22,30,21,3,24,8,77,12,3,7,11,5.62,60.50,10.58,5.45,3.64,4.96,3.47,0.50,3.97,1.32,12.73,36.36,9.09,21.21,33.33
N00000073,171,12,87,14,8,1,32,4,1,9,3,16,3,3,1,5,7.02,50.88,8.19,4.68,0.58,18.71,2.34,0.58,5.26,1.75,9.36,37.50,37.50,12.50,62.50
N00000074,368,21,231,38,11,9,27,12,2,9,8,42,1,1,1,3,5.71,62.77,10.33,2.99,2.45,7.34,3.26,0.54,2.45,2.17,11.41,9.09,9.09,9.09,27.27
N00000075,211,7,132,11,5,6,18,5,1,17,9,20,4,0,1,0,3.32,62.56,5.21,2.37,2.84,8.53,2.37,0.47,8.06,4.27,9.48,80.00,0,20.00,0
N00000076,115,5,75,9,1,8,8,5,0,3,1,10,0,0,0,1,4.35,65.22,7.83,0.87,6.96,6.96,4.35,0,2.61,0.87,8.70,0,0,0,100.00
N00000077,99,5,50,11,5,5,13,2,1,6,1,10,2,1,0,1,5.05,50.51,11.11,5.05,5.05,13.13,2.02,1.01,6.06,1.01,10.10,40.00,20.00,0,20.00
N00000078,157,9,101,18,1,9,10,3,1,3,2,15,0,0,0,0,5.73,64.33,11.46,0.64,5.73,6.37,1.91,0.64,1.91,1.27,9.55,0,0,0,0
N00000079,203,8,90,60,4,9,11,15,0,3,3,34,1,2,0,1,3.94,44.33,29.56,1.97,4.43,5.42,7.39,0,1.48,1.48,16.75,25.00,50.00,0,25.00
N00000080,161,8,85,27,5,3,23,8,0,2,0,33,4,0,1,1,4.97,52.80,16.77,3.11,1.86,14.29,4.97,0,1.24,0,20.50,80.00,0,20.00,20.00
N00000081,129,4,60,24,3,1,21,6,3,3,4,22,1,1,0,2,3.10,46.51,18.60,2.33,0.78,16.28,4.65,2.33,2.33,3.10,17.05,33.33,33.33,0,66.67
N00000082,131,8,53,40,3,1,12,7,0,6,1,20,2,0,0,0,6.11,40.46,30.53,2.29,0.76,9.16,5.34,0,4.58,0.76,15.27,66.67,0,0,0
N00000083,240,10,110,63,3,11,15,17,3,6,2,39,0,0,0,3,4.17,45.83,26.25,1.25,4.58,6.25,7.08,1.25,2.50,0.83,16.25,0,0,0,100.00
N00000084,170,4,71,42,4,4,25,13,0,3,4,24,3,0,1,1,2.35,41.76,24.71,2.35,2.35,14.71,7.65,0,1.76,2.35,14.12,75.00,0,25.00,25.00
N00000085,153,3,66,7,13,0,28,13,1,20,2,19,2,3,3,5,1.96,43.14,4.58,8.50,0,18.30,8.50,0.65,13.07,1.31,12.42,15.38,23.08,23.08,38.46
N00000086,142,6,63,25,9,7,10,7,1,12,2,14,3,0,0,4,4.23,44.37,17.61,6.34,4.93,7.04,4.93,0.70,8.45,1.41,9.86,33.33,0,0,44.44
N00000087,317,7,174,56,15,13,32,11,0,7,2,56,11,1,3,5,2.21,54.89,17.67,4.73,4.10,10.09,3.47,0,2.21,0.63,17.67,73.33,6.67,20.00,33.33
N00000088,73,2,32,5,5,0,16,5,0,8,0,9,2,1,0,4,2.74,43.84,6.85,6.85,0,21.92,6.85,0,10.96,0,12.33,40.00,20.00,0,80.00
N00000089,160,9,75,24,8,7,10,12,1,8,6,19,1,2,0,3,5.63,46.88,15.00,5.00,4.38,6.25,7.50,0.63,5.00,3.75,11.88,12.50,25.00,0,37.50
N00000090,136,5,70,17,8,1,17,6,1,10,1,16,4,1,0,1,3.68,51.47,12.50,5.88,0.74,12.50,4.41,0.74,7.35,0.74,11.76,50.00,12.50,0,12.50
N00000091,160,7,77,32,10,7,13,4,0,8,2,25,5,1,2,6,4.38,48.13,20.00,6.25,4.38,8.13,2.50,0,5.00,1.25,15.63,50.00,10.00,20.00,60.00
N00000092,171,7,83,34,7,3,20,7,0,10,0,23,1,1,0,2,4.09,48.54,19.88,4.09,1.75,11.70,4.09,0,5.85,0,13.45,14.29,14.29,0,28.57
N00000093,134,5,48,31,12,4,19,7,0,5,3,15,3,6,2,6,3.73,35.82,23.13,8.96,2.99,14.18,5.22,0,3.73,2.24,11.19,25.00,50.00,16.67,50.00
N00000094,177,4,84,41,7,9,21,6,0,5,0,34,2,2,3,3,2.26,47.46,23.16,3.95,5.08,11.86,3.39,0,2.82,0,19.21,28.57,28.57,42.86,42.86
N00000095,155,7,68,37,9,5,8,8,1,5,7,26,2,2,1,6,4.52,43.87,23.87,5.81,3.23,5.16,5.16,0.65,3.23,4.52,16.77,22.22,22.22,11.11,66.67
N00000096,186,10,74,36,5,10,22,10,1,15,3,34,2,1,0,2,5.38,39.78,19.35,2.69,5.38,11.83,5.38,0.54,8.06,1.61,18.28,40.00,20.00,0,40.00
N00000097,292,16,181,32,17,10,19,8,0,8,1,21,2,4,1,7,5.48,61.99,10.96,5.82,3.42,6.51,2.74,0,2.74,0.34,7.19,11.76,23.53,5.88,41.18
N00000098,439,21,285,31,17,18,26,12,2,20,7,49,5,3,1,3,4.78,64.92,7.06,3.87,4.10,5.92,2.73,0.46,4.56,1.59,11.16,29.41,17.65,5.88,17.65
N00000099,86,4,39,4,9,1,14,2,0,13,0,11,4,2,2,2,4.65,45.35,4.65,10.47,1.16,16.28,2.33,0,15.12,0,12.79,44.44,22.22,22.22,22.22
N00000100,113,2,55,10,6,5,11,4,2,11,7,12,1,0,1,4,1.77,48.67,8.85,5.31,4.42,9.73,3.54,1.77,9.73,6.19,10.62,16.67,0,16.67,66.67
N00000101,85,8,41,4,8,4,2,5,0,11,2,8,4,2,0,4,9.41,48.24,4.71,9.41,4.71,2.35,5.88,0,12.94,2.35,9.41,50.00,25.00,0,50.00
N00000102,128,9,65,10,7,5,16,9,1,6,0,15,0,2,0,4,7.03,50.78,7.81,5.47,3.91,12.50,7.03,0.78,4.69,0,11.72,0,28.57,0,57.14
N00000103,204,13,102,8,8,6,20,6,3,33,5,20,1,0,0,4,6.37,50.00,3.92,3.92,2.94,9.80,2.94,1.47,16.18,2.45,9.80,12.50,0,0,50.00
N00000104,115,7,64,9,11,1,5,3,1,11,3,8,5,1,2,2,6.09,55.65,7.83,9.57,0.87,4.35,2.61,0.87,9.57,2.61,6.96,45.45,9.09,18.18,18.18
N00000105,125,9,72,5,2,3,15,5,1,6,7,10,0,1,0,0,7.20,57.60,4.00,1.60,2.40,12.00,4.00,0.80,4.80,5.60,8.00,0,50.00,0,0
N00000106,64,2,24,4,9,2,8,2,0,12,1,2,2,2,0,7,3.13,37.50,6.25,14.06,3.13,12.50,3.13,0,18.75,1.56,3.13,22.22,22.22,0,77.78
N00000107,87,5,36,5,10,4,9,3,1,10,4,4,4,1,1,5,5.75,41.38,5.75,11.49,4.60,10.34,3.45,1.15,11.49,4.60,4.60,40.00,10.00,10.00,50.00
N00000108,85,4,48,4,4,4,12,3,0,5,1,8,2,2,0,2,4.71,56.47,4.71,4.71,4.71,14.12,3.53,0,5.88,1.18,9.41,50.00,50.00,0,50.00
N00000109,184,10,108,11,13,3,16,2,3,16,2,16,4,3,1,5,5.43,58.70,5.98,7.07,1.63,8.70,1.09,1.63,8.70,1.09,8.70,30.77,23.08,7.69,38.46
N00000110,104,2,56,7,8,3,12,6,0,6,4,6,4,1,1,2,1.92,53.85,6.73,7.69,2.88,11.54,5.77,0,5.77,3.85,5.77,50.00,12.50,12.50,25.00
N00000111,132,7,68,20,6,1,17,7,0,5,1,9,2,3,0,4,5.30,51.52,15.15,4.55,0.76,12.88,5.30,0,3.79,0.76,6.82,33.33,50.00,0,66.67
N00000112,138,14,70,12,8,9,8,9,0,5,3,11,4,0,1,2,10.14,50.72,8.70,5.80,6.52,5.80,6.52,0,3.62,2.17,7.97,50.00,0,12.50,25.00
