GeographyCode,KS609NI0001,KS609NI0002,KS609NI0003,KS609NI0004,KS609NI0005,KS609NI0006,KS609NI0007,KS609NI0008,KS609NI0009,KS609NI0010,KS609NI0011,KS609NI0012,KS609NI0013,KS609NI0014,KS609NI0015,KS609NI0016,KS609NI0017,KS609NI0018,KS609NI0019
N00000001,411,49,14,137,148,29,1,10,17,6,11.92,3.41,33.33,36.01,7.06,0.24,2.43,4.14,1.46
N00000002,92,8,20,9,5,20,3,9,10,8,8.70,21.74,9.78,5.43,21.74,3.26,9.78,10.87,8.70
N00000003,59,8,16,7,5,9,1,3,6,4,13.56,27.12,11.86,8.47,15.25,1.69,5.08,10.17,6.78
N00000004,177,14,21,19,9,50,4,9,26,25,7.91,11.86,10.73,5.08,28.25,2.26,5.08,14.69,14.12
N00000005,116,19,22,8,7,38,1,3,8,10,16.38,18.97,6.90,6.03,32.76,0.86,2.59,6.90,8.62
N00000006,71,7,9,4,7,29,0,6,6,3,9.86,12.68,5.63,9.86,40.85,0,8.45,8.45,4.23
N00000007,73,9,9,9,7,21,1,3,7,7,12.33,12.33,12.33,9.59,28.77,1.37,4.11,9.59,9.59
N00000008,91,16,14,8,5,23,4,3,12,6,17.58,15.38,8.79,5.49,25.27,4.40,3.30,13.19,6.59
N00000009,211,40,44,18,19,38,6,10,15,21,18.96,20.85,8.53,9.00,18.01,2.84,4.74,7.11,9.95
N00000010,62,6,8,3,2,24,0,4,8,7,9.68,12.90,4.84,3.23,38.71,0,6.45,12.90,11.29
N00000011,65,5,5,9,3,12,2,4,6,19,7.69,7.69,13.85,4.62,18.46,3.08,6.15,9.23,29.23
N00000012,68,2,2,6,5,13,1,10,12,17,2.94,2.94,8.82,7.35,19.12,1.47,14.71,17.65,25.00
N00000013,62,5,8,7,6,13,3,0,11,9,8.06,12.90,11.29,9.68,20.97,4.84,0,17.74,14.52
N00000014,132,2,14,13,12,30,6,13,22,20,1.52,10.61,9.85,9.09,22.73,4.55,9.85,16.67,15.15
N00000015,45,2,0,7,1,7,2,6,7,13,4.44,0,15.56,2.22,15.56,4.44,13.33,15.56,28.89
N00000016,53,4,6,6,2,15,3,5,7,5,7.55,11.32,11.32,3.77,28.30,5.66,9.43,13.21,9.43
N00000017,74,3,3,7,6,18,1,4,18,14,4.05,4.05,9.46,8.11,24.32,1.35,5.41,24.32,18.92
N00000018,59,3,4,4,6,12,1,3,14,12,5.08,6.78,6.78,10.17,20.34,1.69,5.08,23.73,20.34
N00000019,70,4,4,3,4,15,3,3,13,21,5.71,5.71,4.29,5.71,21.43,4.29,4.29,18.57,30.00
N00000020,32,0,0,4,4,7,2,1,4,10,0,0,12.50,12.50,21.88,6.25,3.13,12.50,31.25
N00000021,58,4,4,7,4,14,2,2,5,16,6.90,6.90,12.07,6.90,24.14,3.45,3.45,8.62,27.59
N00000022,53,1,3,4,3,12,2,6,12,10,1.89,5.66,7.55,5.66,22.64,3.77,11.32,22.64,18.87
N00000023,45,2,3,3,4,15,3,1,10,4,4.44,6.67,6.67,8.89,33.33,6.67,2.22,22.22,8.89
N00000024,149,19,20,25,10,45,5,6,13,6,12.75,13.42,16.78,6.71,30.20,3.36,4.03,8.72,4.03
N00000025,139,22,12,12,12,40,0,11,21,9,15.83,8.63,8.63,8.63,28.78,0,7.91,15.11,6.47
N00000026,129,25,15,12,3,37,3,6,17,11,19.38,11.63,9.30,2.33,28.68,2.33,4.65,13.18,8.53
N00000027,146,22,15,11,17,44,4,8,16,9,15.07,10.27,7.53,11.64,30.14,2.74,5.48,10.96,6.16
N00000028,62,5,5,6,9,13,2,3,14,5,8.06,8.06,9.68,14.52,20.97,3.23,4.84,22.58,8.06
N00000029,125,18,20,13,2,39,4,7,14,8,14.40,16.00,10.40,1.60,31.20,3.20,5.60,11.20,6.40
N00000030,98,9,6,11,3,42,4,5,10,8,9.18,6.12,11.22,3.06,42.86,4.08,5.10,10.20,8.16
N00000031,182,16,33,12,9,68,4,6,21,13,8.79,18.13,6.59,4.95,37.36,2.20,3.30,11.54,7.14
N00000032,82,14,5,5,2,33,4,4,10,5,17.07,6.10,6.10,2.44,40.24,4.88,4.88,12.20,6.10
N00000033,141,13,17,13,3,54,3,6,18,14,9.22,12.06,9.22,2.13,38.30,2.13,4.26,12.77,9.93
N00000034,115,16,18,9,2,35,3,6,15,11,13.91,15.65,7.83,1.74,30.43,2.61,5.22,13.04,9.57
N00000035,53,2,6,4,3,18,1,3,5,11,3.77,11.32,7.55,5.66,33.96,1.89,5.66,9.43,20.75
N00000036,84,13,11,7,7,24,1,2,11,8,15.48,13.10,8.33,8.33,28.57,1.19,2.38,13.10,9.52
N00000037,58,2,8,6,8,8,1,5,11,9,3.45,13.79,10.34,13.79,13.79,1.72,8.62,18.97,15.52
N00000038,98,13,7,3,11,31,3,7,12,11,13.27,7.14,3.06,11.22,31.63,3.06,7.14,12.24,11.22
N00000039,286,28,27,42,26,53,8,22,47,33,9.79,9.44,14.69,9.09,18.53,2.80,7.69,16.43,11.54
N00000040,51,3,2,3,6,9,1,2,16,9,5.88,3.92,5.88,11.76,17.65,1.96,3.92,31.37,17.65
N00000041,112,20,9,14,12,19,3,7,19,9,17.86,8.04,12.50,10.71,16.96,2.68,6.25,16.96,8.04
N00000042,102,9,14,9,7,20,3,5,22,13,8.82,13.73,8.82,6.86,19.61,2.94,4.90,21.57,12.75
N00000043,266,32,35,41,19,43,3,16,40,37,12.03,13.16,15.41,7.14,16.17,1.13,6.02,15.04,13.91
N00000044,58,6,3,9,6,10,1,3,13,7,10.34,5.17,15.52,10.34,17.24,1.72,5.17,22.41,12.07
N00000045,147,14,27,13,7,49,0,8,20,9,9.52,18.37,8.84,4.76,33.33,0,5.44,13.61,6.12
N00000046,103,4,11,8,6,48,0,3,11,12,3.88,10.68,7.77,5.83,46.60,0,2.91,10.68,11.65
N00000047,101,12,15,8,4,32,4,11,9,6,11.88,14.85,7.92,3.96,31.68,3.96,10.89,8.91,5.94
N00000048,61,2,2,6,0,15,1,3,19,13,3.28,3.28,9.84,0,24.59,1.64,4.92,31.15,21.31
N00000049,60,2,5,1,5,12,4,3,17,11,3.33,8.33,1.67,8.33,20.00,6.67,5.00,28.33,18.33
N00000050,83,15,14,7,3,16,0,1,17,10,18.07,16.87,8.43,3.61,19.28,0,1.20,20.48,12.05
N00000051,48,0,3,2,3,15,1,2,11,11,0,6.25,4.17,6.25,31.25,2.08,4.17,22.92,22.92
N00000052,61,4,8,7,3,16,4,5,9,5,6.56,13.11,11.48,4.92,26.23,6.56,8.20,14.75,8.20
N00000053,59,3,2,4,2,6,1,8,18,15,5.08,3.39,6.78,3.39,10.17,1.69,13.56,30.51,25.42
N00000054,49,2,3,6,3,9,3,3,10,10,4.08,6.12,12.24,6.12,18.37,6.12,6.12,20.41,20.41
N00000055,59,5,3,8,4,12,2,5,12,8,8.47,5.08,13.56,6.78,20.34,3.39,8.47,20.34,13.56
N00000056,59,1,2,1,3,23,3,1,14,11,1.69,3.39,1.69,5.08,38.98,5.08,1.69,23.73,18.64
N00000057,54,2,2,2,6,6,3,4,13,16,3.70,3.70,3.70,11.11,11.11,5.56,7.41,24.07,29.63
N00000058,59,1,6,3,5,12,2,3,16,11,1.69,10.17,5.08,8.47,20.34,3.39,5.08,27.12,18.64
N00000059,49,1,3,2,2,11,0,7,13,10,2.04,6.12,4.08,4.08,22.45,0,14.29,26.53,20.41
N00000060,69,5,3,5,5,13,3,5,13,17,7.25,4.35,7.25,7.25,18.84,4.35,7.25,18.84,24.64
N00000061,67,12,14,4,3,10,2,5,12,5,17.91,20.90,5.97,4.48,14.93,2.99,7.46,17.91,7.46
N00000062,78,13,20,9,5,10,0,7,9,5,16.67,25.64,11.54,6.41,12.82,0,8.97,11.54,6.41
N00000063,78,8,9,9,3,11,3,8,8,19,10.26,11.54,11.54,3.85,14.10,3.85,10.26,10.26,24.36
N00000064,48,4,1,3,0,11,2,5,9,13,8.33,2.08,6.25,0,22.92,4.17,10.42,18.75,27.08
N00000065,94,7,9,10,12,20,6,5,12,13,7.45,9.57,10.64,12.77,21.28,6.38,5.32,12.77,13.83
N00000066,73,2,14,9,8,12,6,5,9,8,2.74,19.18,12.33,10.96,16.44,8.22,6.85,12.33,10.96
N00000067,48,3,2,1,5,10,3,5,4,15,6.25,4.17,2.08,10.42,20.83,6.25,10.42,8.33,31.25
N00000068,98,13,17,8,6,16,1,15,13,9,13.27,17.35,8.16,6.12,16.33,1.02,15.31,13.27,9.18
N00000069,40,3,2,2,3,11,0,2,10,7,7.50,5.00,5.00,7.50,27.50,0,5.00,25.00,17.50
N00000070,53,8,4,4,6,13,5,0,8,5,15.09,7.55,7.55,11.32,24.53,9.43,0,15.09,9.43
N00000071,60,6,3,6,7,17,4,2,3,12,10.00,5.00,10.00,11.67,28.33,6.67,3.33,5.00,20.00
N00000072,479,39,67,53,41,76,17,31,81,74,8.14,13.99,11.06,8.56,15.87,3.55,6.47,16.91,15.45
N00000073,114,10,11,6,8,17,4,7,23,28,8.77,9.65,5.26,7.02,14.91,3.51,6.14,20.18,24.56
N00000074,295,23,58,28,34,65,10,17,27,33,7.80,19.66,9.49,11.53,22.03,3.39,5.76,9.15,11.19
N00000075,156,15,11,53,16,18,3,8,19,13,9.62,7.05,33.97,10.26,11.54,1.92,5.13,12.18,8.33
N00000076,95,11,12,12,7,20,2,10,6,15,11.58,12.63,12.63,7.37,21.05,2.11,10.53,6.32,15.79
N00000077,71,8,13,7,4,15,3,1,11,9,11.27,18.31,9.86,5.63,21.13,4.23,1.41,15.49,12.68
N00000078,136,13,17,17,11,27,1,11,19,20,9.56,12.50,12.50,8.09,19.85,0.74,8.09,13.97,14.71
N00000079,167,26,23,20,14,55,2,5,10,12,15.57,13.77,11.98,8.38,32.93,1.20,2.99,5.99,7.19
N00000080,122,15,28,14,15,24,1,4,6,15,12.30,22.95,11.48,12.30,19.67,0.82,3.28,4.92,12.30
N00000081,89,15,15,17,6,19,2,1,6,8,16.85,16.85,19.10,6.74,21.35,2.25,1.12,6.74,8.99
N00000082,102,22,17,8,11,22,3,4,10,5,21.57,16.67,7.84,10.78,21.57,2.94,3.92,9.80,4.90
N00000083,193,34,23,17,15,56,2,8,18,20,17.62,11.92,8.81,7.77,29.02,1.04,4.15,9.33,10.36
N00000084,121,22,16,8,9,36,0,3,16,11,18.18,13.22,6.61,7.44,29.75,0,2.48,13.22,9.09
N00000085,76,5,10,6,4,17,8,2,11,13,6.58,13.16,7.89,5.26,22.37,10.53,2.63,14.47,17.11
N00000086,100,4,12,12,10,35,2,3,10,12,4.00,12.00,12.00,10.00,35.00,2.00,3.00,10.00,12.00
N00000087,248,28,46,19,17,79,4,11,23,21,11.29,18.55,7.66,6.85,31.85,1.61,4.44,9.27,8.47
N00000088,39,3,2,4,2,16,1,1,8,2,7.69,5.13,10.26,5.13,41.03,2.56,2.56,20.51,5.13
N00000089,112,13,17,12,7,29,3,9,14,8,11.61,15.18,10.71,6.25,25.89,2.68,8.04,12.50,7.14
N00000090,93,4,16,6,11,26,5,7,9,9,4.30,17.20,6.45,11.83,27.96,5.38,7.53,9.68,9.68
N00000091,123,13,22,12,8,31,3,4,16,14,10.57,17.89,9.76,6.50,25.20,2.44,3.25,13.01,11.38
N00000092,127,14,18,16,9,36,3,5,17,9,11.02,14.17,12.60,7.09,28.35,2.36,3.94,13.39,7.09
N00000093,87,15,10,11,2,22,1,4,13,9,17.24,11.49,12.64,2.30,25.29,1.15,4.60,14.94,10.34
N00000094,137,18,25,20,11,41,3,5,11,3,13.14,18.25,14.60,8.03,29.93,2.19,3.65,8.03,2.19
N00000095,116,17,15,8,7,40,1,8,13,7,14.66,12.93,6.90,6.03,34.48,0.86,6.90,11.21,6.03
N00000096,126,22,22,12,5,37,0,9,13,6,17.46,17.46,9.52,3.97,29.37,0,7.14,10.32,4.76
N00000097,236,12,32,30,17,55,7,18,34,31,5.08,13.56,12.71,7.20,23.31,2.97,7.63,14.41,13.14
N00000098,352,32,78,26,25,64,10,17,40,60,9.09,22.16,7.39,7.10,18.18,2.84,4.83,11.36,17.05
N00000099,48,6,6,3,1,9,3,5,5,10,12.50,12.50,6.25,2.08,18.75,6.25,10.42,10.42,20.83
N00000100,70,3,4,2,9,11,4,3,20,14,4.29,5.71,2.86,12.86,15.71,5.71,4.29,28.57,20.00
N00000101,55,6,6,4,1,10,2,2,10,14,10.91,10.91,7.27,1.82,18.18,3.64,3.64,18.18,25.45
N00000102,87,8,16,4,10,16,2,11,12,8,9.20,18.39,4.60,11.49,18.39,2.30,12.64,13.79,9.20
N00000103,129,9,10,11,5,27,4,7,26,30,6.98,7.75,8.53,3.88,20.93,3.10,5.43,20.16,23.26
N00000104,80,6,6,2,8,18,6,2,16,16,7.50,7.50,2.50,10.00,22.50,7.50,2.50,20.00,20.00
N00000105,89,3,2,4,1,17,6,6,23,27,3.37,2.25,4.49,1.12,19.10,6.74,6.74,25.84,30.34
N00000106,32,0,1,1,1,8,0,2,6,13,0,3.13,3.13,3.13,25.00,0,6.25,18.75,40.63
N00000107,50,2,2,2,2,14,1,5,5,17,4.00,4.00,4.00,4.00,28.00,2.00,10.00,10.00,34.00
N00000108,60,3,9,7,5,7,4,5,7,13,5.00,15.00,11.67,8.33,11.67,6.67,8.33,11.67,21.67
N00000109,132,9,9,5,10,32,5,6,31,25,6.82,6.82,3.79,7.58,24.24,3.79,4.55,23.48,18.94
N00000110,68,4,1,5,7,16,2,5,14,14,5.88,1.47,7.35,10.29,23.53,2.94,7.35,20.59,20.59
N00000111,96,11,17,9,7,18,5,8,14,7,11.46,17.71,9.38,7.29,18.75,5.21,8.33,14.58,7.29
N00000112,103,12,4,7,6,18,1,4,28,23,11.65,3.88,6.80,5.83,17.48,0.97,3.88,27.18,22.33
N00000113,80,8,7,4,5,14,3,6,17,16,10.00,8.75,5.00,6.25,17.50,3.75,7.50,21.25,20.00
N00000114,85,6,9,11,7,15,2,1,16,18,7.06,10.59,12.94,8.24,17.65,2.35,1.18,18.82,21.18
N00000115,61,4,3,8,5,14,1,4,9,13,6.56,4.92,13.11,8.20,22.95,1.64,6.56,14.75,21.31
N00000116,61,2,7,4,3,14,3,5,16,7,3.28,11.48,6.56,4.92,22.95,4.92,8.20,26.23,11.48
N00000117,23,0,2,0,1,5,0,1,5,9,0,8.70,0,4.35,21.74,0,4.35,21.74,39.13
N00000118,84,21,20,13,2,12,1,4,4,7,25.00,23.81,15.48,2.38,14.29,1.19,4.76,4.76,8.33
N00000119,67,9,25,2,7,10,1,5,3,5,13.43,37.31,2.99,10.45,14.93,1.49,7.46,4.48,7.46
N00000120,77,22,9,7,7,14,1,5,6,6,28.57,11.69,9.09,9.09,18.18,1.30,6.49,7.79,7.79
N00000121,63,11,8,8,5,10,1,6,9,5,17.46,12.70,12.70,7.94,15.87,1.59,9.52,14.29,7.94
N00000122,136,31,24,23,11,18,6,7,7,9,22.79,17.65,16.91,8.09,13.24,4.41,5.15,5.15,6.62
N00000123,81,17,20,15,10,8,1,5,3,2,20.99,24.69,18.52,12.35,9.88,1.23,6.17,3.70,2.47
N00000124,88,16,19,8,7,19,5,4,6,4,18.18,21.59,9.09,7.95,21.59,5.68,4.55,6.82,4.55
N00000125,118,8,19,5,4,60,1,2,11,8,6.78,16.10,4.24,3.39,50.85,0.85,1.69,9.32,6.78
N00000126,104,5,13,6,3,54,2,4,11,6,4.81,12.50,5.77,2.88,51.92,1.92,3.85,10.58,5.77
N00000127,93,4,8,4,4,44,1,6,15,7,4.30,8.60,4.30,4.30,47.31,1.08,6.45,16.13,7.53
N00000128,271,26,28,10,10,123,7,8,37,22,9.59,10.33,3.69,3.69,45.39,2.58,2.95,13.65,8.12
N00000129,46,3,4,2,2,22,2,1,5,5,6.52,8.70,4.35,4.35,47.83,4.35,2.17,10.87,10.87
N00000130,134,16,13,20,17,30,2,11,17,8,11.94,9.70,14.93,12.69,22.39,1.49,8.21,12.69,5.97
N00000131,109,15,18,10,10,26,3,5,13,9,13.76,16.51,9.17,9.17,23.85,2.75,4.59,11.93,8.26
N00000132,102,5,12,6,6,51,0,5,13,4,4.90,11.76,5.88,5.88,50.00,0,4.90,12.75,3.92
N00000133,77,8,6,8,5,31,0,4,10,5,10.39,7.79,10.39,6.49,40.26,0,5.19,12.99,6.49
N00000134,121,23,11,14,19,26,1,5,15,7,19.01,9.09,11.57,15.70,21.49,0.83,4.13,12.40,5.79
N00000135,65,1,5,4,5,14,1,6,20,9,1.54,7.69,6.15,7.69,21.54,1.54,9.23,30.77,13.85
N00000136,142,14,26,19,14,29,4,11,15,10,9.86,18.31,13.38,9.86,20.42,2.82,7.75,10.56,7.04
N00000137,82,8,9,10,9,21,1,0,10,14,9.76,10.98,12.20,10.98,25.61,1.22,0,12.20,17.07
N00000138,123,17,24,10,17,30,2,4,8,11,13.82,19.51,8.13,13.82,24.39,1.63,3.25,6.50,8.94
N00000139,73,10,6,4,13,14,4,6,8,8,13.70,8.22,5.48,17.81,19.18,5.48,8.22,10.96,10.96
N00000140,76,6,13,9,9,11,4,10,7,7,7.89,17.11,11.84,11.84,14.47,5.26,13.16,9.21,9.21
N00000141,74,4,5,6,12,15,2,6,11,13,5.41,6.76,8.11,16.22,20.27,2.70,8.11,14.86,17.57
