GeographyCode,KS212NI0001,KS212NI0002,KS212NI0003,KS212NI0004,KS212NI0005,KS212NI0006,KS212NI0007,KS212NI0008,KS212NI0009
N00000001,1113,161,516,24,412,14.47,46.36,2.16,37.02
N00000002,351,235,102,3,11,66.95,29.06,0.85,3.13
N00000003,237,112,119,0,6,47.26,50.21,0,2.53
N00000004,616,320,267,0,29,51.95,43.34,0,4.71
N00000005,374,185,161,0,28,49.47,43.05,0,7.49
N00000006,251,151,87,5,8,60.16,34.66,1.99,3.19
N00000007,245,62,166,0,17,25.31,67.76,0,6.94
N00000008,288,88,162,4,34,30.56,56.25,1.39,11.81
N00000009,727,141,513,11,62,19.39,70.56,1.51,8.53
N00000010,242,30,191,0,21,12.40,78.93,0,8.68
N00000011,293,92,185,3,13,31.40,63.14,1.02,4.44
N00000012,264,84,164,2,14,31.82,62.12,0.76,5.30
N00000013,268,89,165,0,14,33.21,61.57,0,5.22
N00000014,460,180,240,2,38,39.13,52.17,0.43,8.26
N00000015,226,74,143,0,9,32.74,63.27,0,3.98
N00000016,223,51,151,0,21,22.87,67.71,0,9.42
N00000017,340,43,254,3,40,12.65,74.71,0.88,11.76
N00000018,229,27,178,2,22,11.79,77.73,0.87,9.61
N00000019,261,13,217,8,23,4.98,83.14,3.07,8.81
N00000020,236,23,191,0,22,9.75,80.93,0,9.32
N00000021,269,42,194,0,33,15.61,72.12,0,12.27
N00000022,269,36,207,1,25,13.38,76.95,0.37,9.29
N00000023,218,11,181,1,25,5.05,83.03,0.46,11.47
N00000024,533,64,430,4,35,12.01,80.68,0.75,6.57
N00000025,460,69,360,3,28,15.00,78.26,0.65,6.09
N00000026,466,102,337,1,26,21.89,72.32,0.21,5.58
N00000027,540,309,201,4,26,57.22,37.22,0.74,4.81
N00000028,236,171,52,2,11,72.46,22.03,0.85,4.66
N00000029,403,41,318,7,37,10.17,78.91,1.74,9.18
N00000030,375,76,281,5,13,20.27,74.93,1.33,3.47
N00000031,707,628,72,0,7,88.83,10.18,0,0.99
N00000032,386,226,140,0,20,58.55,36.27,0,5.18
N00000033,498,287,192,4,15,57.63,38.55,0.80,3.01
N00000034,474,186,256,6,26,39.24,54.01,1.27,5.49
N00000035,291,152,125,2,12,52.23,42.96,0.69,4.12
N00000036,345,204,115,0,26,59.13,33.33,0,7.54
N00000037,285,229,49,1,6,80.35,17.19,0.35,2.11
N00000038,406,312,81,0,13,76.85,19.95,0,3.20
N00000039,1262,1044,189,2,27,82.73,14.98,0.16,2.14
N00000040,265,199,55,0,11,75.09,20.75,0,4.15
N00000041,462,428,30,0,4,92.64,6.49,0,0.87
N00000042,410,321,79,0,10,78.29,19.27,0,2.44
N00000043,1245,1000,220,5,20,80.32,17.67,0.40,1.61
N00000044,312,222,71,1,18,71.15,22.76,0.32,5.77
N00000045,515,59,432,7,17,11.46,83.88,1.36,3.30
N00000046,394,31,336,4,23,7.87,85.28,1.02,5.84
N00000047,374,64,288,3,19,17.11,77.01,0.80,5.08
N00000048,304,53,229,1,21,17.43,75.33,0.33,6.91
N00000049,254,68,169,0,17,26.77,66.54,0,6.69
N00000050,299,61,226,2,10,20.40,75.59,0.67,3.34
N00000051,313,244,44,5,20,77.96,14.06,1.60,6.39
N00000052,309,191,97,1,20,61.81,31.39,0.32,6.47
N00000053,261,150,74,4,33,57.47,28.35,1.53,12.64
N00000054,266,50,163,4,49,18.80,61.28,1.50,18.42
N00000055,266,54,198,0,14,20.30,74.44,0,5.26
N00000056,283,68,185,0,30,24.03,65.37,0,10.60
N00000057,279,60,177,2,40,21.51,63.44,0.72,14.34
N00000058,266,53,187,3,23,19.92,70.30,1.13,8.65
N00000059,226,46,137,1,42,20.35,60.62,0.44,18.58
N00000060,394,106,256,6,26,26.90,64.97,1.52,6.60
N00000061,273,65,184,8,16,23.81,67.40,2.93,5.86
N00000062,351,83,236,4,28,23.65,67.24,1.14,7.98
N00000063,431,78,289,4,60,18.10,67.05,0.93,13.92
N00000064,279,160,85,1,33,57.35,30.47,0.36,11.83
N00000065,389,126,234,9,20,32.39,60.15,2.31,5.14
N00000066,264,114,129,7,14,43.18,48.86,2.65,5.30
N00000067,316,148,124,0,44,46.84,39.24,0,13.92
N00000068,371,91,235,7,38,24.53,63.34,1.89,10.24
N00000069,334,167,132,1,34,50.00,39.52,0.30,10.18
N00000070,243,103,133,0,7,42.39,54.73,0,2.88
N00000071,283,126,133,1,23,44.52,47.00,0.35,8.13
N00000072,1753,558,993,25,177,31.83,56.65,1.43,10.10
N00000073,521,168,289,11,53,32.25,55.47,2.11,10.17
N00000074,1047,442,508,10,87,42.22,48.52,0.96,8.31
N00000075,410,164,194,4,48,40.00,47.32,0.98,11.71
N00000076,344,150,166,3,25,43.60,48.26,0.87,7.27
N00000077,275,151,115,0,9,54.91,41.82,0,3.27
N00000078,488,223,207,8,50,45.70,42.42,1.64,10.25
N00000079,564,54,481,4,25,9.57,85.28,0.71,4.43
N00000080,424,28,358,4,34,6.60,84.43,0.94,8.02
N00000081,339,18,300,5,16,5.31,88.50,1.47,4.72
N00000082,342,31,302,2,7,9.06,88.30,0.58,2.05
N00000083,650,49,549,7,45,7.54,84.46,1.08,6.92
N00000084,456,17,405,1,33,3.73,88.82,0.22,7.24
N00000085,437,252,151,1,33,57.67,34.55,0.23,7.55
N00000086,395,324,54,0,17,82.03,13.67,0,4.30
N00000087,913,625,251,6,31,68.46,27.49,0.66,3.40
N00000088,216,37,172,0,7,17.13,79.63,0,3.24
N00000089,478,391,67,1,19,81.80,14.02,0.21,3.97
N00000090,392,322,53,2,15,82.14,13.52,0.51,3.83
N00000091,476,331,120,0,25,69.54,25.21,0,5.25
N00000092,504,61,411,6,26,12.10,81.55,1.19,5.16
N00000093,421,212,197,0,12,50.36,46.79,0,2.85
N00000094,492,206,265,3,18,41.87,53.86,0.61,3.66
N00000095,468,319,137,0,12,68.16,29.27,0,2.56
N00000096,464,74,363,4,23,15.95,78.23,0.86,4.96
N00000097,850,315,436,9,90,37.06,51.29,1.06,10.59
N00000098,1192,439,595,50,108,36.83,49.92,4.19,9.06
N00000099,258,130,104,0,24,50.39,40.31,0,9.30
N00000100,341,207,91,3,40,60.70,26.69,0.88,11.73
N00000101,282,135,95,9,43,47.87,33.69,3.19,15.25
N00000102,318,121,152,13,32,38.05,47.80,4.09,10.06
N00000103,623,233,299,12,79,37.40,47.99,1.93,12.68
N00000104,322,176,106,10,30,54.66,32.92,3.11,9.32
N00000105,327,65,232,2,28,19.88,70.95,0.61,8.56
N00000106,198,21,154,5,18,10.61,77.78,2.53,9.09
N00000107,269,43,192,2,32,15.99,71.38,0.74,11.90
N00000108,243,47,191,1,4,19.34,78.60,0.41,1.65
N00000109,512,121,336,2,53,23.63,65.63,0.39,10.35
N00000110,258,47,171,2,38,18.22,66.28,0.78,14.73
N00000111,356,137,172,13,34,38.48,48.31,3.65,9.55
N00000112,402,133,220,3,46,33.08,54.73,0.75,11.44
N00000113,309,120,152,2,35,38.83,49.19,0.65,11.33
N00000114,318,144,147,1,26,45.28,46.23,0.31,8.18
N00000115,302,140,121,6,35,46.36,40.07,1.99,11.59
N00000116,287,93,151,2,41,32.40,52.61,0.70,14.29
N00000117,168,46,104,0,18,27.38,61.90,0,10.71
N00000118,333,43,247,11,32,12.91,74.17,3.30,9.61
N00000119,289,17,246,3,23,5.88,85.12,1.04,7.96
N00000120,323,55,253,1,14,17.03,78.33,0.31,4.33
N00000121,293,29,234,7,23,9.90,79.86,2.39,7.85
N00000122,481,89,338,11,43,18.50,70.27,2.29,8.94
N00000123,351,50,287,2,12,14.25,81.77,0.57,3.42
N00000124,369,58,286,2,23,15.72,77.51,0.54,6.23
N00000125,464,375,76,2,11,80.82,16.38,0.43,2.37
N00000126,481,463,16,0,2,96.26,3.33,0,0.42
N00000127,405,335,59,4,7,82.72,14.57,0.99,1.73
N00000128,991,911,65,0,15,91.93,6.56,0,1.51
N00000129,346,326,15,0,5,94.22,4.34,0,1.45
N00000130,498,24,415,4,55,4.82,83.33,0.80,11.04
N00000131,388,14,347,4,23,3.61,89.43,1.03,5.93
N00000132,366,121,221,3,21,33.06,60.38,0.82,5.74
N00000133,322,96,214,3,9,29.81,66.46,0.93,2.80
N00000134,437,36,355,4,42,8.24,81.24,0.92,9.61
N00000135,312,48,233,1,30,15.38,74.68,0.32,9.62
N00000136,507,33,434,3,37,6.51,85.60,0.59,7.30
N00000137,315,20,261,0,34,6.35,82.86,0,10.79
N00000138,464,13,414,3,34,2.80,89.22,0.65,7.33
N00000139,301,29,243,6,23,9.63,80.73,1.99,7.64
N00000140,333,42,261,2,28,12.61,78.38,0.60,8.41
N00000141,443,35,370,11,27,7.90,83.52,2.48,6.09
N00000142,205,22,157,0,26,10.73,76.59,0,12.68
N00000143,215,20,171,4,20,9.30,79.53,1.86,9.30
N00000144,228,14,181,0,33,6.14,79.39,0,14.47
N00000145,124,10,102,3,9,8.06,82.26,2.42,7.26
N00000146,271,31,223,1,16,11.44,82.29,0.37,5.90
N00000147,227,21,173,6,27,9.25,76.21,2.64,11.89
N00000148,676,22,583,2,69,3.25,86.24,0.30,10.21
N00000149,432,10,387,5,30,2.31,89.58,1.16,6.94
N00000150,365,6,329,10,20,1.64,90.14,2.74,5.48
N00000151,283,15,237,2,29,5.30,83.75,0.71,10.25
N00000152,270,6,245,3,16,2.22,90.74,1.11,5.93
N00000153,250,13,213,1,23,5.20,85.20,0.40,9.20
N00000154,259,15,230,1,13,5.79,88.80,0.39,5.02
N00000155,337,34,266,7,30,10.09,78.93,2.08,8.90
N00000156,301,18,259,1,23,5.98,86.05,0.33,7.64
N00000157,368,53,267,11,37,14.40,72.55,2.99,10.05
N00000158,678,41,547,10,80,6.05,80.68,1.47,11.80
N00000159,221,19,172,2,28,8.60,77.83,0.90,12.67
N00000160,322,32,264,3,23,9.94,81.99,0.93,7.14
N00000161,342,18,292,3,29,5.26,85.38,0.88,8.48
N00000162,242,24,194,9,15,9.92,80.17,3.72,6.20
