GeographyCode,KS208NI0001,KS208NI0002,KS208NI0003,KS208NI0004,KS208NI0005,KS208NI0006,KS208NI0007,KS208NI0008,KS208NI0009
N00000992,265,245,6,1,13,92.45,2.26,0.38,4.91
N00000993,111,98,5,0,8,88.29,4.50,0,7.21
N00000994,470,429,7,2,32,91.28,1.49,0.43,6.81
N00000995,97,95,1,0,1,97.94,1.03,0,1.03
N00000996,123,119,4,0,0,96.75,3.25,0,0
N00000997,103,94,4,0,5,91.26,3.88,0,4.85
N00000998,127,119,3,1,4,93.70,2.36,0.79,3.15
N00000999,122,115,2,0,5,94.26,1.64,0,4.10
N00001000,129,127,1,1,0,98.45,0.78,0.78,0
N00001001,139,118,3,1,17,84.89,2.16,0.72,12.23
N00001002,431,391,12,2,26,90.72,2.78,0.46,6.03
N00001003,113,105,2,0,6,92.92,1.77,0,5.31
N00001004,143,129,3,1,10,90.21,2.10,0.70,6.99
N00001005,172,163,3,0,6,94.77,1.74,0,3.49
N00001006,148,131,7,0,10,88.51,4.73,0,6.76
N00001007,242,205,10,0,27,84.71,4.13,0,11.16
N00001008,85,73,7,0,5,85.88,8.24,0,5.88
N00001009,83,59,7,0,17,71.08,8.43,0,20.48
N00001010,124,107,6,2,9,86.29,4.84,1.61,7.26
N00001011,126,113,6,0,7,89.68,4.76,0,5.56
N00001012,128,117,6,1,4,91.41,4.69,0.78,3.13
N00001013,98,89,5,0,4,90.82,5.10,0,4.08
N00001014,107,96,5,0,6,89.72,4.67,0,5.61
N00001015,144,129,7,1,7,89.58,4.86,0.69,4.86
N00001016,100,77,10,1,12,77.00,10.00,1.00,12.00
N00001017,118,102,6,1,9,86.44,5.08,0.85,7.63
N00001018,115,98,11,1,5,85.22,9.57,0.87,4.35
N00001019,76,68,0,0,8,89.47,0,0,10.53
N00001020,94,82,3,1,8,87.23,3.19,1.06,8.51
N00001021,83,73,2,1,7,87.95,2.41,1.20,8.43
N00001022,272,228,16,0,28,83.82,5.88,0,10.29
N00001023,94,81,6,0,7,86.17,6.38,0,7.45
N00001024,149,118,10,1,20,79.19,6.71,0.67,13.42
N00001025,101,81,7,0,13,80.20,6.93,0,12.87
N00001026,103,82,2,1,18,79.61,1.94,0.97,17.48
N00001027,158,134,9,0,15,84.81,5.70,0,9.49
N00001028,118,117,0,0,1,99.15,0,0,0.85
N00001029,241,218,11,1,11,90.46,4.56,0.41,4.56
N00001030,177,160,6,3,8,90.40,3.39,1.69,4.52
N00001031,145,132,6,1,6,91.03,4.14,0.69,4.14
N00001032,106,103,1,0,2,97.17,0.94,0,1.89
N00001033,110,108,1,0,1,98.18,0.91,0,0.91
N00001034,143,138,2,1,2,96.50,1.40,0.70,1.40
N00001035,112,107,1,1,3,95.54,0.89,0.89,2.68
N00001036,193,179,4,2,8,92.75,2.07,1.04,4.15
N00001037,136,130,2,0,4,95.59,1.47,0,2.94
N00001038,271,263,5,1,2,97.05,1.85,0.37,0.74
N00001039,141,141,0,0,0,100.00,0,0,0
N00001040,117,116,1,0,0,99.15,0.85,0,0
N00001041,108,108,0,0,0,100.00,0,0,0
N00001042,295,288,2,0,5,97.63,0.68,0,1.69
N00001043,116,116,0,0,0,100.00,0,0,0
N00001044,152,141,2,1,8,92.76,1.32,0.66,5.26
N00001045,116,114,1,0,1,98.28,0.86,0,0.86
N00001046,113,112,0,0,1,99.12,0,0,0.88
N00001047,127,123,3,0,1,96.85,2.36,0,0.79
N00001048,128,128,0,0,0,100.00,0,0,0
