GeographyCode,KS604NI0001,KS604NI0002,KS604NI0003,KS604NI0004,KS604NI0005,KS604NI0006,KS604NI0007,KS604NI0008,KS604NI0009,KS604NI0010,KS604NI0011,KS604NI0012,KS604NI0013,KS604NI0014,KS604NI0015,KS604NI0016,KS604NI0017,KS604NI0018,KS604NI0019,KS604NI0020,KS604NI0021,KS604NI0022,KS604NI0023,KS604NI0024,KS604NI0025,KS604NI0026,KS604NI0027
N00000001,591,24,73,349,145,411,2,14,260,135,180,22,59,89,10,4.06,12.35,59.05,24.53,0.49,3.41,63.26,32.85,12.22,32.78,49.44,5.56
N00000002,170,14,31,104,21,92,6,9,60,17,78,8,22,44,4,8.24,18.24,61.18,12.35,6.52,9.78,65.22,18.48,10.26,28.21,56.41,5.13
N00000003,115,11,20,69,15,59,3,4,40,12,56,8,16,29,3,9.57,17.39,60.00,13.04,5.08,6.78,67.80,20.34,14.29,28.57,51.79,5.36
N00000004,310,47,48,163,52,177,15,14,102,46,133,32,34,61,6,15.16,15.48,52.58,16.77,8.47,7.91,57.63,25.99,24.06,25.56,45.86,4.51
N00000005,210,14,34,131,31,116,3,10,77,26,94,11,24,54,5,6.67,16.19,62.38,14.76,2.59,8.62,66.38,22.41,11.70,25.53,57.45,5.32
N00000006,134,10,31,74,19,71,3,7,44,17,63,7,24,30,2,7.46,23.13,55.22,14.18,4.23,9.86,61.97,23.94,11.11,38.10,47.62,3.17
N00000007,130,11,17,84,18,73,5,3,51,14,57,6,14,33,4,8.46,13.08,64.62,13.85,6.85,4.11,69.86,19.18,10.53,24.56,57.89,7.02
N00000008,162,8,22,101,31,91,2,9,56,24,71,6,13,45,7,4.94,13.58,62.35,19.14,2.20,9.89,61.54,26.37,8.45,18.31,63.38,9.86
N00000009,408,20,77,245,66,211,4,16,138,53,197,16,61,107,13,4.90,18.87,60.05,16.18,1.90,7.58,65.40,25.12,8.12,30.96,54.31,6.60
N00000010,113,8,23,66,16,62,2,6,41,13,51,6,17,25,3,7.08,20.35,58.41,14.16,3.23,9.68,66.13,20.97,11.76,33.33,49.02,5.88
N00000011,130,12,28,82,8,65,4,4,53,4,65,8,24,29,4,9.23,21.54,63.08,6.15,6.15,6.15,81.54,6.15,12.31,36.92,44.62,6.15
N00000012,132,14,29,84,5,68,0,3,60,5,64,14,26,24,0,10.61,21.97,63.64,3.79,0,4.41,88.24,7.35,21.88,40.63,37.50,0
N00000013,116,5,20,87,4,62,1,2,55,4,54,4,18,32,0,4.31,17.24,75.00,3.45,1.61,3.23,88.71,6.45,7.41,33.33,59.26,0
N00000014,265,12,59,184,10,132,5,10,109,8,133,7,49,75,2,4.53,22.26,69.43,3.77,3.79,7.58,82.58,6.06,5.26,36.84,56.39,1.50
N00000015,85,8,22,51,4,45,5,5,31,4,40,3,17,20,0,9.41,25.88,60.00,4.71,11.11,11.11,68.89,8.89,7.50,42.50,50.00,0
N00000016,98,3,17,72,6,53,1,2,45,5,45,2,15,27,1,3.06,17.35,73.47,6.12,1.89,3.77,84.91,9.43,4.44,33.33,60.00,2.22
N00000017,150,18,32,92,8,74,4,8,55,7,76,14,24,37,1,12.00,21.33,61.33,5.33,5.41,10.81,74.32,9.46,18.42,31.58,48.68,1.32
N00000018,109,7,17,75,10,59,4,5,43,7,50,3,12,32,3,6.42,15.60,68.81,9.17,6.78,8.47,72.88,11.86,6.00,24.00,64.00,6.00
N00000019,116,10,24,75,7,70,6,9,51,4,46,4,15,24,3,8.62,20.69,64.66,6.03,8.57,12.86,72.86,5.71,8.70,32.61,52.17,6.52
N00000020,88,2,26,57,3,32,1,3,26,2,56,1,23,31,1,2.27,29.55,64.77,3.41,3.13,9.38,81.25,6.25,1.79,41.07,55.36,1.79
N00000021,114,10,17,82,5,58,2,1,52,3,56,8,16,30,2,8.77,14.91,71.93,4.39,3.45,1.72,89.66,5.17,14.29,28.57,53.57,3.57
N00000022,110,5,30,67,8,53,3,5,38,7,57,2,25,29,1,4.55,27.27,60.91,7.27,5.66,9.43,71.70,13.21,3.51,43.86,50.88,1.75
N00000023,88,10,22,49,7,45,4,4,31,6,43,6,18,18,1,11.36,25.00,55.68,7.95,8.89,8.89,68.89,13.33,13.95,41.86,41.86,2.33
N00000024,281,26,60,151,44,149,3,18,93,35,132,23,42,58,9,9.25,21.35,53.74,15.66,2.01,12.08,62.42,23.49,17.42,31.82,43.94,6.82
N00000025,241,28,39,137,37,139,7,17,85,30,102,21,22,52,7,11.62,16.18,56.85,15.35,5.04,12.23,61.15,21.58,20.59,21.57,50.98,6.86
N00000026,260,28,46,145,41,129,6,7,84,32,131,22,39,61,9,10.77,17.69,55.77,15.77,4.65,5.43,65.12,24.81,16.79,29.77,46.56,6.87
N00000027,257,18,54,142,43,146,8,16,87,35,111,10,38,55,8,7.00,21.01,55.25,16.73,5.48,10.96,59.59,23.97,9.01,34.23,49.55,7.21
N00000028,123,13,23,76,11,62,6,2,44,10,61,7,21,32,1,10.57,18.70,61.79,8.94,9.68,3.23,70.97,16.13,11.48,34.43,52.46,1.64
N00000029,218,27,43,111,37,125,8,9,77,31,93,19,34,34,6,12.39,19.72,50.92,16.97,6.40,7.20,61.60,24.80,20.43,36.56,36.56,6.45
N00000030,190,12,40,109,29,98,0,9,64,25,92,12,31,45,4,6.32,21.05,57.37,15.26,0,9.18,65.31,25.51,13.04,33.70,48.91,4.35
N00000031,338,28,54,215,41,182,9,9,125,39,156,19,45,90,2,8.28,15.98,63.61,12.13,4.95,4.95,68.68,21.43,12.18,28.85,57.69,1.28
N00000032,174,9,35,113,17,82,3,4,60,15,92,6,31,53,2,5.17,20.11,64.94,9.77,3.66,4.88,73.17,18.29,6.52,33.70,57.61,2.17
N00000033,246,12,42,153,39,141,3,7,98,33,105,9,35,55,6,4.88,17.07,62.20,15.85,2.13,4.96,69.50,23.40,8.57,33.33,52.38,5.71
N00000034,224,19,43,146,16,115,5,9,88,13,109,14,34,58,3,8.48,19.20,65.18,7.14,4.35,7.83,76.52,11.30,12.84,31.19,53.21,2.75
N00000035,120,5,28,81,6,53,1,4,44,4,67,4,24,37,2,4.17,23.33,67.50,5.00,1.89,7.55,83.02,7.55,5.97,35.82,55.22,2.99
N00000036,174,11,24,129,10,84,2,4,69,9,90,9,20,60,1,6.32,13.79,74.14,5.75,2.38,4.76,82.14,10.71,10.00,22.22,66.67,1.11
N00000037,120,13,26,73,8,58,3,5,43,7,62,10,21,30,1,10.83,21.67,60.83,6.67,5.17,8.62,74.14,12.07,16.13,33.87,48.39,1.61
