GeographyCode,KS102NI0001,KS102NI0002,KS102NI0003,KS102NI0004,KS102NI0005,KS102NI0006,KS102NI0007,KS102NI0008,KS102NI0009,KS102NI0010,KS102NI0011,KS102NI0012,KS102NI0013,KS102NI0014,KS102NI0015,KS102NI0016,KS102NI0017,KS102NI0018,KS102NI0019,KS102NI0020,KS102NI0021,KS102NI0022,KS102NI0023,KS102NI0024,KS102NI0025,KS102NI0026,KS102NI0027,KS102NI0028,KS102NI0029,KS102NI0030,KS102NI0031,KS102NI0032,KS102NI0033,KS102NI0034,KS102NI0035
N00000001,1113,177,85,34,55,5,16,10,140,208,344,32,3,1,2,1,0,22.69,25,15.90,7.64,3.05,4.94,0.45,1.44,0.90,12.58,18.69,30.91,2.88,0.27,0.09,0.18,0.09,0
N00000002,351,29,16,13,21,3,8,7,12,19,85,64,21,33,16,3,1,37.62,38,8.26,4.56,3.70,5.98,0.85,2.28,1.99,3.42,5.41,24.22,18.23,5.98,9.40,4.56,0.85,0.28
N00000003,237,5,5,10,33,5,9,3,6,6,43,66,13,20,10,2,1,39.59,43,2.11,2.11,4.22,13.92,2.11,3.80,1.27,2.53,2.53,18.14,27.85,5.49,8.44,4.22,0.84,0.42
N00000004,616,33,18,21,62,16,27,21,37,25,109,157,36,37,15,1,1,35.70,38,5.36,2.92,3.41,10.06,2.60,4.38,3.41,6.01,4.06,17.69,25.49,5.84,6.01,2.44,0.16,0.16
N00000005,374,26,19,10,30,8,11,9,23,21,82,77,25,27,5,1,0,35.19,39,6.95,5.08,2.67,8.02,2.14,2.94,2.41,6.15,5.61,21.93,20.59,6.68,7.22,1.34,0.27,0
N00000006,251,15,9,6,20,3,6,6,10,18,52,52,15,15,11,8,5,39.83,40,5.98,3.59,2.39,7.97,1.20,2.39,2.39,3.98,7.17,20.72,20.72,5.98,5.98,4.38,3.19,1.99
N00000007,245,12,8,8,18,5,8,4,15,8,52,60,11,18,15,2,1,39.68,41,4.90,3.27,3.27,7.35,2.04,3.27,1.63,6.12,3.27,21.22,24.49,4.49,7.35,6.12,0.82,0.41
N00000008,288,15,7,8,10,4,4,5,20,21,71,69,18,21,14,1,0,39.60,40,5.21,2.43,2.78,3.47,1.39,1.39,1.74,6.94,7.29,24.65,23.96,6.25,7.29,4.86,0.35,0
N00000009,727,63,32,22,40,6,15,16,32,63,219,118,32,38,23,5,3,34.50,33,8.67,4.40,3.03,5.50,0.83,2.06,2.20,4.40,8.67,30.12,16.23,4.40,5.23,3.16,0.69,0.41
N00000010,242,17,13,6,13,1,7,6,15,19,35,51,17,22,18,2,0,39.25,41,7.02,5.37,2.48,5.37,0.41,2.89,2.48,6.20,7.85,14.46,21.07,7.02,9.09,7.44,0.83,0
N00000011,293,14,4,3,17,4,5,7,16,16,50,65,16,39,22,11,4,45.58,46,4.78,1.37,1.02,5.80,1.37,1.71,2.39,5.46,5.46,17.06,22.18,5.46,13.31,7.51,3.75,1.37
N00000012,264,9,8,4,17,4,5,7,12,13,60,45,19,46,11,3,1,43.28,43,3.41,3.03,1.52,6.44,1.52,1.89,2.65,4.55,4.92,22.73,17.05,7.20,17.42,4.17,1.14,0.38
N00000013,268,18,7,2,12,2,7,2,18,20,49,51,18,32,20,8,2,43.49,44,6.72,2.61,0.75,4.48,0.75,2.61,0.75,6.72,7.46,18.28,19.03,6.72,11.94,7.46,2.99,0.75
N00000014,460,31,14,7,23,3,10,5,38,57,111,77,25,36,20,2,1,37.42,36,6.74,3.04,1.52,5.00,0.65,2.17,1.09,8.26,12.39,24.13,16.74,5.43,7.83,4.35,0.43,0.22
N00000015,226,5,4,6,12,4,4,6,10,8,43,43,17,39,19,5,1,46.80,51,2.21,1.77,2.65,5.31,1.77,1.77,2.65,4.42,3.54,19.03,19.03,7.52,17.26,8.41,2.21,0.44
N00000016,223,7,2,4,16,3,4,2,14,17,42,53,14,26,15,1,3,43.54,45,3.14,0.90,1.79,7.17,1.35,1.79,0.90,6.28,7.62,18.83,23.77,6.28,11.66,6.73,0.45,1.35
N00000017,340,30,16,12,26,4,6,10,28,20,71,62,16,31,7,1,0,34.01,33,8.82,4.71,3.53,7.65,1.18,1.76,2.94,8.24,5.88,20.88,18.24,4.71,9.12,2.06,0.29,0
N00000018,229,26,4,3,10,5,6,8,18,10,53,41,12,17,11,4,1,36.93,36,11.35,1.75,1.31,4.37,2.18,2.62,3.49,7.86,4.37,23.14,17.90,5.24,7.42,4.80,1.75,0.44
N00000019,261,16,5,6,16,6,4,11,15,15,52,50,19,35,10,1,0,39.74,40,6.13,1.92,2.30,6.13,2.30,1.53,4.21,5.75,5.75,19.92,19.16,7.28,13.41,3.83,0.38,0
N00000020,236,27,15,7,13,4,0,2,19,15,52,37,13,20,9,3,0,34.80,33,11.44,6.36,2.97,5.51,1.69,0,0.85,8.05,6.36,22.03,15.68,5.51,8.47,3.81,1.27,0
N00000021,269,16,10,7,16,5,3,3,18,21,59,51,15,28,14,2,1,39.37,39,5.95,3.72,2.60,5.95,1.86,1.12,1.12,6.69,7.81,21.93,18.96,5.58,10.41,5.20,0.74,0.37
N00000022,269,15,9,3,18,2,11,7,23,13,47,51,13,26,25,4,2,41.01,40,5.58,3.35,1.12,6.69,0.74,4.09,2.60,8.55,4.83,17.47,18.96,4.83,9.67,9.29,1.49,0.74
N00000023,218,11,6,3,12,2,2,5,10,15,46,36,11,35,17,5,2,44.43,43,5.05,2.75,1.38,5.50,0.92,0.92,2.29,4.59,6.88,21.10,16.51,5.05,16.06,7.80,2.29,0.92
N00000024,533,31,27,17,47,9,22,15,19,24,121,118,25,35,20,0,3,36.15,38,5.82,5.07,3.19,8.82,1.69,4.13,2.81,3.56,4.50,22.70,22.14,4.69,6.57,3.75,0,0.56
N00000025,460,10,14,12,39,14,10,8,28,23,68,138,30,42,17,5,2,40.88,45,2.17,3.04,2.61,8.48,3.04,2.17,1.74,6.09,5.00,14.78,30.00,6.52,9.13,3.70,1.09,0.43
N00000026,466,32,9,7,27,8,19,19,32,24,82,129,15,36,20,6,1,38.81,42,6.87,1.93,1.50,5.79,1.72,4.08,4.08,6.87,5.15,17.60,27.68,3.22,7.73,4.29,1.29,0.21
N00000027,540,56,22,10,39,12,20,12,32,40,112,105,26,33,19,2,0,34.02,34,10.37,4.07,1.85,7.22,2.22,3.70,2.22,5.93,7.41,20.74,19.44,4.81,6.11,3.52,0.37,0
N00000028,236,5,10,10,19,4,12,10,16,9,41,65,14,17,4,0,0,36.90,41,2.12,4.24,4.24,8.05,1.69,5.08,4.24,6.78,3.81,17.37,27.54,5.93,7.20,1.69,0,0
N00000029,403,19,15,10,27,9,16,12,29,20,76,85,26,40,17,1,1,38.45,40,4.71,3.72,2.48,6.70,2.23,3.97,2.98,7.20,4.96,18.86,21.09,6.45,9.93,4.22,0.25,0.25
N00000030,375,21,20,5,22,2,11,11,27,18,55,90,21,44,18,6,4,40.52,44,5.60,5.33,1.33,5.87,0.53,2.93,2.93,7.20,4.80,14.67,24.00,5.60,11.73,4.80,1.60,1.07
N00000031,707,57,24,21,68,21,21,15,55,36,133,141,43,45,22,3,2,34.63,34,8.06,3.39,2.97,9.62,2.97,2.97,2.12,7.78,5.09,18.81,19.94,6.08,6.36,3.11,0.42,0.28
N00000032,386,25,14,13,36,5,11,7,24,27,70,77,15,39,17,4,2,37.36,39,6.48,3.63,3.37,9.33,1.30,2.85,1.81,6.22,6.99,18.13,19.95,3.89,10.10,4.40,1.04,0.52
N00000033,498,41,24,17,25,8,17,9,30,29,102,98,29,47,14,5,3,37.01,37,8.23,4.82,3.41,5.02,1.61,3.41,1.81,6.02,5.82,20.48,19.68,5.82,9.44,2.81,1.00,0.60
N00000034,474,39,24,10,26,2,11,7,32,19,104,78,25,46,27,16,8,40.44,40,8.23,5.06,2.11,5.49,0.42,2.32,1.48,6.75,4.01,21.94,16.46,5.27,9.70,5.70,3.38,1.69
N00000035,291,22,13,4,12,1,5,11,23,29,64,56,15,19,11,1,5,37.25,35,7.56,4.47,1.37,4.12,0.34,1.72,3.78,7.90,9.97,21.99,19.24,5.15,6.53,3.78,0.34,1.72
N00000036,345,26,12,5,18,5,7,11,30,22,69,93,8,20,15,1,3,37.30,37,7.54,3.48,1.45,5.22,1.45,2.03,3.19,8.70,6.38,20.00,26.96,2.32,5.80,4.35,0.29,0.87
N00000037,285,18,10,5,13,3,9,3,14,21,51,59,22,33,22,0,2,41.78,44,6.32,3.51,1.75,4.56,1.05,3.16,1.05,4.91,7.37,17.89,20.70,7.72,11.58,7.72,0,0.70
N00000038,406,27,15,13,38,6,14,14,30,13,60,95,19,39,19,3,1,37.67,41,6.65,3.69,3.20,9.36,1.48,3.45,3.45,7.39,3.20,14.78,23.40,4.68,9.61,4.68,0.74,0.25
N00000039,1262,119,66,49,111,23,43,36,81,77,312,194,32,51,54,8,6,32.09,31,9.43,5.23,3.88,8.80,1.82,3.41,2.85,6.42,6.10,24.72,15.37,2.54,4.04,4.28,0.63,0.48
N00000040,265,18,12,8,15,3,11,8,14,22,62,45,13,26,7,1,0,35.66,35,6.79,4.53,3.02,5.66,1.13,4.15,3.02,5.28,8.30,23.40,16.98,4.91,9.81,2.64,0.38,0
N00000041,462,36,19,19,50,17,17,11,30,23,116,92,7,18,7,0,0,30.90,31,7.79,4.11,4.11,10.82,3.68,3.68,2.38,6.49,4.98,25.11,19.91,1.52,3.90,1.52,0,0
N00000042,410,24,19,17,31,4,16,18,41,24,68,105,14,21,7,1,0,33.68,34,5.85,4.63,4.15,7.56,0.98,3.90,4.39,10.00,5.85,16.59,25.61,3.41,5.12,1.71,0.24,0
N00000043,1245,123,74,57,134,16,53,29,67,58,315,198,34,33,42,9,3,30.56,30,9.88,5.94,4.58,10.76,1.29,4.26,2.33,5.38,4.66,25.30,15.90,2.73,2.65,3.37,0.72,0.24
N00000044,312,20,16,10,40,3,10,15,21,18,58,47,16,17,16,2,3,33.93,31,6.41,5.13,3.21,12.82,0.96,3.21,4.81,6.73,5.77,18.59,15.06,5.13,5.45,5.13,0.64,0.96
N00000045,515,39,25,23,38,7,14,7,22,27,131,102,22,42,11,3,2,35.35,37,7.57,4.85,4.47,7.38,1.36,2.72,1.36,4.27,5.24,25.44,19.81,4.27,8.16,2.14,0.58,0.39
N00000046,394,22,12,9,34,4,11,9,26,20,68,91,25,32,21,9,1,39.92,42,5.58,3.05,2.28,8.63,1.02,2.79,2.28,6.60,5.08,17.26,23.10,6.35,8.12,5.33,2.28,0.25
N00000047,374,17,10,8,21,4,8,5,15,10,63,95,36,53,23,4,2,44.51,47,4.55,2.67,2.14,5.61,1.07,2.14,1.34,4.01,2.67,16.84,25.40,9.63,14.17,6.15,1.07,0.53
N00000048,304,22,9,9,20,4,11,7,24,28,65,48,14,27,10,6,0,36.28,35,7.24,2.96,2.96,6.58,1.32,3.62,2.30,7.89,9.21,21.38,15.79,4.61,8.88,3.29,1.97,0
N00000049,254,19,10,4,10,1,5,5,19,29,55,49,18,22,7,1,0,37.35,36,7.48,3.94,1.57,3.94,0.39,1.97,1.97,7.48,11.42,21.65,19.29,7.09,8.66,2.76,0.39,0
