GeographyCode,KS612NI0001,KS612NI0002,KS612NI0003,KS612NI0004,KS612NI0005,KS612NI0006,KS612NI0007,KS612NI0008,KS612NI0009,KS612NI0010,KS612NI0011,KS612NI0012,KS612NI0013,KS612NI0014,KS612NI0015,KS612NI0016,KS612NI0017,KS612NI0018,KS612NI0019,KS612NI0020,KS612NI0021,KS612NI0022,KS612NI0023
N00000001,437,26,16,194,119,10,30,13,12,2,0,15,5.95,3.66,44.39,27.23,2.29,6.86,2.97,2.75,0.46,0,3.43
N00000002,126,2,21,22,4,13,20,7,18,5,3,11,1.59,16.67,17.46,3.17,10.32,15.87,5.56,14.29,3.97,2.38,8.73
N00000003,82,2,11,20,6,13,2,7,9,4,2,6,2.44,13.41,24.39,7.32,15.85,2.44,8.54,10.98,4.88,2.44,7.32
N00000004,231,3,15,37,11,67,22,18,25,5,2,26,1.30,6.49,16.02,4.76,29.00,9.52,7.79,10.82,2.16,0.87,11.26
N00000005,144,5,13,26,9,45,10,11,13,2,0,10,3.47,9.03,18.06,6.25,31.25,6.94,7.64,9.03,1.39,0,6.94
N00000006,87,3,10,12,8,23,8,9,5,2,1,6,3.45,11.49,13.79,9.20,26.44,9.20,10.34,5.75,2.30,1.15,6.90
N00000007,93,2,8,17,11,16,10,8,10,1,3,7,2.15,8.60,18.28,11.83,17.20,10.75,8.60,10.75,1.08,3.23,7.53
N00000008,119,6,12,19,9,23,14,10,20,1,1,4,5.04,10.08,15.97,7.56,19.33,11.76,8.40,16.81,0.84,0.84,3.36
N00000009,262,8,34,74,24,37,16,20,22,4,5,18,3.05,12.98,28.24,9.16,14.12,6.11,7.63,8.40,1.53,1.91,6.87
N00000010,85,1,8,6,4,24,9,7,13,2,2,9,1.18,9.41,7.06,4.71,28.24,10.59,8.24,15.29,2.35,2.35,10.59
N00000011,101,1,4,13,9,5,16,14,29,2,3,5,0.99,3.96,12.87,8.91,4.95,15.84,13.86,28.71,1.98,2.97,4.95
N00000012,105,1,1,15,11,9,22,20,21,4,0,1,0.95,0.95,14.29,10.48,8.57,20.95,19.05,20.00,3.81,0,0.95
N00000013,102,2,6,18,10,10,13,9,17,4,7,6,1.96,5.88,17.65,9.80,9.80,12.75,8.82,16.67,3.92,6.86,5.88
N00000014,176,1,10,23,13,18,27,26,36,4,5,13,0.57,5.68,13.07,7.39,10.23,15.34,14.77,20.45,2.27,2.84,7.39
N00000015,85,0,0,11,4,8,13,11,24,3,5,6,0,0,12.94,4.71,9.41,15.29,12.94,28.24,3.53,5.88,7.06
N00000016,89,0,2,12,10,10,11,13,22,1,4,4,0,2.25,13.48,11.24,11.24,12.36,14.61,24.72,1.12,4.49,4.49
N00000017,106,2,4,8,13,10,17,16,22,4,6,4,1.89,3.77,7.55,12.26,9.43,16.04,15.09,20.75,3.77,5.66,3.77
N00000018,83,0,4,12,7,4,13,10,22,0,2,9,0,4.82,14.46,8.43,4.82,15.66,12.05,26.51,0,2.41,10.84
N00000019,102,0,2,7,8,8,16,18,35,1,1,6,0,1.96,6.86,7.84,7.84,15.69,17.65,34.31,0.98,0.98,5.88
N00000020,60,0,0,10,6,2,11,7,21,2,1,0,0,0,16.67,10.00,3.33,18.33,11.67,35.00,3.33,1.67,0
N00000021,96,2,5,10,12,5,13,15,27,1,3,3,2.08,5.21,10.42,12.50,5.21,13.54,15.63,28.13,1.04,3.13,3.13
N00000022,87,0,1,7,7,12,7,15,28,1,2,7,0,1.15,8.05,8.05,13.79,8.05,17.24,32.18,1.15,2.30,8.05
N00000023,77,0,2,7,7,4,19,10,21,3,1,3,0,2.60,9.09,9.09,5.19,24.68,12.99,27.27,3.90,1.30,3.90
N00000024,195,7,20,36,9,49,21,13,10,4,4,22,3.59,10.26,18.46,4.62,25.13,10.77,6.67,5.13,2.05,2.05,11.28
N00000025,181,5,13,37,7,49,20,8,26,2,2,12,2.76,7.18,20.44,3.87,27.07,11.05,4.42,14.36,1.10,1.10,6.63
N00000026,179,3,13,31,15,48,17,9,16,3,0,24,1.68,7.26,17.32,8.38,26.82,9.50,5.03,8.94,1.68,0,13.41
N00000027,200,2,17,35,14,50,15,20,21,7,1,18,1.00,8.50,17.50,7.00,25.00,7.50,10.00,10.50,3.50,0.50,9.00
N00000028,94,2,2,18,6,11,5,9,21,2,5,13,2.13,2.13,19.15,6.38,11.70,5.32,9.57,22.34,2.13,5.32,13.83
N00000029,164,6,21,31,9,41,14,7,14,0,2,19,3.66,12.80,18.90,5.49,25.00,8.54,4.27,8.54,0,1.22,11.59
N00000030,142,3,5,28,7,41,10,13,18,3,2,12,2.11,3.52,19.72,4.93,28.87,7.04,9.15,12.68,2.11,1.41,8.45
N00000031,254,7,24,35,7,78,23,12,31,7,10,20,2.76,9.45,13.78,2.76,30.71,9.06,4.72,12.20,2.76,3.94,7.87
N00000032,127,5,6,13,5,33,17,12,19,2,1,14,3.94,4.72,10.24,3.94,25.98,13.39,9.45,14.96,1.57,0.79,11.02
N00000033,200,2,17,29,9,51,25,15,29,2,0,21,1.00,8.50,14.50,4.50,25.50,12.50,7.50,14.50,1.00,0,10.50
