GeographyCode,KS405NI0001,KS405NI0002,KS405NI0003,KS405NI0004,KS405NI0005,KS405NI0006,KS405NI0007,KS405NI0008,KS405NI0009,KS405NI0010,KS405NI0011,KS405NI0012
N00000001,310,23,199,82,3,3,389,7.42,64.19,26.45,0.97,0.97
N00000002,141,15,69,46,9,2,196,10.64,48.94,32.62,6.38,1.42
N00000003,78,6,22,33,12,5,152,7.69,28.21,42.31,15.38,6.41
N00000004,195,11,52,87,28,17,383,5.64,26.67,44.62,14.36,8.72
N00000005,124,4,36,58,18,8,243,3.23,29.03,46.77,14.52,6.45
N00000006,86,8,30,35,5,8,148,9.30,34.88,40.70,5.81,9.30
N00000007,89,5,26,40,7,11,174,5.62,29.21,44.94,7.87,12.36
N00000008,138,21,67,35,11,4,188,15.22,48.55,25.36,7.97,2.90
N00000009,275,13,97,121,27,17,492,4.73,35.27,44.00,9.82,6.18
N00000010,86,7,29,33,12,5,158,8.14,33.72,38.37,13.95,5.81
N00000011,136,47,62,19,7,1,125,34.56,45.59,13.97,5.15,0.74
N00000012,121,34,62,21,3,1,117,28.10,51.24,17.36,2.48,0.83
N00000013,136,50,59,19,5,3,127,36.76,43.38,13.97,3.68,2.21
N00000014,205,49,100,49,6,1,222,23.90,48.78,23.90,2.93,0.49
N00000015,119,58,48,12,1,0,75,48.74,40.34,10.08,0.84,0
N00000016,122,49,61,8,3,1,90,40.16,50.00,6.56,2.46,0.82
N00000017,144,48,62,27,6,1,138,33.33,43.06,18.75,4.17,0.69
N00000018,94,27,43,21,3,0,94,28.72,45.74,22.34,3.19,0
N00000019,116,38,52,21,5,0,109,32.76,44.83,18.10,4.31,0
N00000020,122,45,64,13,0,0,90,36.89,52.46,10.66,0,0
N00000021,128,48,58,18,3,1,107,37.50,45.31,14.06,2.34,0.78
N00000022,126,45,63,13,5,0,104,35.71,50.00,10.32,3.97,0
N00000023,115,42,57,16,0,0,89,36.52,49.57,13.91,0,0
N00000024,174,4,48,79,30,13,357,2.30,27.59,45.40,17.24,7.47
N00000025,159,5,47,62,33,12,319,3.14,29.56,38.99,20.75,7.55
N00000026,151,5,33,63,31,19,344,3.31,21.85,41.72,20.53,12.58
N00000027,178,14,68,69,20,7,297,7.87,38.20,38.76,11.24,3.93
N00000028,85,6,46,24,9,0,121,7.06,54.12,28.24,10.59,0
N00000029,136,7,34,61,23,11,280,5.15,25.00,44.85,16.91,8.09
N00000030,131,5,36,60,21,9,257,3.82,27.48,45.80,16.03,6.87
N00000031,201,9,55,95,30,12,393,4.48,27.36,47.26,14.93,5.97
N00000032,133,8,57,49,9,10,227,6.02,42.86,36.84,6.77,7.52
N00000033,166,9,49,76,22,10,309,5.42,29.52,45.78,13.25,6.02
N00000034,158,11,61,63,14,9,268,6.96,38.61,39.87,8.86,5.70
N00000035,128,27,75,17,7,2,138,21.09,58.59,13.28,5.47,1.56
N00000036,134,22,60,39,11,2,180,16.42,44.78,29.10,8.21,1.49
N00000037,124,18,74,26,5,1,145,14.52,59.68,20.97,4.03,0.81
N00000038,138,15,54,52,12,5,215,10.87,39.13,37.68,8.70,3.62
N00000039,448,92,174,144,29,9,592,20.54,38.84,32.14,6.47,2.01
N00000040,114,37,50,23,3,1,110,32.46,43.86,20.18,2.63,0.88
N00000041,144,11,62,58,9,4,222,7.64,43.06,40.28,6.25,2.78
N00000042,126,8,54,45,15,4,205,6.35,42.86,35.71,11.90,3.17
N00000043,368,50,142,151,14,11,531,13.59,38.59,41.03,3.80,2.99
N00000044,108,20,59,23,6,0,123,18.52,54.63,21.30,5.56,0
N00000045,170,7,41,80,28,14,349,4.12,24.12,47.06,16.47,8.24
N00000046,129,7,42,41,21,18,270,5.43,32.56,31.78,16.28,13.95
N00000047,138,9,48,58,18,5,241,6.52,34.78,42.03,13.04,3.62
