GeographyCode,KS207NI0001,KS207NI0002,KS207NI0003,KS207NI0004,KS207NI0005,KS207NI0006,KS207NI0007,KS207NI0008,KS207NI0009,KS207NI0010,KS207NI0011,KS207NI0012,KS207NI0013,KS207NI0014,KS207NI0015,KS207NI0016,KS207NI0017,KS207NI0018,KS207NI0019,KS207NI0020,KS207NI0021,KS207NI0022,KS207NI0023,KS207NI0024,KS207NI0025,KS207NI0026,KS207NI0027
N00000500,488,480,0,0,0,0,4,0,0,0,1,0,1,2,98.36,0,0,0,0,0.82,0,0,0,0.20,0,0.20,0.41
N00000501,289,287,0,0,0,0,2,0,0,0,0,0,0,0,99.31,0,0,0,0,0.69,0,0,0,0,0,0,0
N00000502,183,183,0,0,0,0,0,0,0,0,0,0,0,0,100.00,0,0,0,0,0,0,0,0,0,0,0,0
N00000503,369,369,0,0,0,0,0,0,0,0,0,0,0,0,100.00,0,0,0,0,0,0,0,0,0,0,0,0
N00000504,224,222,0,0,0,0,1,0,0,0,0,0,0,1,99.11,0,0,0,0,0.45,0,0,0,0,0,0,0.45
N00000505,215,214,0,0,0,0,0,0,0,0,0,0,0,1,99.53,0,0,0,0,0,0,0,0,0,0,0,0.47
N00000506,272,269,1,0,0,2,0,0,0,0,0,0,0,0,98.90,0.37,0,0,0.74,0,0,0,0,0,0,0,0
N00000507,258,253,0,0,0,0,2,0,0,0,0,0,0,3,98.06,0,0,0,0,0.78,0,0,0,0,0,0,1.16
N00000508,307,307,0,0,0,0,0,0,0,0,0,0,0,0,100.00,0,0,0,0,0,0,0,0,0,0,0,0
N00000509,340,332,0,0,0,0,0,0,0,0,0,0,0,8,97.65,0,0,0,0,0,0,0,0,0,0,0,2.35
N00000510,273,273,0,0,0,0,0,0,0,0,0,0,0,0,100.00,0,0,0,0,0,0,0,0,0,0,0,0
N00000511,510,471,16,0,0,0,15,0,0,0,0,0,0,8,92.35,3.14,0,0,0,2.94,0,0,0,0,0,0,1.57
N00000512,423,404,16,0,0,0,0,2,0,0,0,0,0,1,95.51,3.78,0,0,0,0,0.47,0,0,0,0,0,0.24
N00000513,321,312,6,0,0,0,0,2,0,0,0,0,0,1,97.20,1.87,0,0,0,0,0.62,0,0,0,0,0,0.31
N00000514,347,331,8,0,0,0,0,0,0,0,0,0,0,8,95.39,2.31,0,0,0,0,0,0,0,0,0,0,2.31
N00000515,333,318,4,0,0,0,0,0,0,0,0,0,0,11,95.50,1.20,0,0,0,0,0,0,0,0,0,0,3.30
