GeographyCode,KS702NI0001,KS702NI0002,KS702NI0003,KS702NI0004,KS702NI0005,KS702NI0006,KS702NI0007,KS702NI0008,KS702NI0009,KS702NI0010,KS702NI0011,KS702NI0012,KS702NI0013,KS702NI0014,KS702NI0015,KS702NI0016,KS702NI0017,KS702NI0018,KS702NI0019,KS702NI0020,KS702NI0021,KS702NI0022,KS702NI0023,KS702NI0024,KS702NI0025,KS702NI0026,KS702NI0027,KS702NI0028,KS702NI0029
N00000035,161,11,1,17,0,72,20,8,6,1,21,4,153,15,8,3,6.83,0.62,10.56,0,44.72,12.42,4.97,3.73,0.62,13.04,2.48,9.80,37.50
N00000036,228,27,1,20,1,102,30,26,6,1,14,0,211,19,17,2,11.84,0.44,8.77,0.44,44.74,13.16,11.40,2.63,0.44,6.14,0,9.00,11.76
N00000037,159,14,0,18,3,72,8,7,1,0,36,0,151,16,8,2,8.81,0,11.32,1.89,45.28,5.03,4.40,0.63,0,22.64,0,10.60,25.00
N00000038,271,38,2,50,1,83,41,30,6,1,16,3,262,48,9,4,14.02,0.74,18.45,0.37,30.63,15.13,11.07,2.21,0.37,5.90,1.11,18.32,44.44
N00000039,896,80,5,147,2,350,114,51,12,4,129,2,837,137,59,15,8.93,0.56,16.41,0.22,39.06,12.72,5.69,1.34,0.45,14.40,0.22,16.37,25.42
N00000040,164,18,1,20,0,48,17,14,0,0,46,0,138,14,26,7,10.98,0.61,12.20,0,29.27,10.37,8.54,0,0,28.05,0,10.14,26.92
N00000041,348,18,0,66,0,141,59,32,1,4,25,2,343,66,5,0,5.17,0,18.97,0,40.52,16.95,9.20,0.29,1.15,7.18,0.57,19.24,0
N00000042,295,23,2,47,1,125,50,15,2,1,27,2,291,49,4,0,7.80,0.68,15.93,0.34,42.37,16.95,5.08,0.68,0.34,9.15,0.68,16.84,0
N00000043,880,65,4,145,2,343,147,51,5,5,111,2,840,133,40,16,7.39,0.45,16.48,0.23,38.98,16.70,5.80,0.57,0.57,12.61,0.23,15.83,40.00
N00000044,199,13,3,46,1,60,30,13,3,1,29,0,181,46,18,3,6.53,1.51,23.12,0.50,30.15,15.08,6.53,1.51,0.50,14.57,0,25.41,16.67
N00000045,376,55,2,44,0,168,66,32,2,0,5,2,374,46,2,0,14.63,0.53,11.70,0,44.68,17.55,8.51,0.53,0,1.33,0.53,12.30,0
N00000046,265,34,5,39,0,130,30,17,1,0,6,3,262,43,3,1,12.83,1.89,14.72,0,49.06,11.32,6.42,0.38,0,2.26,1.13,16.41,33.33
N00000047,235,32,3,23,0,128,26,6,1,0,16,0,223,24,11,2,13.62,1.28,9.79,0,54.47,11.06,2.55,0.43,0,6.81,0,10.76,18.18
N00000048,183,11,2,25,1,75,32,6,7,0,24,0,155,20,28,7,6.01,1.09,13.66,0.55,40.98,17.49,3.28,3.83,0,13.11,0,12.90,25.00
N00000049,148,6,1,17,0,71,25,12,2,0,13,1,123,11,25,7,4.05,0.68,11.49,0,47.97,16.89,8.11,1.35,0,8.78,0.68,8.94,28.00
