GeographyCode,KS404NI0001,KS404NI0002,KS404NI0003,KS404NI0004,KS404NI0005,KS404NI0006,KS404NI0007,KS404NI0008,KS404NI0009,KS404NI0010,KS404NI0011,KS404NI0012,KS404NI0013,KS404NI0014,KS404NI0015
N00000001,310,0,12,0,268,0,0,30,0,3.87,0,86.45,0,0,9.68
N00000002,141,0,19,2,92,2,2,24,0,13.48,1.42,65.25,1.42,1.42,17.02
N00000003,78,0,1,0,57,2,1,17,0,1.28,0,73.08,2.56,1.28,21.79
N00000004,195,4,2,1,136,3,0,49,2.05,1.03,0.51,69.74,1.54,0,25.13
N00000005,124,3,3,1,88,1,2,26,2.42,2.42,0.81,70.97,0.81,1.61,20.97
N00000006,86,3,1,0,59,2,1,20,3.49,1.16,0,68.60,2.33,1.16,23.26
N00000007,89,1,3,0,59,0,0,26,1.12,3.37,0,66.29,0,0,29.21
N00000008,138,0,17,5,92,3,0,21,0,12.32,3.62,66.67,2.17,0,15.22
N00000009,275,1,37,3,197,4,1,32,0.36,13.45,1.09,71.64,1.45,0.36,11.64
N00000010,86,2,1,1,57,4,0,21,2.33,1.16,1.16,66.28,4.65,0,24.42
N00000011,136,0,0,6,100,17,0,13,0,0,4.41,73.53,12.50,0,9.56
N00000012,121,0,0,3,85,12,0,21,0,0,2.48,70.25,9.92,0,17.36
N00000013,136,1,5,24,86,6,1,13,0.74,3.68,17.65,63.24,4.41,0.74,9.56
N00000014,205,0,55,3,116,11,0,20,0,26.83,1.46,56.59,5.37,0,9.76
N00000015,119,0,1,19,76,12,2,9,0,0.84,15.97,63.87,10.08,1.68,7.56
N00000016,122,1,3,10,78,26,0,4,0.82,2.46,8.20,63.93,21.31,0,3.28
N00000017,144,0,49,2,79,4,2,8,0,34.03,1.39,54.86,2.78,1.39,5.56
N00000018,94,0,3,6,67,1,0,17,0,3.19,6.38,71.28,1.06,0,18.09
N00000019,116,0,19,0,78,8,0,11,0,16.38,0,67.24,6.90,0,9.48
N00000020,122,0,47,1,61,7,0,6,0,38.52,0.82,50.00,5.74,0,4.92
N00000021,128,1,18,15,82,5,0,7,0.78,14.06,11.72,64.06,3.91,0,5.47
N00000022,126,0,23,3,79,6,0,15,0,18.25,2.38,62.70,4.76,0,11.90
N00000023,115,0,20,1,82,3,0,9,0,17.39,0.87,71.30,2.61,0,7.83
N00000024,174,1,3,0,140,4,2,24,0.57,1.72,0,80.46,2.30,1.15,13.79
N00000025,159,5,5,1,110,5,2,31,3.14,3.14,0.63,69.18,3.14,1.26,19.50
N00000026,151,2,4,2,104,3,2,34,1.32,2.65,1.32,68.87,1.99,1.32,22.52
N00000027,178,0,5,0,138,5,1,29,0,2.81,0,77.53,2.81,0.56,16.29
N00000028,85,0,1,0,66,9,1,8,0,1.18,0,77.65,10.59,1.18,9.41
N00000029,136,1,4,0,94,5,0,32,0.74,2.94,0,69.12,3.68,0,23.53
N00000030,131,4,3,1,92,1,0,30,3.05,2.29,0.76,70.23,0.76,0,22.90
N00000031,201,3,1,0,138,5,5,49,1.49,0.50,0,68.66,2.49,2.49,24.38
N00000032,133,0,0,1,89,1,0,42,0,0,0.75,66.92,0.75,0,31.58
N00000033,166,0,4,1,113,5,1,42,0,2.41,0.60,68.07,3.01,0.60,25.30
N00000034,158,1,2,1,120,2,0,32,0.63,1.27,0.63,75.95,1.27,0,20.25
N00000035,128,1,2,0,93,7,0,25,0.78,1.56,0,72.66,5.47,0,19.53
N00000036,134,0,16,0,89,4,0,25,0,11.94,0,66.42,2.99,0,18.66
N00000037,124,1,3,1,93,5,1,20,0.81,2.42,0.81,75.00,4.03,0.81,16.13
N00000038,138,1,1,0,96,6,1,33,0.72,0.72,0,69.57,4.35,0.72,23.91
N00000039,448,2,9,38,327,5,3,64,0.45,2.01,8.48,72.99,1.12,0.67,14.29
N00000040,114,0,0,2,100,3,1,8,0,0,1.75,87.72,2.63,0.88,7.02
N00000041,144,1,0,0,117,1,0,25,0.69,0,0,81.25,0.69,0,17.36
N00000042,126,0,0,0,91,1,1,33,0,0,0,72.22,0.79,0.79,26.19
N00000043,368,0,4,5,312,5,3,39,0,1.09,1.36,84.78,1.36,0.82,10.60
N00000044,108,3,0,1,81,3,0,20,2.78,0,0.93,75.00,2.78,0,18.52
N00000045,170,0,1,0,126,3,1,39,0,0.59,0,74.12,1.76,0.59,22.94
N00000046,129,3,0,0,91,0,1,34,2.33,0,0,70.54,0,0.78,26.36
N00000047,138,2,0,1,94,4,0,37,1.45,0,0.72,68.12,2.90,0,26.81
N00000048,125,0,1,1,100,8,1,14,0,0.80,0.80,80.00,6.40,0.80,11.20
N00000049,123,1,2,2,94,10,0,14,0.81,1.63,1.63,76.42,8.13,0,11.38
N00000050,135,0,1,0,100,6,1,27,0,0.74,0,74.07,4.44,0.74,20.00
N00000051,124,0,0,2,113,2,0,7,0,0,1.61,91.13,1.61,0,5.65
N00000052,120,1,2,0,98,6,0,13,0.83,1.67,0,81.67,5.00,0,10.83
N00000053,108,0,10,10,74,8,0,6,0,9.26,9.26,68.52,7.41,0,5.56
N00000054,111,0,18,1,75,8,0,9,0,16.22,0.90,67.57,7.21,0,8.11
N00000055,117,0,5,2,90,10,1,9,0,4.27,1.71,76.92,8.55,0.85,7.69
N00000056,119,0,9,0,98,5,0,7,0,7.56,0,82.35,4.20,0,5.88
N00000057,118,1,51,0,53,3,0,10,0.85,43.22,0,44.92,2.54,0,8.47
N00000058,121,0,40,4,67,3,0,7,0,33.06,3.31,55.37,2.48,0,5.79
N00000059,110,0,53,2,45,4,1,5,0,48.18,1.82,40.91,3.64,0.91,4.55
N00000060,180,0,38,6,121,7,0,8,0,21.11,3.33,67.22,3.89,0,4.44
N00000061,129,0,12,3,91,6,0,17,0,9.30,2.33,70.54,4.65,0,13.18
N00000062,130,0,2,0,112,2,0,14,0,1.54,0,86.15,1.54,0,10.77
N00000063,155,0,70,0,76,3,0,6,0,45.16,0,49.03,1.94,0,3.87
N00000064,133,2,63,7,50,2,0,9,1.50,47.37,5.26,37.59,1.50,0,6.77
N00000065,146,0,5,0,94,4,0,43,0,3.42,0,64.38,2.74,0,29.45
N00000066,110,0,3,1,85,1,0,20,0,2.73,0.91,77.27,0.91,0,18.18
N00000067,134,0,35,2,84,8,1,4,0,26.12,1.49,62.69,5.97,0.75,2.99
N00000068,124,0,3,1,98,2,0,20,0,2.42,0.81,79.03,1.61,0,16.13
N00000069,145,1,66,2,67,4,0,5,0.69,45.52,1.38,46.21,2.76,0,3.45
N00000070,104,0,0,1,88,0,0,15,0,0,0.96,84.62,0,0,14.42
N00000071,136,1,12,3,101,3,1,15,0.74,8.82,2.21,74.26,2.21,0.74,11.03
N00000072,634,1,8,7,529,12,1,76,0.16,1.26,1.10,83.44,1.89,0.16,11.99
N00000073,249,4,46,13,154,11,3,18,1.61,18.47,5.22,61.85,4.42,1.20,7.23
N00000074,386,1,78,3,250,4,0,50,0.26,20.21,0.78,64.77,1.04,0,12.95
N00000075,111,0,11,0,75,1,0,24,0,9.91,0,67.57,0.90,0,21.62
N00000076,114,0,2,0,84,3,0,25,0,1.75,0,73.68,2.63,0,21.93
N00000077,98,0,0,0,72,0,0,26,0,0,0,73.47,0,0,26.53
N00000078,161,0,1,0,141,4,0,15,0,0.62,0,87.58,2.48,0,9.32
N00000079,192,1,3,0,131,1,3,53,0.52,1.56,0,68.23,0.52,1.56,27.60
N00000080,146,1,3,3,115,2,1,21,0.68,2.05,2.05,78.77,1.37,0.68,14.38
N00000081,140,0,2,1,118,7,1,11,0,1.43,0.71,84.29,5.00,0.71,7.86
N00000082,132,1,5,2,93,2,1,28,0.76,3.79,1.52,70.45,1.52,0.76,21.21
N00000083,208,2,4,1,142,10,4,45,0.96,1.92,0.48,68.27,4.81,1.92,21.63
N00000084,153,3,3,2,103,7,0,35,1.96,1.96,1.31,67.32,4.58,0,22.88
N00000085,180,1,11,35,102,4,1,26,0.56,6.11,19.44,56.67,2.22,0.56,14.44
N00000086,142,0,1,1,101,1,1,37,0,0.70,0.70,71.13,0.70,0.70,26.06
N00000087,303,2,2,0,213,4,3,79,0.66,0.66,0,70.30,1.32,0.99,26.07
N00000088,136,0,19,1,104,0,1,11,0,13.97,0.74,76.47,0,0.74,8.09
N00000089,164,0,0,1,120,3,5,35,0,0,0.61,73.17,1.83,3.05,21.34
N00000090,138,0,0,1,89,1,1,46,0,0,0.72,64.49,0.72,0.72,33.33
N00000091,176,0,4,7,142,0,0,23,0,2.27,3.98,80.68,0,0,13.07
N00000092,168,2,3,0,105,6,1,51,1.19,1.79,0,62.50,3.57,0.60,30.36
N00000093,140,2,1,0,95,4,0,38,1.43,0.71,0,67.86,2.86,0,27.14
N00000094,161,0,4,2,99,2,0,54,0,2.48,1.24,61.49,1.24,0,33.54
N00000095,152,2,1,0,92,8,4,45,1.32,0.66,0,60.53,5.26,2.63,29.61
N00000096,158,1,4,0,114,5,1,33,0.63,2.53,0,72.15,3.16,0.63,20.89
N00000097,296,1,25,1,221,2,0,46,0.34,8.45,0.34,74.66,0.68,0,15.54
N00000098,446,0,23,2,351,4,0,66,0,5.16,0.45,78.70,0.90,0,14.80
N00000099,107,1,12,7,74,3,0,10,0.93,11.21,6.54,69.16,2.80,0,9.35
N00000100,164,0,32,47,68,5,3,9,0,19.51,28.66,41.46,3.05,1.83,5.49
N00000101,122,0,66,2,47,1,0,6,0,54.10,1.64,38.52,0.82,0,4.92
N00000102,125,0,35,2,65,1,0,22,0,28.00,1.60,52.00,0.80,0,17.60
N00000103,205,1,15,6,143,15,1,24,0.49,7.32,2.93,69.76,7.32,0.49,11.71
N00000104,130,0,31,4,89,1,0,5,0,23.85,3.08,68.46,0.77,0,3.85
N00000105,148,0,15,4,115,7,1,6,0,10.14,2.70,77.70,4.73,0.68,4.05
N00000106,103,0,20,7,66,8,1,1,0,19.42,6.80,64.08,7.77,0.97,0.97
N00000107,120,0,38,0,70,3,0,9,0,31.67,0,58.33,2.50,0,7.50
N00000108,110,0,9,7,87,2,0,5,0,8.18,6.36,79.09,1.82,0,4.55
N00000109,229,0,28,4,171,11,2,13,0,12.23,1.75,74.67,4.80,0.87,5.68
N00000110,122,0,24,1,86,5,0,6,0,19.67,0.82,70.49,4.10,0,4.92
N00000111,136,0,0,1,111,1,0,23,0,0,0.74,81.62,0.74,0,16.91
N00000112,143,0,1,4,120,4,0,14,0,0.70,2.80,83.92,2.80,0,9.79
N00000113,122,0,2,7,92,5,0,16,0,1.64,5.74,75.41,4.10,0,13.11
N00000114,121,1,0,1,96,3,0,20,0.83,0,0.83,79.34,2.48,0,16.53
N00000115,128,0,0,19,99,7,0,3,0,0,14.84,77.34,5.47,0,2.34
N00000116,119,0,3,3,107,2,0,4,0,2.52,2.52,89.92,1.68,0,3.36
N00000117,86,0,1,11,68,4,1,1,0,1.16,12.79,79.07,4.65,1.16,1.16
N00000118,143,0,25,6,93,1,0,18,0,17.48,4.20,65.03,0.70,0,12.59
N00000119,125,0,3,0,101,0,0,21,0,2.40,0,80.80,0,0,16.80
N00000120,127,2,1,0,107,4,0,13,1.57,0.79,0,84.25,3.15,0,10.24
N00000121,124,0,1,0,101,4,0,18,0,0.81,0,81.45,3.23,0,14.52
N00000122,199,0,27,1,153,1,1,16,0,13.57,0.50,76.88,0.50,0.50,8.04
N00000123,143,1,1,10,119,0,1,11,0.70,0.70,6.99,83.22,0,0.70,7.69
N00000124,143,0,11,0,102,4,1,25,0,7.69,0,71.33,2.80,0.70,17.48
N00000125,148,1,0,1,109,0,0,37,0.68,0,0.68,73.65,0,0,25.00
N00000126,134,0,2,1,89,2,2,38,0,1.49,0.75,66.42,1.49,1.49,28.36
N00000127,130,1,2,1,95,6,0,25,0.77,1.54,0.77,73.08,4.62,0,19.23
N00000128,282,1,7,3,200,5,2,64,0.35,2.48,1.06,70.92,1.77,0.71,22.70
N00000129,138,0,0,0,115,2,0,21,0,0,0,83.33,1.45,0,15.22
N00000130,152,0,15,0,115,1,0,21,0,9.87,0,75.66,0.66,0,13.82
N00000131,136,0,4,1,111,3,0,17,0,2.94,0.74,81.62,2.21,0,12.50
N00000132,121,2,2,1,89,4,0,23,1.65,1.65,0.83,73.55,3.31,0,19.01
N00000133,139,1,6,5,93,10,2,22,0.72,4.32,3.60,66.91,7.19,1.44,15.83
N00000134,177,0,21,0,132,1,0,23,0,11.86,0,74.58,0.56,0,12.99
N00000135,119,1,0,1,103,5,0,9,0.84,0,0.84,86.55,4.20,0,7.56
N00000136,188,0,8,2,154,2,0,22,0,4.26,1.06,81.91,1.06,0,11.70
N00000137,120,1,2,1,99,1,0,16,0.83,1.67,0.83,82.50,0.83,0,13.33
N00000138,155,0,1,0,131,1,0,22,0,0.65,0,84.52,0.65,0,14.19
N00000139,133,1,33,3,87,3,0,6,0.75,24.81,2.26,65.41,2.26,0,4.51
N00000140,158,3,35,5,98,4,0,13,1.90,22.15,3.16,62.03,2.53,0,8.23
N00000141,220,0,98,8,91,6,1,16,0,44.55,3.64,41.36,2.73,0.45,7.27
N00000142,96,0,31,0,54,1,0,10,0,32.29,0,56.25,1.04,0,10.42
N00000143,123,2,60,10,39,3,1,8,1.63,48.78,8.13,31.71,2.44,0.81,6.50
N00000144,110,0,48,1,44,7,0,10,0,43.64,0.91,40.00,6.36,0,9.09
N00000145,75,0,26,37,12,0,0,0,0,34.67,49.33,16.00,0,0,0
N00000146,105,3,3,6,70,8,3,12,2.86,2.86,5.71,66.67,7.62,2.86,11.43
N00000147,106,0,39,2,54,4,0,7,0,36.79,1.89,50.94,3.77,0,6.60
N00000148,279,3,9,1,219,19,1,27,1.08,3.23,0.36,78.49,6.81,0.36,9.68
N00000149,187,0,3,4,157,0,0,23,0,1.60,2.14,83.96,0,0,12.30
N00000150,149,1,4,4,130,2,0,8,0.67,2.68,2.68,87.25,1.34,0,5.37
N00000151,131,1,2,5,86,18,0,19,0.76,1.53,3.82,65.65,13.74,0,14.50
N00000152,131,1,1,6,95,17,1,10,0.76,0.76,4.58,72.52,12.98,0.76,7.63
N00000153,111,0,1,8,84,7,1,10,0,0.90,7.21,75.68,6.31,0.90,9.01
N00000154,108,5,2,2,80,4,1,14,4.63,1.85,1.85,74.07,3.70,0.93,12.96
N00000155,128,3,1,2,97,9,2,14,2.34,0.78,1.56,75.78,7.03,1.56,10.94
N00000156,127,0,0,2,101,3,0,21,0,0,1.57,79.53,2.36,0,16.54
N00000157,139,3,3,2,103,6,1,21,2.16,2.16,1.44,74.10,4.32,0.72,15.11
N00000158,286,5,88,1,154,1,4,33,1.75,30.77,0.35,53.85,0.35,1.40,11.54
N00000159,116,0,31,6,72,1,1,5,0,26.72,5.17,62.07,0.86,0.86,4.31
N00000160,124,1,32,1,73,2,0,15,0.81,25.81,0.81,58.87,1.61,0,12.10
N00000161,128,0,14,0,108,0,0,6,0,10.94,0,84.38,0,0,4.69
N00000162,115,1,20,2,69,1,0,22,0.87,17.39,1.74,60.00,0.87,0,19.13
N00000163,155,1,83,3,54,5,0,9,0.65,53.55,1.94,34.84,3.23,0,5.81
N00000164,118,1,3,3,94,2,0,15,0.85,2.54,2.54,79.66,1.69,0,12.71
N00000165,135,2,16,1,96,5,1,14,1.48,11.85,0.74,71.11,3.70,0.74,10.37
N00000166,122,0,16,1,91,2,0,12,0,13.11,0.82,74.59,1.64,0,9.84
N00000167,149,2,35,0,107,1,0,4,1.34,23.49,0,71.81,0.67,0,2.68
N00000168,145,1,46,3,87,1,0,7,0.69,31.72,2.07,60.00,0.69,0,4.83
N00000169,279,2,6,2,210,6,1,52,0.72,2.15,0.72,75.27,2.15,0.36,18.64
N00000170,139,0,2,0,113,1,0,23,0,1.44,0,81.29,0.72,0,16.55
