GeographyCode,KS605NI0001,KS605NI0002,KS605NI0003,KS605NI0004,KS605NI0005,KS605NI0006,KS605NI0007,KS605NI0008,KS605NI0009,KS605NI0010,KS605NI0011,KS605NI0012,KS605NI0013,KS605NI0014,KS605NI0015,KS605NI0016,KS605NI0017,KS605NI0018,KS605NI0019,KS605NI0020,KS605NI0021,KS605NI0022,KS605NI0023,KS605NI0024,KS605NI0025,KS605NI0026,KS605NI0027,KS605NI0028,KS605NI0029,KS605NI0030,KS605NI0031,KS605NI0032,KS605NI0033,KS605NI0034,KS605NI0035,KS605NI0036,KS605NI0037
N00000001,591,1,0,26,1,0,15,35,16,16,3,7,1,17,66,314,20,39,14,0.17,0,4.40,0.17,0,2.54,5.92,2.71,2.71,0.51,1.18,0.17,2.88,11.17,53.13,3.38,6.60,2.37
N00000002,170,1,0,18,1,2,10,34,8,4,10,10,1,10,8,5,22,21,5,0.59,0,10.59,0.59,1.18,5.88,20.00,4.71,2.35,5.88,5.88,0.59,5.88,4.71,2.94,12.94,12.35,2.94
N00000003,115,1,0,12,0,1,14,10,6,4,3,2,1,4,6,11,18,13,9,0.87,0,10.43,0,0.87,12.17,8.70,5.22,3.48,2.61,1.74,0.87,3.48,5.22,9.57,15.65,11.30,7.83
N00000004,310,29,1,39,1,3,22,55,19,9,6,8,0,15,11,20,26,36,10,9.35,0.32,12.58,0.32,0.97,7.10,17.74,6.13,2.90,1.94,2.58,0,4.84,3.55,6.45,8.39,11.61,3.23
N00000005,210,9,0,13,2,3,26,25,12,16,8,3,2,11,5,10,22,36,7,4.29,0,6.19,0.95,1.43,12.38,11.90,5.71,7.62,3.81,1.43,0.95,5.24,2.38,4.76,10.48,17.14,3.33
N00000006,134,10,0,16,1,0,11,22,6,8,0,6,1,3,7,11,20,12,0,7.46,0,11.94,0.75,0,8.21,16.42,4.48,5.97,0,4.48,0.75,2.24,5.22,8.21,14.93,8.96,0
N00000007,130,4,0,17,1,1,15,19,10,2,0,3,0,6,3,13,14,17,5,3.08,0,13.08,0.77,0.77,11.54,14.62,7.69,1.54,0,2.31,0,4.62,2.31,10.00,10.77,13.08,3.85
N00000008,162,5,1,24,0,2,11,17,8,8,4,3,1,4,8,17,14,26,9,3.09,0.62,14.81,0,1.23,6.79,10.49,4.94,4.94,2.47,1.85,0.62,2.47,4.94,10.49,8.64,16.05,5.56
N00000009,408,11,3,37,1,2,26,65,23,19,18,17,2,21,15,29,39,67,13,2.70,0.74,9.07,0.25,0.49,6.37,15.93,5.64,4.66,4.41,4.17,0.49,5.15,3.68,7.11,9.56,16.42,3.19
N00000010,113,6,0,12,0,3,10,20,8,7,2,4,1,2,5,8,8,12,5,5.31,0,10.62,0,2.65,8.85,17.70,7.08,6.19,1.77,3.54,0.88,1.77,4.42,7.08,7.08,10.62,4.42
N00000011,130,1,0,8,0,0,7,27,7,11,1,4,0,9,12,13,7,18,5,0.77,0,6.15,0,0,5.38,20.77,5.38,8.46,0.77,3.08,0,6.92,9.23,10.00,5.38,13.85,3.85
N00000012,132,1,0,15,0,2,6,27,15,12,0,1,0,0,8,10,8,24,3,0.76,0,11.36,0,1.52,4.55,20.45,11.36,9.09,0,0.76,0,0,6.06,7.58,6.06,18.18,2.27
