GeographyCode,KS211NI0001,KS211NI0002,KS211NI0003,KS211NI0004,KS211NI0005,KS211NI0006,KS211NI0007,KS211NI0008,KS211NI0009,KS211NI0010,KS211NI0011,KS211NI0012,KS211NI0013,KS211NI0014,KS211NI0015,KS211NI0016,KS211NI0017
N00000057,279,41,59,61,2,13,1,60,42,14.70,21.15,21.86,0.72,4.66,0.36,21.51,15.05
N00000058,266,49,79,69,12,6,3,35,13,18.42,29.70,25.94,4.51,2.26,1.13,13.16,4.89
N00000059,226,37,74,25,1,10,1,47,31,16.37,32.74,11.06,0.44,4.42,0.44,20.80,13.72
N00000060,394,81,113,90,4,14,6,37,49,20.56,28.68,22.84,1.02,3.55,1.52,9.39,12.44
N00000061,273,46,106,43,2,11,7,32,26,16.85,38.83,15.75,0.73,4.03,2.56,11.72,9.52
N00000062,351,72,108,47,19,30,4,54,17,20.51,30.77,13.39,5.41,8.55,1.14,15.38,4.84
N00000063,431,61,130,75,7,34,4,81,39,14.15,30.16,17.40,1.62,7.89,0.93,18.79,9.05
N00000064,279,145,30,21,2,18,0,40,23,51.97,10.75,7.53,0.72,6.45,0,14.34,8.24
N00000065,389,112,132,45,15,24,9,40,12,28.79,33.93,11.57,3.86,6.17,2.31,10.28,3.08
N00000066,264,100,75,23,11,5,6,30,14,37.88,28.41,8.71,4.17,1.89,2.27,11.36,5.30
N00000067,316,131,44,25,9,21,0,65,21,41.46,13.92,7.91,2.85,6.65,0,20.57,6.65
N00000068,371,76,114,62,10,17,7,68,17,20.49,30.73,16.71,2.70,4.58,1.89,18.33,4.58
N00000069,334,148,42,48,7,10,1,49,29,44.31,12.57,14.37,2.10,2.99,0.30,14.67,8.68
N00000070,243,96,73,29,5,16,0,12,12,39.51,30.04,11.93,2.06,6.58,0,4.94,4.94
N00000071,283,115,59,35,6,4,1,41,22,40.64,20.85,12.37,2.12,1.41,0.35,14.49,7.77
N00000072,1753,476,412,298,50,103,18,318,78,27.15,23.50,17.00,2.85,5.88,1.03,18.14,4.45
N00000073,521,145,131,63,9,20,10,84,59,27.83,25.14,12.09,1.73,3.84,1.92,16.12,11.32
N00000074,1047,401,214,132,22,35,10,131,102,38.30,20.44,12.61,2.10,3.34,0.96,12.51,9.74
N00000075,410,153,61,48,5,49,3,75,16,37.32,14.88,11.71,1.22,11.95,0.73,18.29,3.90
N00000076,344,141,78,34,5,19,3,48,16,40.99,22.67,9.88,1.45,5.52,0.87,13.95,4.65
N00000077,275,143,46,30,7,17,0,22,10,52.00,16.73,10.91,2.55,6.18,0,8.00,3.64
N00000078,488,205,117,48,5,15,8,70,20,42.01,23.98,9.84,1.02,3.07,1.64,14.34,4.10
N00000079,564,39,296,61,0,64,4,62,38,6.91,52.48,10.82,0,11.35,0.71,10.99,6.74
N00000080,424,26,211,46,9,58,4,57,13,6.13,49.76,10.85,2.12,13.68,0.94,13.44,3.07
N00000081,339,10,183,65,7,13,5,42,14,2.95,53.98,19.17,2.06,3.83,1.47,12.39,4.13
N00000082,342,22,190,43,3,41,1,26,16,6.43,55.56,12.57,0.88,11.99,0.29,7.60,4.68
N00000083,650,29,337,85,5,69,6,88,31,4.46,51.85,13.08,0.77,10.62,0.92,13.54,4.77
N00000084,456,7,274,57,7,37,0,57,17,1.54,60.09,12.50,1.54,8.11,0,12.50,3.73
N00000085,437,236,87,24,4,14,1,39,32,54.00,19.91,5.49,0.92,3.20,0.23,8.92,7.32
N00000086,395,295,7,14,0,2,0,20,57,74.68,1.77,3.54,0,0.51,0,5.06,14.43
N00000087,913,585,119,52,12,32,6,70,37,64.07,13.03,5.70,1.31,3.50,0.66,7.67,4.05
N00000088,216,31,88,42,2,21,0,17,15,14.35,40.74,19.44,0.93,9.72,0,7.87,6.94
N00000089,478,376,26,8,0,13,1,27,27,78.66,5.44,1.67,0,2.72,0.21,5.65,5.65
N00000090,392,308,12,18,0,6,1,28,19,78.57,3.06,4.59,0,1.53,0.26,7.14,4.85
N00000091,476,308,61,20,3,14,0,29,41,64.71,12.82,4.20,0.63,2.94,0,6.09,8.61
N00000092,504,56,274,52,9,23,6,50,34,11.11,54.37,10.32,1.79,4.56,1.19,9.92,6.75
N00000093,421,198,119,20,1,36,0,26,21,47.03,28.27,4.75,0.24,8.55,0,6.18,4.99
N00000094,492,193,165,25,5,54,3,31,16,39.23,33.54,5.08,1.02,10.98,0.61,6.30,3.25
N00000095,468,305,69,20,5,18,0,26,25,65.17,14.74,4.27,1.07,3.85,0,5.56,5.34
N00000096,464,64,209,52,7,52,4,45,31,13.79,45.04,11.21,1.51,11.21,0.86,9.70,6.68
N00000097,850,280,198,124,15,37,9,142,45,32.94,23.29,14.59,1.76,4.35,1.06,16.71,5.29
N00000098,1192,404,269,125,14,102,40,184,54,33.89,22.57,10.49,1.17,8.56,3.36,15.44,4.53
N00000099,258,119,48,18,8,11,0,46,8,46.12,18.60,6.98,3.10,4.26,0,17.83,3.10
N00000100,341,195,36,26,1,8,3,51,21,57.18,10.56,7.62,0.29,2.35,0.88,14.96,6.16
N00000101,282,119,30,22,9,12,7,60,23,42.20,10.64,7.80,3.19,4.26,2.48,21.28,8.16
N00000102,318,107,71,39,8,11,13,47,22,33.65,22.33,12.26,2.52,3.46,4.09,14.78,6.92
N00000103,623,194,96,77,11,31,13,121,80,31.14,15.41,12.36,1.77,4.98,2.09,19.42,12.84
N00000104,322,168,38,27,3,17,10,45,14,52.17,11.80,8.39,0.93,5.28,3.11,13.98,4.35
N00000105,327,59,102,72,7,15,2,43,27,18.04,31.19,22.02,2.14,4.59,0.61,13.15,8.26
N00000106,198,12,75,48,2,16,5,23,17,6.06,37.88,24.24,1.01,8.08,2.53,11.62,8.59
N00000107,269,40,112,42,3,14,2,42,14,14.87,41.64,15.61,1.12,5.20,0.74,15.61,5.20
N00000108,243,43,91,41,3,38,1,20,6,17.70,37.45,16.87,1.23,15.64,0.41,8.23,2.47
N00000109,512,98,151,119,11,25,2,71,35,19.14,29.49,23.24,2.15,4.88,0.39,13.87,6.84
N00000110,258,39,77,44,8,12,2,57,19,15.12,29.84,17.05,3.10,4.65,0.78,22.09,7.36
N00000111,356,120,66,52,9,17,13,55,24,33.71,18.54,14.61,2.53,4.78,3.65,15.45,6.74
N00000112,402,98,71,67,8,21,3,94,40,24.38,17.66,16.67,1.99,5.22,0.75,23.38,9.95
N00000113,309,113,71,35,10,11,2,56,11,36.57,22.98,11.33,3.24,3.56,0.65,18.12,3.56
N00000114,318,124,58,39,11,10,0,59,17,38.99,18.24,12.26,3.46,3.14,0,18.55,5.35
N00000115,302,121,42,40,3,12,5,45,34,40.07,13.91,13.25,0.99,3.97,1.66,14.90,11.26
N00000116,287,79,56,49,2,10,2,54,35,27.53,19.51,17.07,0.70,3.48,0.70,18.82,12.20
N00000117,168,39,43,19,2,18,0,32,15,23.21,25.60,11.31,1.19,10.71,0,19.05,8.93
N00000118,333,31,140,47,7,12,11,62,23,9.31,42.04,14.11,2.10,3.60,3.30,18.62,6.91
N00000119,289,15,119,58,10,19,3,41,24,5.19,41.18,20.07,3.46,6.57,1.04,14.19,8.30
N00000120,323,39,151,38,8,15,1,42,29,12.07,46.75,11.76,2.48,4.64,0.31,13.00,8.98
N00000121,293,26,142,25,6,18,7,42,27,8.87,48.46,8.53,2.05,6.14,2.39,14.33,9.22
N00000122,481,78,189,55,14,33,10,73,29,16.22,39.29,11.43,2.91,6.86,2.08,15.18,6.03
N00000123,351,44,152,58,10,32,2,36,17,12.54,43.30,16.52,2.85,9.12,0.57,10.26,4.84
N00000124,369,50,150,65,6,29,0,52,17,13.55,40.65,17.62,1.63,7.86,0,14.09,4.61
N00000125,464,357,37,11,0,15,2,14,28,76.94,7.97,2.37,0,3.23,0.43,3.02,6.03
