GeographyCode,KS210NI0001,KS210NI0002,KS210NI0003,KS210NI0004,KS210NI0005,KS210NI0006,KS210NI0007,KS210NI0008,KS210NI0009,KS210NI0010,KS210NI0011,KS210NI0012,KS210NI0013,KS210NI0014,KS210NI0015
N00000001,1003,36,1,3,2,5,47,956,3.59,0.10,0.30,0.20,0.50,4.69,95.31
N00000002,332,15,0,0,0,1,16,316,4.52,0,0,0,0.30,4.82,95.18
N00000003,236,21,1,0,0,5,27,209,8.90,0.42,0,0,2.12,11.44,88.56
N00000004,595,27,0,3,4,4,38,557,4.54,0,0.50,0.67,0.67,6.39,93.61
N00000005,359,20,1,0,0,0,21,338,5.57,0.28,0,0,0,5.85,94.15
N00000006,242,16,0,1,0,0,17,225,6.61,0,0.41,0,0,7.02,92.98
N00000007,238,24,2,4,3,4,37,201,10.08,0.84,1.68,1.26,1.68,15.55,84.45
N00000008,277,23,3,1,3,5,35,242,8.30,1.08,0.36,1.08,1.81,12.64,87.36
N00000009,688,41,6,0,9,3,59,629,5.96,0.87,0,1.31,0.44,8.58,91.42
N00000010,232,19,2,0,1,2,24,208,8.19,0.86,0,0.43,0.86,10.34,89.66
N00000011,284,12,2,0,0,2,16,268,4.23,0.70,0,0,0.70,5.63,94.37
N00000012,259,24,0,0,8,4,36,223,9.27,0,0,3.09,1.54,13.90,86.10
N00000013,257,22,0,2,6,0,30,227,8.56,0,0.78,2.33,0,11.67,88.33
N00000014,444,29,6,2,8,3,48,396,6.53,1.35,0.45,1.80,0.68,10.81,89.19
N00000015,222,10,0,2,5,0,17,205,4.50,0,0.90,2.25,0,7.66,92.34
N00000016,217,24,2,4,4,2,36,181,11.06,0.92,1.84,1.84,0.92,16.59,83.41
N00000017,319,26,3,1,4,4,38,281,8.15,0.94,0.31,1.25,1.25,11.91,88.09
N00000018,215,19,1,2,8,1,31,184,8.84,0.47,0.93,3.72,0.47,14.42,85.58
N00000019,250,21,0,0,5,2,28,222,8.40,0,0,2.00,0.80,11.20,88.80
N00000020,221,17,0,1,3,5,26,195,7.69,0,0.45,1.36,2.26,11.76,88.24
N00000021,261,16,3,5,6,2,32,229,6.13,1.15,1.92,2.30,0.77,12.26,87.74
N00000022,260,19,2,1,6,1,29,231,7.31,0.77,0.38,2.31,0.38,11.15,88.85
N00000023,210,15,2,0,4,1,22,188,7.14,0.95,0,1.90,0.48,10.48,89.52
N00000024,520,37,7,2,2,3,51,469,7.12,1.35,0.38,0.38,0.58,9.81,90.19
N00000025,454,37,6,1,2,7,53,401,8.15,1.32,0.22,0.44,1.54,11.67,88.33
N00000026,448,27,0,2,6,5,40,408,6.03,0,0.45,1.34,1.12,8.93,91.07
N00000027,508,29,3,0,7,2,41,467,5.71,0.59,0,1.38,0.39,8.07,91.93
N00000028,233,6,0,0,0,1,7,226,2.58,0,0,0,0.43,3.00,97.00
N00000029,395,36,4,2,4,6,52,343,9.11,1.01,0.51,1.01,1.52,13.16,86.84
N00000030,364,32,1,7,3,8,51,313,8.79,0.27,1.92,0.82,2.20,14.01,85.99
N00000031,680,31,3,3,7,4,48,632,4.56,0.44,0.44,1.03,0.59,7.06,92.94
N00000032,371,26,2,3,3,3,37,334,7.01,0.54,0.81,0.81,0.81,9.97,90.03
N00000033,478,41,2,3,6,7,59,419,8.58,0.42,0.63,1.26,1.46,12.34,87.66
N00000034,452,45,1,6,3,3,58,394,9.96,0.22,1.33,0.66,0.66,12.83,87.17
N00000035,278,8,0,1,0,2,11,267,2.88,0,0.36,0,0.72,3.96,96.04
N00000036,327,11,3,0,3,0,17,310,3.36,0.92,0,0.92,0,5.20,94.80
N00000037,279,14,1,3,1,3,22,257,5.02,0.36,1.08,0.36,1.08,7.89,92.11
N00000038,394,11,1,0,1,1,14,380,2.79,0.25,0,0.25,0.25,3.55,96.45
N00000039,1187,33,0,1,5,2,41,1146,2.78,0,0.08,0.42,0.17,3.45,96.55
N00000040,254,1,0,0,3,1,5,249,0.39,0,0,1.18,0.39,1.97,98.03
N00000041,439,13,0,0,0,1,14,425,2.96,0,0,0,0.23,3.19,96.81
N00000042,399,2,0,0,1,0,3,396,0.50,0,0,0.25,0,0.75,99.25
N00000043,1171,36,1,2,2,3,44,1127,3.07,0.09,0.17,0.17,0.26,3.76,96.24
N00000044,298,9,0,1,2,1,13,285,3.02,0,0.34,0.67,0.34,4.36,95.64
N00000045,496,54,12,6,7,4,83,413,10.89,2.42,1.21,1.41,0.81,16.73,83.27
N00000046,382,54,11,3,2,4,74,308,14.14,2.88,0.79,0.52,1.05,19.37,80.63
N00000047,362,61,6,6,3,4,80,282,16.85,1.66,1.66,0.83,1.10,22.10,77.90
N00000048,293,29,3,1,3,2,38,255,9.90,1.02,0.34,1.02,0.68,12.97,87.03
N00000049,245,19,3,3,4,1,30,215,7.76,1.22,1.22,1.63,0.41,12.24,87.76
N00000050,292,51,1,3,4,9,68,224,17.47,0.34,1.03,1.37,3.08,23.29,76.71
N00000051,297,19,1,0,2,0,22,275,6.40,0.34,0,0.67,0,7.41,92.59
N00000052,296,19,1,1,0,3,24,272,6.42,0.34,0.34,0,1.01,8.11,91.89
N00000053,248,6,0,0,0,1,7,241,2.42,0,0,0,0.40,2.82,97.18
N00000054,249,8,0,0,4,2,14,235,3.21,0,0,1.61,0.80,5.62,94.38
N00000055,256,21,1,1,3,2,28,228,8.20,0.39,0.39,1.17,0.78,10.94,89.06
N00000056,270,27,2,1,5,2,37,233,10.00,0.74,0.37,1.85,0.74,13.70,86.30
N00000057,256,22,0,0,2,1,25,231,8.59,0,0,0.78,0.39,9.77,90.23
N00000058,244,9,0,0,4,2,15,229,3.69,0,0,1.64,0.82,6.15,93.85
N00000059,212,17,1,4,2,0,24,188,8.02,0.47,1.89,0.94,0,11.32,88.68
N00000060,374,14,2,3,1,0,20,354,3.74,0.53,0.80,0.27,0,5.35,94.65
N00000061,267,24,1,6,1,6,38,229,8.99,0.37,2.25,0.37,2.25,14.23,85.77
N00000062,340,36,1,2,8,8,55,285,10.59,0.29,0.59,2.35,2.35,16.18,83.82
N00000063,412,33,2,3,6,4,48,364,8.01,0.49,0.73,1.46,0.97,11.65,88.35
N00000064,271,7,3,2,5,0,17,254,2.58,1.11,0.74,1.85,0,6.27,93.73
N00000065,379,30,7,4,0,3,44,335,7.92,1.85,1.06,0,0.79,11.61,88.39
N00000066,256,20,0,5,9,4,38,218,7.81,0,1.95,3.52,1.56,14.84,85.16
N00000067,298,13,0,1,2,3,19,279,4.36,0,0.34,0.67,1.01,6.38,93.62
N00000068,361,19,2,1,1,3,26,335,5.26,0.55,0.28,0.28,0.83,7.20,92.80
N00000069,319,8,2,0,5,1,16,303,2.51,0.63,0,1.57,0.31,5.02,94.98
N00000070,242,17,1,0,0,2,20,222,7.02,0.41,0,0,0.83,8.26,91.74
N00000071,274,19,0,0,2,0,21,253,6.93,0,0,0.73,0,7.66,92.34
N00000072,1663,85,5,3,11,5,109,1554,5.11,0.30,0.18,0.66,0.30,6.55,93.45
N00000073,506,30,5,2,6,4,47,459,5.93,0.99,0.40,1.19,0.79,9.29,90.71
N00000074,968,53,6,2,8,6,75,893,5.48,0.62,0.21,0.83,0.62,7.75,92.25
N00000075,401,23,1,3,3,6,36,365,5.74,0.25,0.75,0.75,1.50,8.98,91.02
N00000076,328,20,2,4,3,1,30,298,6.10,0.61,1.22,0.91,0.30,9.15,90.85
N00000077,270,15,1,0,4,0,20,250,5.56,0.37,0,1.48,0,7.41,92.59
N00000078,457,21,1,0,2,2,26,431,4.60,0.22,0,0.44,0.44,5.69,94.31
N00000079,541,50,6,5,7,6,74,467,9.24,1.11,0.92,1.29,1.11,13.68,86.32
N00000080,404,45,0,4,9,2,60,344,11.14,0,0.99,2.23,0.50,14.85,85.15
N00000081,328,33,2,0,4,7,46,282,10.06,0.61,0,1.22,2.13,14.02,85.98
N00000082,336,72,5,6,5,10,98,238,21.43,1.49,1.79,1.49,2.98,29.17,70.83
N00000083,637,106,18,6,10,7,147,490,16.64,2.83,0.94,1.57,1.10,23.08,76.92
N00000084,444,47,14,11,9,9,90,354,10.59,3.15,2.48,2.03,2.03,20.27,79.73
N00000085,417,21,5,1,7,2,36,381,5.04,1.20,0.24,1.68,0.48,8.63,91.37
N00000086,369,8,0,1,1,0,10,359,2.17,0,0.27,0.27,0,2.71,97.29
N00000087,874,49,1,0,7,11,68,806,5.61,0.11,0,0.80,1.26,7.78,92.22
N00000088,213,25,1,0,7,2,35,178,11.74,0.47,0,3.29,0.94,16.43,83.57
N00000089,447,23,0,1,0,0,24,423,5.15,0,0.22,0,0,5.37,94.63
N00000090,377,15,0,1,1,1,18,359,3.98,0,0.27,0.27,0.27,4.77,95.23
N00000091,450,19,0,1,6,4,30,420,4.22,0,0.22,1.33,0.89,6.67,93.33
N00000092,481,72,10,13,22,12,129,352,14.97,2.08,2.70,4.57,2.49,26.82,73.18
N00000093,407,45,3,7,9,2,66,341,11.06,0.74,1.72,2.21,0.49,16.22,83.78
N00000094,479,62,14,6,11,10,103,376,12.94,2.92,1.25,2.30,2.09,21.50,78.50
N00000095,454,25,5,1,1,8,40,414,5.51,1.10,0.22,0.22,1.76,8.81,91.19
N00000096,454,79,5,2,6,5,97,357,17.40,1.10,0.44,1.32,1.10,21.37,78.63
