GeographyCode,KS801NI0001,KS801NI0002,KS801NI0003,KS801NI0004,KS801NI0005,KS801NI0006,KS801NI0007,KS801NI0008,KS801NI0009,KS801NI0010
N00000001,269,167,83,11,8,1,62.08,30.86,4.09,2.97
N00000002,309,283,8,5,13,0,91.59,2.59,1.62,4.21
N00000003,220,201,6,3,10,0,91.36,2.73,1.36,4.55
N00000004,566,535,11,5,15,0,94.52,1.94,0.88,2.65
N00000005,345,317,3,10,15,0,91.88,0.87,2.90,4.35
N00000006,226,212,4,1,9,0,93.81,1.77,0.44,3.98
N00000007,218,196,3,5,14,1,89.91,1.38,2.29,6.42
N00000008,240,225,0,8,7,0,93.75,0,3.33,2.92
N00000009,642,595,14,11,22,0,92.68,2.18,1.71,3.43
N00000010,220,214,0,2,4,0,97.27,0,0.91,1.82
N00000011,260,237,3,2,18,0,91.15,1.15,0.77,6.92
N00000012,237,224,4,2,7,0,94.51,1.69,0.84,2.95
N00000013,236,214,5,2,15,0,90.68,2.12,0.85,6.36
N00000014,386,360,8,6,12,0,93.26,2.07,1.55,3.11
N00000015,204,187,2,2,13,1,91.67,0.98,0.98,6.37
N00000016,182,162,5,3,12,0,89.01,2.75,1.65,6.59
N00000017,315,296,2,10,7,0,93.97,0.63,3.17,2.22
N00000018,202,195,0,1,6,0,96.53,0,0.50,2.97
N00000019,230,217,3,1,9,0,94.35,1.30,0.43,3.91
N00000020,212,199,5,3,5,0,93.87,2.36,1.42,2.36
N00000021,241,223,4,5,9,0,92.53,1.66,2.07,3.73
N00000022,238,226,5,4,3,0,94.96,2.10,1.68,1.26
N00000023,194,183,3,2,6,0,94.33,1.55,1.03,3.09
N00000024,492,457,8,2,25,0,92.89,1.63,0.41,5.08
N00000025,423,408,4,1,10,0,96.45,0.95,0.24,2.36
N00000026,442,423,6,2,11,0,95.70,1.36,0.45,2.49
N00000027,502,471,9,7,15,0,93.82,1.79,1.39,2.99
N00000028,216,211,0,0,5,0,97.69,0,0,2.31
N00000029,367,344,6,1,16,0,93.73,1.63,0.27,4.36
N00000030,349,329,4,8,8,0,94.27,1.15,2.29,2.29
N00000031,668,621,14,7,26,0,92.96,2.10,1.05,3.89
N00000032,367,347,4,1,15,0,94.55,1.09,0.27,4.09
N00000033,462,441,9,0,12,0,95.45,1.95,0,2.60
N00000034,423,389,9,6,19,0,91.96,2.13,1.42,4.49
N00000035,244,234,3,5,2,0,95.90,1.23,2.05,0.82
N00000036,313,297,5,3,8,0,94.89,1.60,0.96,2.56
N00000037,267,247,5,5,10,0,92.51,1.87,1.87,3.75
N00000038,384,367,1,2,14,0,95.57,0.26,0.52,3.65
N00000039,1141,1073,18,18,32,1,94.04,1.58,1.58,2.80
N00000040,243,219,6,4,14,0,90.12,2.47,1.65,5.76
N00000041,434,413,2,6,13,0,95.16,0.46,1.38,3.00
N00000042,389,375,6,0,8,0,96.40,1.54,0,2.06
N00000043,1145,1093,9,12,31,0,95.46,0.79,1.05,2.71
N00000044,293,283,4,2,4,0,96.59,1.37,0.68,1.37
N00000045,487,465,5,2,15,0,95.48,1.03,0.41,3.08
N00000046,375,353,5,0,17,0,94.13,1.33,0,4.53
N00000047,337,316,4,1,16,2,93.77,1.19,0.30,4.75
N00000048,266,255,2,2,7,0,95.86,0.75,0.75,2.63
N00000049,220,202,9,4,5,1,91.82,4.09,1.82,2.27
N00000050,271,248,5,4,14,0,91.51,1.85,1.48,5.17
N00000051,267,252,5,1,9,0,94.38,1.87,0.37,3.37
N00000052,264,246,3,1,14,0,93.18,1.14,0.38,5.30
N00000053,208,196,4,4,4,0,94.23,1.92,1.92,1.92
N00000054,238,231,0,2,5,0,97.06,0,0.84,2.10
N00000055,241,227,1,1,12,0,94.19,0.41,0.41,4.98
N00000056,247,230,3,5,9,0,93.12,1.21,2.02,3.64
N00000057,244,233,2,5,4,0,95.49,0.82,2.05,1.64
N00000058,221,207,1,3,10,0,93.67,0.45,1.36,4.52
N00000059,184,172,4,0,8,0,93.48,2.17,0,4.35
N00000060,337,323,2,5,7,0,95.85,0.59,1.48,2.08
N00000061,233,219,0,2,12,0,93.99,0,0.86,5.15
N00000062,309,268,14,3,24,0,86.73,4.53,0.97,7.77
N00000063,370,342,7,3,18,0,92.43,1.89,0.81,4.86
N00000064,235,219,2,6,8,0,93.19,0.85,2.55,3.40
N00000065,332,316,5,3,8,0,95.18,1.51,0.90,2.41
N00000066,241,224,2,3,12,1,92.95,0.83,1.24,4.98
N00000067,283,261,1,3,18,0,92.23,0.35,1.06,6.36
N00000068,324,306,3,2,13,1,94.44,0.93,0.62,4.01
N00000069,306,285,12,7,2,0,93.14,3.92,2.29,0.65
N00000070,208,187,3,4,14,0,89.90,1.44,1.92,6.73
N00000071,248,226,4,4,14,1,91.13,1.61,1.61,5.65
N00000072,1469,1377,13,27,52,6,93.74,0.88,1.84,3.54
N00000073,419,377,9,13,20,0,89.98,2.15,3.10,4.77
N00000074,875,804,18,26,27,0,91.89,2.06,2.97,3.09
N00000075,276,251,11,1,13,0,90.94,3.99,0.36,4.71
N00000076,301,277,4,7,13,0,92.03,1.33,2.33,4.32
N00000077,242,221,4,5,12,0,91.32,1.65,2.07,4.96
N00000078,400,374,4,10,12,0,93.50,1.00,2.50,3.00
N00000079,518,477,8,19,14,0,92.08,1.54,3.67,2.70
N00000080,398,379,2,6,11,0,95.23,0.50,1.51,2.76
N00000081,312,290,3,7,12,0,92.95,0.96,2.24,3.85
N00000082,319,298,3,4,14,0,93.42,0.94,1.25,4.39
N00000083,600,560,9,11,20,6,93.33,1.50,1.83,3.33
N00000084,435,407,5,4,19,0,93.56,1.15,0.92,4.37
N00000085,366,335,2,6,23,0,91.53,0.55,1.64,6.28
N00000086,328,310,4,4,10,3,94.51,1.22,1.22,3.05
N00000087,818,774,5,13,26,1,94.62,0.61,1.59,3.18
N00000088,190,179,0,1,10,0,94.21,0,0.53,5.26
N00000089,432,409,9,7,7,0,94.68,2.08,1.62,1.62
N00000090,335,308,10,6,11,0,91.94,2.99,1.79,3.28
N00000091,426,395,9,7,15,0,92.72,2.11,1.64,3.52
N00000092,474,450,9,4,11,0,94.94,1.90,0.84,2.32
N00000093,385,363,3,0,19,0,94.29,0.78,0,4.94
N00000094,464,432,7,3,22,0,93.10,1.51,0.65,4.74
N00000095,443,419,6,9,9,0,94.58,1.35,2.03,2.03
N00000096,419,387,6,3,23,0,92.36,1.43,0.72,5.49
N00000097,707,655,10,16,26,1,92.64,1.41,2.26,3.68
N00000098,884,807,26,29,22,4,91.29,2.94,3.28,2.49
N00000099,225,204,6,2,13,0,90.67,2.67,0.89,5.78
N00000100,280,255,3,8,14,3,91.07,1.07,2.86,5.00
N00000101,210,194,4,6,6,0,92.38,1.90,2.86,2.86
N00000102,273,258,2,1,12,0,94.51,0.73,0.37,4.40
N00000103,506,477,4,5,20,0,94.27,0.79,0.99,3.95
N00000104,243,222,3,6,12,0,91.36,1.23,2.47,4.94
N00000105,268,253,0,3,12,1,94.40,0,1.12,4.48
N00000106,176,168,0,2,6,0,95.45,0,1.14,3.41
N00000107,239,230,3,3,3,0,96.23,1.26,1.26,1.26
N00000108,198,177,2,8,11,0,89.39,1.01,4.04,5.56
N00000109,411,392,5,7,7,0,95.38,1.22,1.70,1.70
N00000110,198,184,2,2,10,0,92.93,1.01,1.01,5.05
N00000111,315,291,6,1,17,0,92.38,1.90,0.32,5.40
N00000112,354,333,3,3,15,0,94.07,0.85,0.85,4.24
N00000113,261,247,5,0,9,0,94.64,1.92,0,3.45
N00000114,277,261,1,3,12,0,94.22,0.36,1.08,4.33
N00000115,263,249,3,1,10,0,94.68,1.14,0.38,3.80
N00000116,249,229,7,0,13,1,91.97,2.81,0,5.22
N00000117,138,128,2,1,7,0,92.75,1.45,0.72,5.07
N00000118,288,253,12,5,18,0,87.85,4.17,1.74,6.25
N00000119,266,242,5,5,14,0,90.98,1.88,1.88,5.26
N00000120,296,269,5,4,18,0,90.88,1.69,1.35,6.08
N00000121,270,251,7,2,10,1,92.96,2.59,0.74,3.70
N00000122,418,385,10,7,16,0,92.11,2.39,1.67,3.83
N00000123,329,306,7,3,13,0,93.01,2.13,0.91,3.95
N00000124,334,299,10,5,20,0,89.52,2.99,1.50,5.99
N00000125,450,422,14,5,9,0,93.78,3.11,1.11,2.00
N00000126,458,446,5,4,3,0,97.38,1.09,0.87,0.66
N00000127,382,368,2,7,5,0,96.34,0.52,1.83,1.31
N00000128,936,888,16,10,22,1,94.87,1.71,1.07,2.35
N00000129,325,315,2,4,4,0,96.92,0.62,1.23,1.23
N00000130,472,456,0,2,14,0,96.61,0,0.42,2.97
N00000131,360,341,2,7,10,0,94.72,0.56,1.94,2.78
N00000132,350,335,5,2,8,0,95.71,1.43,0.57,2.29
N00000133,299,289,0,4,6,0,96.66,0,1.34,2.01
N00000134,395,375,8,5,7,0,94.94,2.03,1.27,1.77
N00000135,299,284,4,4,7,0,94.98,1.34,1.34,2.34
N00000136,463,443,3,5,12,0,95.68,0.65,1.08,2.59
