GeographyCode,LC2609NI0001,LC2609NI0002,LC2609NI0003,LC2609NI0004,LC2609NI0005,LC2609NI0006,LC2609NI0007,LC2609NI0008,LC2609NI0009,LC2609NI0010,LC2609NI0011,LC2609NI0012,LC2609NI0013,LC2609NI0014,LC2609NI0015,LC2609NI0016,LC2609NI0017,LC2609NI0018,LC2609NI0019,LC2609NI0020,LC2609NI0021,LC2609NI0022,LC2609NI0023,LC2609NI0024,LC2609NI0025,LC2609NI0026,LC2609NI0027,LC2609NI0028,LC2609NI0029,LC2609NI0030,LC2609NI0031,LC2609NI0032,LC2609NI0033,LC2609NI0034,LC2609NI0035
N06000001,42630,4643,25191,10992,7253,6946,12796,10763,1431,6092,2712,1559,1821,3240,9570,918,5427,2372,1584,1471,3225,17230,1584,10680,4599,3162,2919,4966,5067,710,2992,1309,948,735,1365
N06000002,40396,16610,14378,6209,4311,3858,9408,7636,3721,1993,832,554,607,1922,8271,3261,2920,1288,878,754,2090,18637,7500,7000,3019,2116,1865,4137,5852,2128,2465,1070,763,632,1259
N06000003,55372,22534,16380,6787,5242,4351,16458,19325,9054,4522,1853,1414,1255,5749,11024,4042,3291,1377,1047,867,3691,19402,7494,6610,2780,2120,1710,5298,5621,1944,1957,777,661,519,1720
N06000004,33464,23916,4101,1528,1687,886,5447,5228,3705,494,161,170,163,1029,6639,4596,870,330,359,181,1173,16638,12188,1958,735,818,405,2492,4959,3427,779,302,340,137,753
N06000005,41541,7336,24756,12631,6246,5879,9449,8831,1640,5053,2438,1265,1350,2138,10546,1841,6201,3301,1477,1423,2504,17826,3033,10960,5602,2817,2541,3833,4338,822,2542,1290,687,565,974
N06000006,41416,15600,19659,10265,6847,2547,6157,8529,3252,3847,1976,1154,717,1430,11123,4336,5176,2935,1639,602,1611,16976,6287,8263,4152,3155,956,2426,4788,1725,2373,1202,899,272,690
N06000007,46305,24153,16909,3262,9789,3858,5243,8886,4869,3058,685,1486,887,959,13418,6714,5224,981,3047,1196,1480,18890,9805,6915,1288,4184,1443,2170,5111,2765,1712,308,1072,332,634
N06000008,37685,24411,7948,3899,2991,1058,5326,8420,5506,1532,743,504,285,1382,8323,5170,1892,969,685,238,1261,16745,11072,3519,1717,1383,419,2154,4197,2663,1005,470,419,116,529
N06000009,48661,8434,29771,12075,10570,7126,10456,12466,2408,7402,3057,2375,1970,2656,12238,1913,7577,3096,2644,1837,2748,19529,3338,12115,4901,4451,2763,4076,4428,775,2677,1021,1100,556,976
N06000010,42894,26240,12416,5223,4863,2330,4238,8914,5911,2213,973,782,458,790,13543,8200,3983,1715,1554,714,1360,16022,9611,4822,1990,1949,883,1589,4415,2518,1398,545,578,275,499
N06000011,47887,27530,13934,5617,5280,3037,6423,10043,5944,2734,1057,967,710,1365,13021,7076,4142,1800,1472,870,1803,19493,11269,5699,2237,2321,1141,2525,5330,3241,1359,523,520,316,730
N06000012,48624,12529,28688,18139,5501,5048,7407,9743,2663,5588,3423,942,1223,1492,13754,3629,8086,5250,1429,1407,2039,19940,4996,11890,7496,2434,1960,3054,5187,1241,3124,1970,696,458,822
N06000013,41565,4707,24648,12217,6900,5531,12210,10322,1305,6045,2940,1675,1430,2972,10212,1049,5916,2934,1661,1321,3247,17687,1958,10739,5356,2983,2400,4990,3344,395,1948,987,581,380,1001
N06000014,48258,14106,24577,13591,5747,5239,9575,10663,3345,5251,2823,1116,1312,2067,12395,3394,6483,3725,1384,1374,2518,20055,5879,10285,5634,2548,2103,3891,5145,1488,2558,1409,699,450,1099
N06000015,47692,29979,11697,6758,2719,2220,6016,10538,6942,2180,1142,514,524,1416,14566,8718,4008,2411,876,721,1840,18173,11634,4441,2597,1064,780,2098,4415,2685,1068,608,265,195,662
N06000016,41427,6287,25779,14612,6036,5131,9361,8452,1306,5175,2765,1239,1171,1971,11322,1738,6952,4064,1585,1303,2632,17754,2644,11226,6345,2635,2246,3884,3899,599,2426,1438,577,411,874
N06000017,52770,20838,23530,7320,10108,6102,8402,10718,3884,5150,1694,1937,1519,1684,12655,4603,5994,1918,2558,1518,2058,23430,9649,10135,3062,4559,2514,3646,5967,2702,2251,646,1054,551,1014
N06000018,36676,22532,10830,5110,4194,1526,3314,7314,4861,1704,792,580,332,749,11100,6395,3705,1807,1380,518,1000,14450,9066,4170,1941,1723,506,1214,3812,2210,1251,570,511,170,351
