GeographyCode,LC6110NI0001,LC6110NI0002,LC6110NI0003,LC6110NI0004,LC6110NI0005,LC6110NI0006,LC6110NI0007,LC6110NI0008,LC6110NI0009
N06000001,42630,11829,30801,21469,2934,18535,21161,8895,12266
N06000002,40396,12955,27441,20045,3414,16631,20351,9541,10810
N06000003,55372,16096,39276,27882,5055,22827,27490,11041,16449
N06000004,33464,12407,21057,15911,3262,12649,17553,9145,8408
N06000005,41541,12034,29507,21299,2831,18468,20242,9203,11039
N06000006,41416,12705,28711,21707,3539,18168,19709,9166,10543
N06000007,46305,12574,33731,24971,3606,21365,21334,8968,12366
N06000008,37685,12593,25092,19074,3946,15128,18611,8647,9964
N06000009,48661,13196,35465,25387,3045,22342,23274,10151,13123
N06000010,42894,11645,31249,23403,3110,20293,19491,8535,10956
N06000011,47887,13905,33982,25224,3763,21461,22663,10142,12521
N06000012,48624,13312,35312,25772,3106,22666,22852,10206,12646
N06000013,41565,12099,29466,21248,2998,18250,20317,9101,11216
N06000014,48258,13112,35146,24908,3025,21883,23350,10087,13263
N06000015,47692,13690,34002,25300,3611,21689,22392,10079,12313
N06000016,41427,12019,29408,21175,2725,18450,20252,9294,10958
N06000017,52770,14479,38291,27599,3487,24112,25171,10992,14179
N06000018,36676,10071,26605,19756,2984,16772,16920,7087,9833
