GeographyCode,LC2103NI0001,LC2103NI0002,LC2103NI0003,LC2103NI0004,LC2103NI0005,LC2103NI0006,LC2103NI0007,LC2103NI0008,LC2103NI0009,LC2103NI0010,LC2103NI0011,LC2103NI0012,LC2103NI0013,LC2103NI0014,LC2103NI0015,LC2103NI0016
N06000001,92221,81562,5328,5331,26942,24949,765,1228,13380,10460,903,2017,51899,46153,3660,2086
N06000002,102531,93058,4877,4596,33700,31585,888,1227,14496,12207,802,1487,54335,49266,3187,1882
N06000003,111402,91768,9075,10559,38747,33447,2507,2793,19443,13681,1891,3871,53212,44640,4677,3895
N06000004,93986,88307,3325,2354,35551,34248,714,589,13285,11988,546,751,45150,42071,2065,1014
N06000005,90067,81529,5807,2731,29095,27192,1131,772,10022,8735,592,695,50950,45602,4084,1264
N06000006,99673,89728,6758,3187,33423,31047,1461,915,11968,10377,700,891,54282,48304,4597,1381
N06000007,102553,85330,9756,7467,34428,30331,1667,2430,14165,10639,1068,2458,53960,44360,7021,2579
N06000008,100807,89038,8751,3018,36326,34002,1491,833,13963,12123,991,849,50518,42913,6269,1336
N06000009,101710,89848,7575,4287,32028,29179,1654,1195,12914,10561,1122,1231,56768,50108,4799,1861
N06000010,99155,91033,4092,4030,36141,34008,851,1282,14189,12297,524,1368,48825,44728,2717,1380
N06000011,112401,97462,8881,6058,39587,36263,1460,1864,15628,12521,1036,2071,57186,48678,6385,2123
N06000012,108207,98710,5517,3980,34445,32212,1082,1151,13456,11624,572,1260,60306,54874,3863,1569
N06000013,89498,77207,8772,3519,25621,22970,1809,842,10589,8653,1050,886,53288,45584,5913,1791
N06000014,99238,89166,6201,3871,33132,30852,1340,940,13355,11042,964,1349,52751,47272,3897,1582
N06000015,108835,97646,7583,3606,38433,35758,1597,1078,14027,12142,842,1043,56375,49746,5144,1485
N06000016,89370,81514,5365,2491,27503,25996,885,622,10151,8935,545,671,51716,46583,3935,1198
N06000017,118010,104371,6209,7430,40199,36828,1134,2237,16923,13683,803,2437,60888,53860,4272,2756
N06000018,91199,81576,6785,2838,31656,29637,1094,925,11984,10366,710,908,47559,41573,4981,1005
