GeographyCode,LC4404NI0001,LC4404NI0002,LC4404NI0003,LC4404NI0004,LC4404NI0005,LC4404NI0006,LC4404NI0007,LC4404NI0008,LC4404NI0009,LC4404NI0010,LC4404NI0011,LC4404NI0012,LC4404NI0013,LC4404NI0014,LC4404NI0015,LC4404NI0016,LC4404NI0017,LC4404NI0018,LC4404NI0019,LC4404NI0020,LC4404NI0021,LC4404NI0022,LC4404NI0023,LC4404NI0024,LC4404NI0025,LC4404NI0026,LC4404NI0027,LC4404NI0028,LC4404NI0029,LC4404NI0030,LC4404NI0031,LC4404NI0032,LC4404NI0033,LC4404NI0034,LC4404NI0035,LC4404NI0036,LC4404NI0037,LC4404NI0038,LC4404NI0039,LC4404NI0040,LC4404NI0041,LC4404NI0042,LC4404NI0043,LC4404NI0044,LC4404NI0045,LC4404NI0046,LC4404NI0047,LC4404NI0048,LC4404NI0049,LC4404NI0050,LC4404NI0051,LC4404NI0052,LC4404NI0053,LC4404NI0054,LC4404NI0055,LC4404NI0056,LC4404NI0057,LC4404NI0058,LC4404NI0059,LC4404NI0060
N06000001,40918,34268,6650,30235,24983,5252,10096,8824,1272,458,371,87,129,90,39,25926,24400,1526,19662,18381,1281,6057,5820,237,167,161,6,40,38,2,8152,5018,3134,5819,3153,2666,2146,1703,443,152,136,16,35,26,9,6840,4850,1990,4754,3449,1305,1893,1301,592,139,74,65,54,26,28
N06000002,44601,37317,7284,31454,25642,5812,12302,10981,1321,657,562,95,188,132,56,24379,23073,1306,17189,16158,1031,6840,6588,252,290,271,19,60,56,4,12523,8632,3891,8847,5552,3295,3382,2837,545,217,196,21,77,47,30,7699,5612,2087,5418,3932,1486,2080,1556,524,150,95,55,51,29,22
N06000003,46630,37061,9569,33284,26757,6527,12395,9666,2729,665,482,183,286,156,130,26401,24145,2256,20326,18475,1851,5816,5438,378,199,184,15,60,48,12,7192,4640,2552,5069,2989,2080,1890,1470,420,178,153,25,55,28,27,13037,8276,4761,7889,5293,2596,4689,2758,1931,288,145,143,171,80,91
N06000004,36580,32062,4518,22187,18929,3258,13144,12020,1124,995,906,89,254,207,47,20005,19112,893,12129,11501,628,7338,7088,250,438,425,13,100,98,2,11865,9348,2517,7016,5068,1948,4302,3791,511,445,405,40,102,84,18,4710,3602,1108,3042,2360,682,1504,1141,363,112,76,36,52,25,27
N06000005,36112,32428,3684,26882,23841,3041,8890,8274,616,283,265,18,57,48,9,26378,25344,1034,19709,18874,835,6471,6281,190,168,162,6,30,27,3,4423,2765,1658,3359,1889,1470,1012,832,180,38,35,3,14,9,5,5311,4319,992,3814,3078,736,1407,1161,246,77,68,9,13,12,1
N06000006,37981,35485,2496,27183,25183,2000,10197,9748,449,470,443,27,131,111,20,25826,25312,514,18695,18275,420,6810,6724,86,262,255,7,59,58,1,4980,3953,1027,3514,2600,914,1347,1242,105,92,86,6,27,25,2,7175,6220,955,4974,4308,666,2040,1782,258,116,102,14,45,28,17
N06000007,37590,35975,1615,25971,24810,1161,10798,10415,383,624,581,43,197,169,28,26691,26389,302,18663,18442,221,7600,7532,68,344,336,8,84,79,5,3694,3144,550,2630,2164,466,975,895,80,65,61,4,24,24,0,7205,6442,763,4678,4204,474,2223,1988,235,215,184,31,89,66,23
N06000008,38404,34329,4075,25018,21787,3231,12353,11597,756,810,762,48,223,183,40,21751,21242,509,14065,13660,405,7208,7115,93,390,383,7,88,84,4,9083,7073,2010,5686,4008,1678,3060,2759,301,256,243,13,81,63,18,7570,6014,1556,5267,4119,1148,2085,1723,362,164,136,28,54,36,18
N06000009,39850,36596,3254,29281,26624,2657,10093,9529,564,398,374,24,78,69,9,29499,28569,930,22113,21344,769,7151,6997,154,194,190,4,41,38,3,5283,3712,1571,3679,2309,1370,1472,1281,191,112,105,7,20,17,3,5068,4315,753,3489,2971,518,1470,1251,219,92,79,13,17,14,3
N06000010,33690,32682,1008,21806,21071,735,11083,10841,242,632,612,20,169,158,11,24701,24508,193,15755,15636,119,8402,8340,62,445,435,10,99,97,2,2889,2487,402,1958,1622,336,839,781,58,64,60,4,28,24,4,6100,5687,413,4093,3813,280,1842,1720,122,123,117,6,42,37,5
