GeographyCode,LC1104NI0001,LC1104NI0002,LC1104NI0003,LC1104NI0004,LC1104NI0005,LC1104NI0006,LC1104NI0007,LC1104NI0008,LC1104NI0009,LC1104NI0010,LC1104NI0011,LC1104NI0012,LC1104NI0013,LC1104NI0014,LC1104NI0015,LC1104NI0016,LC1104NI0017,LC1104NI0018,LC1104NI0019,LC1104NI0020,LC1104NI0021,LC1104NI0022,LC1104NI0023,LC1104NI0024,LC1104NI0025,LC1104NI0026,LC1104NI0027,LC1104NI0028,LC1104NI0029,LC1104NI0030,LC1104NI0031,LC1104NI0032,LC1104NI0033,LC1104NI0034,LC1104NI0035,LC1104NI0036,LC1104NI0037,LC1104NI0038,LC1104NI0039,LC1104NI0040,LC1104NI0041,LC1104NI0042,LC1104NI0043,LC1104NI0044,LC1104NI0045,LC1104NI0046,LC1104NI0047,LC1104NI0048,LC1104NI0049,LC1104NI0050,LC1104NI0051,LC1104NI0052,LC1104NI0053,LC1104NI0054
N06000001,74196,38945,35251,35071,19561,15510,39125,19384,19741,23160,7756,15404,11214,3466,7748,11946,4290,7656,13436,8489,4947,6630,4318,2312,6806,4171,2635,12877,8314,4563,6238,4156,2082,6639,4158,2481,9461,6376,3085,4686,3304,1382,4775,3072,1703,15262,8010,7252,6303,4317,1986,8959,3693,5266
N06000002,80513,35022,45491,37890,17549,20341,42623,17473,25150,27143,6602,20541,13090,2953,10137,14053,3649,10404,13352,6830,6522,6469,3415,3054,6883,3415,3468,13911,7803,6108,6667,3905,2762,7244,3898,3346,10358,6340,4018,5148,3262,1886,5210,3078,2132,15749,7447,8302,6516,4014,2502,9233,3433,5800
N06000003,90664,40364,50300,43891,20258,23633,46773,20106,26667,38606,9012,29594,19218,4061,15157,19388,4951,14437,14334,8728,5606,7290,4441,2849,7044,4287,2757,13800,8887,4913,6663,4424,2239,7137,4463,2674,9721,6357,3364,4806,3316,1490,4915,3041,1874,14203,7380,6823,5914,4016,1898,8289,3364,4925
N06000004,71573,27074,44499,33167,13532,19635,38406,13542,24864,27134,4984,22150,13075,2246,10829,14059,2738,11321,11642,5223,6419,5330,2594,2736,6312,2629,3683,12691,6537,6154,5798,3206,2592,6893,3331,3562,8922,5140,3782,4281,2675,1606,4641,2465,2176,11184,5190,5994,4683,2811,1872,6501,2379,4122
N06000005,70240,40314,29926,33899,20153,13746,36341,20161,16180,20056,5794,14262,9876,2489,7387,10180,3305,6875,12679,8912,3767,6084,4332,1752,6595,4580,2015,13498,9889,3609,6714,4981,1733,6784,4908,1876,10387,7737,2650,5128,3930,1198,5259,3807,1452,13620,7982,5638,6097,4421,1676,7523,3561,3962
N06000006,77212,42418,34794,37697,21203,16494,39515,21215,18300,23931,6314,17617,11938,2716,9222,11993,3598,8395,14080,9763,4317,6843,4748,2095,7237,5015,2222,13845,9968,3877,6910,5013,1897,6935,4955,1980,11070,8168,2902,5548,4159,1389,5522,4009,1513,14286,8205,6081,6458,4567,1891,7828,3638,4190
N06000007,79297,43215,36082,39612,21594,18018,39685,21621,18064,26202,7946,18256,13465,3449,10016,12737,4497,8240,14345,9937,4408,7258,4868,2390,7087,5069,2018,13828,9988,3840,7034,5040,1994,6794,4948,1846,11117,8008,3109,5585,4074,1511,5532,3934,1598,13805,7336,6469,6270,4163,2107,7535,3173,4362
N06000008,77016,34602,42414,37067,17300,19767,39949,17302,22647,27293,5257,22036,13371,2320,11051,13922,2937,10985,14079,7897,6182,6771,3843,2928,7308,4054,3254,13844,8511,5333,6641,4279,2362,7203,4232,2971,10302,6839,3463,5079,3531,1548,5223,3308,1915,11498,6098,5400,5205,3327,1878,6293,2771,3522
N06000009,79173,47864,31309,38284,23929,14355,40889,23935,16954,23470,8152,15318,11696,3595,8101,11774,4557,7217,14865,11001,3864,7203,5393,1810,7662,5608,2054,14387,10795,3592,7129,5472,1657,7258,5323,1935,11118,8552,2566,5441,4372,1069,5677,4180,1497,15333,9364,5969,6815,5097,1718,8518,4267,4251
N06000010,75434,41302,34132,37514,20648,16866,37920,20654,17266,27183,7771,19412,13763,3352,10411,13420,4419,9001,14270,10407,3863,7197,5206,1991,7073,5201,1872,12587,9410,3177,6397,4777,1620,6190,4633,1557,9616,7230,2386,4802,3690,1112,4814,3540,1274,11778,6484,5294,5355,3623,1732,6423,2861,3562
