GeographyCode,LC6604NI0001,LC6604NI0002,LC6604NI0003,LC6604NI0004,LC6604NI0005,LC6604NI0006,LC6604NI0007,LC6604NI0008,LC6604NI0009,LC6604NI0010,LC6604NI0011,LC6604NI0012,LC6604NI0013,LC6604NI0014,LC6604NI0015,LC6604NI0016,LC6604NI0017,LC6604NI0018,LC6604NI0019,LC6604NI0020,LC6604NI0021,LC6604NI0022,LC6604NI0023,LC6604NI0024,LC6604NI0025,LC6604NI0026,LC6604NI0027,LC6604NI0028,LC6604NI0029,LC6604NI0030,LC6604NI0031,LC6604NI0032,LC6604NI0033,LC6604NI0034,LC6604NI0035,LC6604NI0036,LC6604NI0037,LC6604NI0038,LC6604NI0039,LC6604NI0040,LC6604NI0041,LC6604NI0042,LC6604NI0043,LC6604NI0044,LC6604NI0045
N06000001,42630,11829,30801,10763,1608,9155,9570,1523,8047,17230,6287,10943,5067,2411,2656,21469,2934,18535,5397,279,5118,6681,666,6015,6677,1258,5419,2714,731,1983,21161,8895,12266,5366,1329,4037,2889,857,2032,10553,5029,5524,2353,1680,673
N06000002,40396,12955,27441,7636,1111,6525,8271,1350,6921,18637,7659,10978,5852,2835,3017,20045,3414,16631,3831,252,3579,5902,631,5271,7037,1637,5400,3275,894,2381,20351,9541,10810,3805,859,2946,2369,719,1650,11600,6022,5578,2577,1941,636
N06000003,55372,16096,39276,19325,2618,16707,11024,1999,9025,19402,8273,11129,5621,3206,2415,27882,5055,22827,9991,631,9360,7183,958,6225,7679,2174,5505,3029,1292,1737,27490,11041,16449,9334,1987,7347,3841,1041,2800,11723,6099,5624,2592,1914,678
N06000004,33464,12407,21057,5228,820,4408,6639,1343,5296,16638,7544,9094,4959,2700,2259,15911,3262,12649,2463,188,2275,4690,641,4049,6189,1639,4550,2569,794,1775,17553,9145,8408,2765,632,2133,1949,702,1247,10449,5905,4544,2390,1906,484
N06000005,41541,12034,29507,8831,1611,7220,10546,1572,8974,17826,6843,10983,4338,2008,2330,21299,2831,18468,4389,284,4105,7864,713,7151,6605,1238,5367,2441,596,1845,20242,9203,11039,4442,1327,3115,2682,859,1823,11221,5605,5616,1897,1412,485
N06000006,41416,12705,28711,8529,1438,7091,11123,1840,9283,16976,6801,10175,4788,2626,2162,21707,3539,18168,3929,287,3642,8627,968,7659,6623,1422,5201,2528,862,1666,19709,9166,10543,4600,1151,3449,2496,872,1624,10353,5379,4974,2260,1764,496
N06000007,46305,12574,33731,8886,1507,7379,13418,2148,11270,18890,6781,12109,5111,2138,2973,24971,3606,21365,3851,274,3577,10642,1264,9378,7692,1420,6272,2786,648,2138,21334,8968,12366,5035,1233,3802,2776,884,1892,11198,5361,5837,2325,1490,835
N06000008,37685,12593,25092,8420,1184,7236,8323,1614,6709,16745,7370,9375,4197,2425,1772,19074,3946,15128,3995,338,3657,6076,835,5241,6805,1968,4837,2198,805,1393,18611,8647,9964,4425,846,3579,2247,779,1468,9940,5402,4538,1999,1620,379
N06000009,48661,13196,35465,12466,2147,10319,12238,1793,10445,19529,7297,12232,4428,1959,2469,25387,3045,22342,6304,306,5998,9086,803,8283,7436,1294,6142,2561,642,1919,23274,10151,13123,6162,1841,4321,3152,990,2162,12093,6003,6090,1867,1317,550
N06000010,42894,11645,31249,8914,1521,7393,13543,2017,11526,16022,6151,9871,4415,1956,2459,23403,3110,20293,3878,233,3645,11105,1206,9899,6002,1121,4881,2418,550,1868,19491,8535,10956,5036,1288,3748,2438,811,1627,10020,5030,4990,1997,1406,591
N06000011,47887,13905,33982,10043,1839,8204,13021,2223,10798,19493,7543,11950,5330,2300,3030,25224,3763,21461,4431,317,4114,10133,1245,8888,7796,1505,6291,2864,696,2168,22663,10142,12521,5612,1522,4090,2888,978,1910,11697,6038,5659,2466,1604,862
N06000012,48624,13312,35312,9743,1735,8008,13754,1901,11853,19940,7397,12543,5187,2279,2908,25772,3106,22666,4495,252,4243,10873,929,9944,7582,1277,6305,2822,648,2174,22852,10206,12646,5248,1483,3765,2881,972,1909,12358,6120,6238,2365,1631,734
N06000013,41565,12099,29466,10322,1924,8398,10212,1810,8402,17687,6704,10983,3344,1661,1683,21248,2998,18250,5254,364,4890,7299,818,6481,6814,1226,5588,1881,590,1291,20317,9101,11216,5068,1560,3508,2913,992,1921,10873,5478,5395,1463,1071,392
N06000014,48258,13112,35146,10663,1652,9011,12395,1680,10715,20055,7500,12555,5145,2280,2865,24908,3025,21883,5141,248,4893,9334,729,8605,7610,1386,6224,2823,662,2161,23350,10087,13263,5522,1404,4118,3061,951,2110,12445,6114,6331,2322,1618,704
N06000015,47692,13690,34002,10538,2026,8512,14566,2253,12313,18173,7227,10946,4415,2184,2231,25300,3611,21689,4807,371,4436,11581,1251,10330,6535,1289,5246,2377,700,1677,22392,10079,12313,5731,1655,4076,2985,1002,1983,11638,5938,5700,2038,1484,554
N06000016,41427,12019,29408,8452,1672,6780,11322,1760,9562,17754,6760,10994,3899,1827,2072,21175,2725,18450,4015,277,3738,8597,807,7790,6426,1120,5306,2137,521,1616,20252,9294,10958,4437,1395,3042,2725,953,1772,11328,5640,5688,1762,1306,456
