GeographyCode,LC1105NI0001,LC1105NI0002,LC1105NI0003,LC1105NI0004,LC1105NI0005,LC1105NI0006,LC1105NI0007,LC1105NI0008,LC1105NI0009,LC1105NI0010,LC1105NI0011,LC1105NI0012,LC1105NI0013,LC1105NI0014,LC1105NI0015,LC1105NI0016,LC1105NI0017,LC1105NI0018,LC1105NI0019,LC1105NI0020,LC1105NI0021,LC1105NI0022,LC1105NI0023,LC1105NI0024,LC1105NI0025,LC1105NI0026,LC1105NI0027,LC1105NI0028,LC1105NI0029,LC1105NI0030,LC1105NI0031,LC1105NI0032,LC1105NI0033,LC1105NI0034,LC1105NI0035,LC1105NI0036
N06000001,40918,19362,21556,22468,14717,7751,18450,4645,13805,15953,7609,8344,8903,5722,3181,7050,1887,5163,14009,7567,6442,8470,5723,2747,5539,1844,3695,10956,4186,6770,5095,3272,1823,5861,914,4947
N06000002,44601,17380,27221,22586,12846,9740,22015,4534,17481,17457,6267,11190,8435,4573,3862,9022,1694,7328,15594,7215,8379,8936,5318,3618,6658,1897,4761,11550,3898,7652,5215,2955,2260,6335,943,5392
N06000003,46630,20048,26582,25736,14901,10835,20894,5147,15747,21616,8300,13316,12072,5984,6088,9544,2316,7228,14875,7879,6996,8911,5889,3022,5964,1990,3974,10139,3869,6270,4753,3028,1725,5386,841,4545
N06000004,36580,13371,23209,16885,9746,7139,19695,3625,16070,14858,4786,10072,6099,3454,2645,8759,1332,7427,13739,5871,7868,7173,4275,2898,6566,1596,4970,7983,2714,5269,3613,2017,1596,4370,697,3673
N06000005,36112,20014,16098,21345,15444,5901,14767,4570,10197,12385,6669,5716,7281,5218,2063,5104,1451,3653,14348,9103,5245,9190,6878,2312,5158,2225,2933,9379,4242,5137,4874,3348,1526,4505,894,3611
N06000006,37981,21025,16956,22343,16141,6202,15638,4884,10754,13559,7371,6188,7744,5585,2159,5815,1786,4029,14629,9256,5373,9427,7021,2406,5202,2235,2967,9793,4398,5395,5172,3535,1637,4621,863,3758
N06000007,37590,21327,16263,22701,16328,6373,14889,4999,9890,13364,8162,5202,8178,6157,2021,5186,2005,3181,14577,9185,5392,9513,6964,2549,5064,2221,2843,9649,3980,5669,5010,3207,1803,4639,773,3866
N06000008,38404,17047,21357,20244,12554,7690,18160,4493,13667,15537,6081,9456,7577,4439,3138,7960,1642,6318,14999,7803,7196,8642,5688,2954,6357,2115,4242,7868,3163,4705,4025,2427,1598,3843,736,3107
N06000009,39850,23786,16064,24066,18371,5695,15784,5415,10369,14531,8858,5673,9028,6899,2129,5503,1959,3544,15025,9992,5033,9657,7599,2058,5368,2393,2975,10294,4936,5358,5381,3873,1508,4913,1063,3850
N06000010,33690,20420,13270,20896,15877,5019,12794,4543,8251,12957,8448,4509,8179,6506,1673,4778,1942,2836,12680,8480,4200,8418,6515,1903,4262,1965,2297,8053,3492,4561,4299,2856,1443,3754,636,3118
N06000011,40538,22455,18083,23967,17069,6898,16571,5386,11185,15140,8769,6371,8993,6627,2366,6147,2142,4005,15441,9668,5773,9821,7243,2578,5620,2425,3195,9957,4018,5939,5153,3199,1954,4804,819,3985
N06000012,41458,24128,17330,25093,18775,6318,16365,5353,11012,14365,8800,5565,8839,6865,1974,5526,1935,3591,15753,10185,5568,10357,7859,2498,5396,2326,3070,11340,5143,6197,5897,4051,1846,5443,1092,4351
N06000013,37740,21257,16483,22153,16423,5730,15587,4834,10753,12341,7000,5341,7458,5451,2007,4883,1549,3334,14539,9188,5351,9089,6939,2150,5450,2249,3201,10860,5069,5791,5606,4033,1573,5254,1036,4218
N06000014,37715,22606,15109,22797,17511,5286,14918,5095,9823,14771,8875,5896,8860,6861,1999,5911,2014,3897,14314,9580,4734,9326,7381,1945,4988,2199,2789,8630,4151,4479,4611,3269,1342,4019,882,3137
N06000015,39030,22710,16320,23561,17416,6145,15469,5294,10175,13936,8506,5430,8456,6491,1965,5480,2015,3465,15359,10006,5353,10061,7619,2442,5298,2387,2911,9735,4198,5537,5044,3306,1738,4691,892,3799
N06000016,35412,21198,14214,21371,16293,5078,14041,4905,9136,11539,6941,4598,7039,5376,1663,4500,1565,2935,14367,9656,4711,9190,7265,1925,5177,2391,2786,9506,4601,4905,5142,3652,1490,4364,949,3415
N06000017,45766,25410,20356,26949,19410,7539,18817,6000,12817,18302,10501,7801,10916,7981,2935,7386,2520,4866,16759,10263,6496,10624,7799,2825,6135,2464,3671,10705,4646,6059,5409,3630,1779,5296,1016,4280
N06000018,33260,18217,15043,19616,13803,5813,13644,4414,9230,11947,6789,5158,6927,5053,1874,5020,1736,3284,13086,8040,5046,8402,6048,2354,4684,1992,2692,8227,3388,4839,4287,2702,1585,3940,686,3254
