GeographyCode,LC3605NI0001,LC3605NI0002,LC3605NI0003,LC3605NI0004,LC3605NI0005,LC3605NI0006,LC3605NI0007,LC3605NI0008,LC3605NI0009,LC3605NI0010,LC3605NI0011,LC3605NI0012,LC3605NI0013,LC3605NI0014,LC3605NI0015,LC3605NI0016,LC3605NI0017,LC3605NI0018,LC3605NI0019,LC3605NI0020,LC3605NI0021,LC3605NI0022,LC3605NI0023,LC3605NI0024
N06000001,67039,13688,53351,42630,3160,39470,11829,1189,10640,30801,1971,28830,24409,10528,13881,9484,4723,4761,4501,4106,395,10424,1699,8725
N06000002,73558,19322,54236,40396,3663,36733,12955,1403,11552,27441,2260,25181,33162,15659,17503,9709,5744,3965,7822,7050,772,15631,2865,12766
N06000003,86086,12881,73205,55372,3253,52119,16096,1198,14898,39276,2055,37221,30714,9628,21086,8844,3896,4948,4347,3890,457,17523,1842,15681
N06000004,67002,19508,47494,33464,3209,30255,12407,1377,11030,21057,1832,19225,33538,16299,17239,7479,5044,2435,9001,8091,910,17058,3164,13894
N06000005,66012,12607,53405,41541,3327,38214,12034,1197,10837,29507,2130,27377,24471,9280,15191,9762,4456,5306,3682,3319,363,11027,1505,9522
N06000006,72822,14489,58333,41416,3113,38303,12705,1141,11564,28711,1972,26739,31406,11376,20030,10014,4535,5479,5110,4476,634,16282,2365,13917
N06000007,73713,13951,59762,46305,3552,42753,12574,1262,11312,33731,2290,31441,27408,10399,17009,8696,4309,4387,4610,4026,584,14102,2064,12038
N06000008,73474,17824,55650,37685,2887,34798,12593,1130,11463,25092,1757,23335,35789,14937,20852,8787,4887,3900,8001,7143,858,19001,2907,16094
N06000009,73686,12678,61008,48661,3451,45210,13196,1269,11927,35465,2182,33283,25025,9227,15798,10496,4519,5977,3494,3129,365,11035,1579,9456
N06000010,70671,14323,56348,42894,3320,39574,11645,1171,10474,31249,2149,29100,27777,11003,16774,7595,4111,3484,5303,4638,665,14879,2254,12625
N06000011,80362,16446,63916,47887,3606,44281,13905,1301,12604,33982,2305,31677,32475,12840,19635,9323,4971,4352,6199,5436,763,16953,2433,14520
N06000012,78306,14813,63493,48624,3660,44964,13312,1296,12016,35312,2364,32948,29682,11153,18529,11005,4952,6053,4759,4190,569,13918,2011,11907
N06000013,65480,11431,54049,41565,3000,38565,12099,1156,10943,29466,1844,27622,23915,8431,15484,11442,4428,7014,3064,2750,314,9409,1253,8156
N06000014,71856,12633,59223,48258,3531,44727,13112,1245,11867,35146,2286,32860,23598,9102,14496,9259,4295,4964,3818,3429,389,10521,1378,9143
N06000015,77403,15216,62187,47692,3666,44026,13690,1289,12401,34002,2377,31625,29711,11550,18161,9150,4483,4667,5484,4859,625,15077,2208,12869
N06000016,65507,12848,52659,41427,3435,37992,12019,1229,10790,29408,2206,27202,24080,9413,14667,10425,4731,5694,3557,3217,340,10098,1465,8633
N06000017,85110,17861,67249,52770,4100,48670,14479,1464,13015,38291,2636,35655,32340,13761,18579,10725,5593,5132,6511,5841,670,15104,2327,12777
N06000018,65333,15627,49706,36676,3163,33513,10071,1093,8978,26605,2070,24535,28657,12464,16193,7821,4482,3339,6217,5488,729,14619,2494,12125
