GeographyCode,LC6603NI0001,LC6603NI0002,LC6603NI0003,LC6603NI0004,LC6603NI0005,LC6603NI0006,LC6603NI0007,LC6603NI0008,LC6603NI0009,LC6603NI0010,LC6603NI0011,LC6603NI0012,LC6603NI0013,LC6603NI0014,LC6603NI0015,LC6603NI0016,LC6603NI0017,LC6603NI0018,LC6603NI0019,LC6603NI0020,LC6603NI0021,LC6603NI0022,LC6603NI0023,LC6603NI0024,LC6603NI0025,LC6603NI0026,LC6603NI0027,LC6603NI0028,LC6603NI0029,LC6603NI0030,LC6603NI0031,LC6603NI0032,LC6603NI0033,LC6603NI0034,LC6603NI0035,LC6603NI0036,LC6603NI0037,LC6603NI0038,LC6603NI0039,LC6603NI0040,LC6603NI0041,LC6603NI0042,LC6603NI0043,LC6603NI0044,LC6603NI0045
N06000001,67039,45800,21239,21087,17398,3689,13876,10234,3642,23300,14452,8848,8776,3716,5060,32478,23573,8905,10485,8820,1665,6035,4832,1203,11673,7936,3737,4285,1985,2300,34561,22227,12334,10602,8578,2024,7841,5402,2439,11627,6516,5111,4491,1731,2760
N06000002,73558,45602,27956,15833,12793,3040,13383,9858,3525,30402,17325,13077,13940,5626,8314,35466,23483,11983,7717,6380,1337,5710,4384,1326,15132,9485,5647,6907,3234,3673,38092,22119,15973,8116,6413,1703,7673,5474,2199,15270,7840,7430,7033,2392,4641
N06000003,86086,59911,26175,31496,26778,4718,14266,10759,3507,20028,12962,7066,20296,9412,10884,42340,30667,11673,15854,13816,2038,6429,5181,1248,10326,7211,3115,9731,4459,5272,43746,29244,14502,15642,12962,2680,7837,5578,2259,9702,5751,3951,10565,4953,5612
N06000004,67002,38843,28159,11574,9322,2252,12032,8948,3084,26914,14486,12428,16482,6087,10395,31513,19481,12032,5413,4410,1003,5115,3934,1181,13014,7656,5358,7971,3481,4490,35489,19362,16127,6161,4912,1249,6917,5014,1903,13900,6830,7070,8511,2606,5905
N06000005,66012,44880,21132,18155,14281,3874,14812,11172,3640,23190,15066,8124,9855,4361,5494,32365,23397,8968,8996,7241,1755,6575,5222,1353,11969,8722,3247,4825,2212,2613,33647,21483,12164,9159,7040,2119,8237,5950,2287,11221,6344,4877,5030,2149,2881
N06000006,72822,46103,26719,16914,12885,4029,16574,12451,4123,25599,15333,10266,13735,5434,8301,36147,24748,11399,7920,6236,1684,8916,7030,1886,12792,8662,4130,6519,2820,3699,36675,21355,15320,8994,6649,2345,7658,5421,2237,12807,6671,6136,7216,2614,4602
N06000007,73713,50082,23631,16081,12850,3231,17179,13449,3730,28692,19625,9067,11761,4158,7603,37378,27474,9904,7117,5895,1222,9342,7644,1698,15299,11590,3709,5620,2345,3275,36335,22608,13727,8964,6955,2009,7837,5805,2032,13393,8035,5358,6141,1813,4328
N06000008,73474,44206,29268,16573,13101,3472,12892,9642,3250,26839,14322,12517,17170,7141,10029,35670,23202,12468,8121,6491,1630,6307,4926,1381,12849,7884,4965,8393,3901,4492,37804,21004,16800,8452,6610,1842,6585,4716,1869,13990,6438,7552,8777,3240,5537
N06000009,73686,51554,22132,23884,19285,4599,17610,13304,4306,23397,15408,7989,8795,3557,5238,36511,27247,9264,12015,9932,2083,8326,6719,1607,11808,8697,3111,4362,1899,2463,37175,24307,12868,11869,9353,2516,9284,6585,2699,11589,6711,4878,4433,1658,2775
N06000010,70671,46574,24097,15438,12638,2800,16239,12658,3581,26562,17215,9347,12432,4063,8369,35535,25817,9718,6541,5625,916,9194,7482,1712,14154,10624,3530,5646,2086,3560,35136,20757,14379,8897,7013,1884,7045,5176,1869,12408,6591,5817,6786,1977,4809
N06000011,80362,53125,27237,18172,14575,3597,18188,13980,4208,29500,19044,10456,14502,5526,8976,40200,28767,11433,8079,6690,1389,9582,7740,1842,15452,11219,4233,7087,3118,3969,40162,24358,15804,10093,7885,2208,8606,6240,2366,14048,7825,6223,7415,2408,5007
N06000012,78306,52676,25630,18684,14746,3938,18186,13992,4194,30546,19829,10717,10890,4109,6781,39008,28468,10540,8636,7009,1627,9412,7622,1790,15723,11611,4112,5237,2226,3011,39298,24208,15090,10048,7737,2311,8774,6370,2404,14823,8218,6605,5653,1883,3770
N06000013,65480,44424,21056,23047,17338,5709,16223,11721,4502,18721,12059,6662,7489,3306,4183,31764,23014,8750,11846,9067,2779,7478,5838,1640,8765,6397,2368,3675,1712,1963,33716,21410,12306,11201,8271,2930,8745,5883,2862,9956,5662,4294,3814,1594,2220
N06000014,71856,51300,20556,20757,17174,3583,17205,13368,3837,24900,16852,8048,8994,3906,5088,35160,26831,8329,9950,8430,1520,7946,6532,1414,12900,9820,3080,4364,2049,2315,36696,24469,12227,10807,8744,2063,9259,6836,2423,12000,7032,4968,4630,1857,2773
N06000015,77403,51988,25415,19699,15592,4107,19822,15257,4565,25515,16390,9125,12367,4749,7618,38844,28277,10567,8865,7318,1547,11177,9042,2135,12745,9288,3457,6057,2629,3428,38559,23711,14848,10834,8274,2560,8645,6215,2430,12770,7102,5668,6310,2120,4190
N06000016,65507,44439,21068,18106,14122,3984,17607,13152,4455,21763,13734,8029,8031,3431,4600,32181,23183,8998,8718,6845,1873,8662,6831,1831,10818,7641,3177,3983,1866,2117,33326,21256,12070,9388,7277,2111,8945,6321,2624,10945,6093,4852,4048,1565,2483
N06000017,85110,57344,27766,20687,16881,3806,17782,13530,4252,34116,21662,12454,12525,5271,7254,42025,30589,11436,9752,8176,1576,8406,6666,1740,17638,12845,4793,6229,2902,3327,43085,26755,16330,10935,8705,2230,9376,6864,2512,16478,8817,7661,6296,2369,3927
N06000018,65333,40916,24417,13782,10942,2840,14874,11412,3462,23925,14172,9753,12752,4390,8362,32784,22553,10231,5971,4928,1043,8498,6738,1760,12211,8390,3821,6104,2497,3607,32549,18363,14186,7811,6014,1797,6376,4674,1702,11714,5782,5932,6648,1893,4755
