GeographyCode,LC2605NI0001,LC2605NI0002,LC2605NI0003,LC2605NI0004,LC2605NI0005,LC2605NI0006,LC2605NI0007,LC2605NI0008,LC2605NI0009,LC2605NI0010,LC2605NI0011,LC2605NI0012,LC2605NI0013,LC2605NI0014,LC2605NI0015
N06000001,42630,10763,9570,17230,5067,36117,9022,8072,15000,4023,6513,1741,1498,2230,1044
N06000002,40396,7636,8271,18637,5852,35330,6416,7199,16671,5044,5066,1220,1072,1966,808
N06000003,55372,19325,11024,19402,5621,43741,14910,8586,16118,4127,11631,4415,2438,3284,1494
N06000004,33464,5228,6639,16638,4959,30638,4475,6065,15554,4544,2826,753,574,1084,415
N06000005,41541,8831,10546,17826,4338,37157,7722,9476,16149,3810,4384,1109,1070,1677,528
N06000006,41416,8529,11123,16976,4788,36770,7389,9902,15271,4208,4646,1140,1221,1705,580
N06000007,46305,8886,13418,18890,5111,37215,7361,11207,15027,3620,9090,1525,2211,3863,1491
N06000008,37685,8420,8323,16745,4197,32454,6896,7194,14796,3568,5231,1524,1129,1949,629
N06000009,48661,12466,12238,19529,4428,41778,10678,10388,17044,3668,6883,1788,1850,2485,760
N06000010,42894,8914,13543,16022,4415,38607,8158,12306,14431,3712,4287,756,1237,1591,703
N06000011,47887,10043,13021,19493,5330,40236,8649,11127,16489,3971,7651,1394,1894,3004,1359
N06000012,48624,9743,13754,19940,5187,43543,8722,12525,17838,4458,5081,1021,1229,2102,729
N06000013,41565,10322,10212,17687,3344,34933,8669,8458,15020,2786,6632,1653,1754,2667,558
N06000014,48258,10663,12395,20055,5145,42194,9364,10869,17698,4263,6064,1299,1526,2357,882
N06000015,47692,10538,14566,18173,4415,41992,9200,12984,16100,3708,5700,1338,1582,2073,707
N06000016,41427,8452,11322,17754,3899,37218,7470,10197,16160,3391,4209,982,1125,1594,508
N06000017,52770,10718,12655,23430,5967,45278,9470,11041,20081,4686,7492,1248,1614,3349,1281
N06000018,36676,7314,11100,14450,3812,32442,6462,9903,12852,3225,4234,852,1197,1598,587
