GeographyCode,LC6107NI0001,LC6107NI0002,LC6107NI0003,LC6107NI0004,LC6107NI0005,LC6107NI0006,LC6107NI0007,LC6107NI0008,LC6107NI0009,LC6107NI0010,LC6107NI0011,LC6107NI0012,LC6107NI0013,LC6107NI0014,LC6107NI0015,LC6107NI0016,LC6107NI0017,LC6107NI0018,LC6107NI0019,LC6107NI0020,LC6107NI0021
N06000001,67039,36699,30340,45800,29663,16137,10550,6847,3703,27678,18220,9458,4402,2195,2207,3170,2401,769,21239,7036,14203
N06000002,73558,40630,32928,45602,29950,15652,11950,8059,3891,24982,16069,8913,3464,1791,1673,5206,4031,1175,27956,10680,17276
N06000003,86086,54945,31141,59911,42131,17780,14487,10794,3693,35071,24626,10445,5814,2999,2815,4539,3712,827,26175,12814,13361
N06000004,67002,38875,28127,38843,26904,11939,11546,8330,3216,19184,12898,6286,2734,1418,1316,5379,4258,1121,28159,11971,16188
N06000005,66012,34118,31894,44880,26886,17994,10709,6827,3882,25746,15345,10401,5086,2225,2861,3339,2489,850,21132,7232,13900
N06000006,72822,39111,33711,46103,28466,17637,11109,7158,3951,22945,14310,8635,7362,3395,3967,4687,3603,1084,26719,10645,16074
N06000007,73713,40670,33043,50082,31490,18592,10784,6574,4210,26636,18162,8474,8885,3900,4985,3777,2854,923,23631,9180,14451
N06000008,73474,42012,31462,44206,29486,14720,11231,7844,3387,21894,14202,7692,4560,2202,2358,6521,5238,1283,29268,12526,16742
N06000009,73686,39070,34616,51554,31595,19959,11548,7110,4438,30197,19308,10889,6916,3017,3899,2893,2160,733,22132,7475,14657
N06000010,70671,41531,29140,46574,31282,15292,10032,6598,3434,24387,17587,6800,8475,4256,4219,3680,2841,839,24097,10249,13848
N06000011,80362,45460,34902,53125,34570,18555,12090,7773,4317,27421,18704,8717,8376,4112,4264,5238,3981,1257,27237,10890,16347
N06000012,78306,41557,36749,52676,32391,20285,11524,7147,4377,28457,18186,10271,8643,3979,4664,4052,3079,973,25630,9166,16464
N06000013,65480,32036,33444,44424,26025,18399,10401,6094,4307,25298,15429,9869,5866,2422,3444,2859,2080,779,21056,6011,15045
N06000014,71856,39435,32421,51300,32318,18982,11647,7557,4090,30358,19566,10792,6253,2851,3402,3042,2344,698,20556,7117,13439
N06000015,77403,42842,34561,51988,32720,19268,11749,7506,4243,25887,16980,8907,10056,4981,5075,4296,3253,1043,25415,10122,15293
N06000016,65507,32379,33128,44439,25882,18557,10369,6192,4177,24196,14522,9674,6862,2915,3947,3012,2253,759,21068,6497,14571
N06000017,85110,48141,36969,57344,37661,19683,12965,8703,4262,33177,22202,10975,6628,3171,3457,4574,3585,989,27766,10480,17286
N06000018,65333,36169,29164,40916,26304,14612,8712,5656,3056,20551,13941,6610,7413,3418,3995,4240,3289,951,24417,9865,14552
