GeographyCode,LC2109NI0001,LC2109NI0002,LC2109NI0003,LC2109NI0004,LC2109NI0005,LC2109NI0006,LC2109NI0007,LC2109NI0008,LC2109NI0009,LC2109NI0010,LC2109NI0011,LC2109NI0012,LC2109NI0013,LC2109NI0014,LC2109NI0015,LC2109NI0016,LC2109NI0017,LC2109NI0018,LC2109NI0019,LC2109NI0020,LC2109NI0021,LC2109NI0022,LC2109NI0023,LC2109NI0024,LC2109NI0025,LC2109NI0026,LC2109NI0027,LC2109NI0028,LC2109NI0029,LC2109NI0030,LC2109NI0031,LC2109NI0032
N06000001,92221,8783,57976,25401,17011,15564,25462,17570,26942,2932,15156,6745,3988,4423,8854,6233,26837,3703,13976,6212,3893,3871,9158,6535,38442,2148,28844,12444,9130,7270,7450,4802
N06000002,102531,41872,38718,16659,12347,9712,21941,11426,33700,15256,10203,4249,3211,2743,8241,4287,27909,11639,9014,3863,2762,2389,7256,4027,40922,14977,19501,8547,6374,4580,6444,3112
N06000003,111402,41803,38701,15796,12767,10138,30898,19922,38747,16178,11425,4723,3527,3175,11144,7471,33876,13500,8421,3285,2713,2423,11955,7716,38779,12125,18855,7788,6527,4540,7799,4735
N06000004,93986,68246,11589,4432,4909,2248,14151,4187,35551,26193,3609,1359,1527,723,5749,1600,24952,17440,2938,1140,1151,647,4574,1496,33483,24613,5042,1933,2231,878,3828,1091
N06000005,90067,15925,54120,27416,13945,12759,20022,13893,29095,5457,16034,7961,4115,3958,7604,5453,22733,4217,12521,6291,3153,3077,5995,4289,38239,6251,25565,13164,6677,5724,6423,4151
N06000006,99673,38264,46777,23446,17591,5740,14632,8420,33423,14210,13775,6580,5474,1721,5438,3311,26171,11051,10835,5369,4106,1360,4285,2570,40079,13003,22167,11497,8011,2659,4909,2539
N06000007,102553,54435,36400,6839,21387,8174,11718,4849,34428,19109,11100,1970,6574,2556,4219,1777,28558,15839,9024,1677,5221,2126,3695,1631,39567,19487,16276,3192,9592,3492,3804,1441
N06000008,100807,68042,19195,9016,7672,2507,13570,4655,36326,25529,5768,2463,2503,802,5029,1562,28110,18715,4880,2269,1947,664,4515,1672,36371,23798,8547,4284,3222,1041,4026,1421
N06000009,101710,16776,63571,25603,23411,14557,21363,14695,32028,5846,18088,7052,6430,4606,8094,5868,27957,5699,15665,6232,5486,3947,6593,4776,41725,5231,29818,12319,11495,6004,6676,4051
N06000010,99155,61964,27359,11142,11117,5100,9832,3771,36141,23832,8522,3280,3591,1651,3787,1469,28471,18344,7084,2788,2843,1453,3043,1328,34543,19788,11753,5074,4683,1996,3002,974
N06000011,112401,67807,30048,11883,11873,6292,14546,4916,39587,24598,9577,3800,3712,2065,5412,1738,31397,19108,7535,3004,2855,1676,4754,1803,41417,24101,12936,5079,5306,2551,4380,1375
N06000012,108207,28020,63625,39553,13160,10912,16562,9430,34445,10022,18202,10999,3952,3251,6221,3743,29182,8028,16035,9564,3440,3031,5119,3153,44580,9970,29388,18990,5768,4630,5222,2534
N06000013,89498,9239,55120,27096,15939,12085,25139,18754,25621,2805,14075,6960,3875,3240,8741,6788,22875,2778,12480,6264,3308,2908,7617,5857,41002,3656,28565,13872,8756,5937,8781,6109
N06000014,99238,28618,51233,28178,12370,10685,19387,12946,33132,10911,14739,7855,3608,3276,7482,5147,28211,8903,13023,7016,3101,2906,6285,4451,37895,8804,23471,13307,5661,4503,5620,3348
N06000015,108835,69673,25254,14268,6387,4599,13908,6663,38433,25681,7482,4271,1786,1425,5270,2522,29293,19165,6164,3547,1379,1238,3964,2046,41109,24827,11608,6450,3222,1936,4674,2095
N06000016,89370,13496,55969,31549,13514,10906,19905,14100,27503,4491,15657,8741,3715,3201,7355,5417,22608,3911,12973,7349,2991,2633,5724,4215,39259,5094,27339,15459,6808,5072,6826,4468
N06000017,118010,47557,51915,15427,23218,13270,18538,10273,40199,17667,15390,4395,6917,4078,7142,4091,33903,14194,13651,4169,5875,3607,6058,3601,43908,15696,22874,6863,10426,5585,5338,2581
N06000018,91199,57513,24985,11397,10203,3385,8701,2694,31656,20765,7719,3295,3306,1118,3172,932,25003,15977,6424,2945,2650,829,2602,945,34540,20771,10842,5157,4247,1438,2927,817
