GeographyCode,LC2120NI0001,LC2120NI0002,LC2120NI0003,LC2120NI0004,LC2120NI0005,LC2120NI0006,LC2120NI0007,LC2120NI0008,LC2120NI0009,LC2120NI0010,LC2120NI0011,LC2120NI0012,LC2120NI0013,LC2120NI0014,LC2120NI0015,LC2120NI0016,LC2120NI0017,LC2120NI0018,LC2120NI0019,LC2120NI0020,LC2120NI0021,LC2120NI0022,LC2120NI0023,LC2120NI0024,LC2120NI0025,LC2120NI0026,LC2120NI0027,LC2120NI0028,LC2120NI0029,LC2120NI0030,LC2120NI0031,LC2120NI0032,LC2120NI0033,LC2120NI0034,LC2120NI0035,LC2120NI0036
N06000001,74196,9113,58118,6965,35071,4173,27012,3886,39125,4940,31106,3079,38945,4692,30954,3299,19561,2172,15524,1865,19384,2520,15430,1434,35251,4421,27164,3666,15510,2001,11488,2021,19741,2420,15676,1645
N06000002,80513,36775,38920,4818,37890,17121,18026,2743,42623,19654,20894,2075,35022,15174,17871,1977,17549,7395,9016,1138,17473,7779,8855,839,45491,21601,21049,2841,20341,9726,9010,1605,25150,11875,12039,1236
N06000003,90664,39296,41630,9738,43891,18431,19825,5635,46773,20865,21805,4103,40364,17673,18738,3953,20258,8426,9630,2202,20106,9247,9108,1751,50300,21623,22892,5785,23633,10005,10195,3433,26667,11618,12697,2352
N06000004,71573,57289,12318,1966,33167,26260,5784,1123,38406,31029,6534,843,27074,21210,5111,753,13532,10479,2611,442,13542,10731,2500,311,44499,36079,7207,1213,19635,15781,3173,681,24864,20298,4034,532
N06000005,70240,13963,51154,5123,33899,6650,24376,2873,36341,7313,26778,2250,40314,7633,30248,2433,20153,3595,15162,1396,20161,4038,15086,1037,29926,6330,20906,2690,13746,3055,9214,1477,16180,3275,11692,1213
N06000006,77212,31258,42950,3004,37697,15145,20863,1689,39515,16113,22087,1315,42418,16516,24506,1396,21203,8006,12404,793,21215,8510,12102,603,34794,14742,18444,1608,16494,7139,8459,896,18300,7603,9985,712
N06000007,79297,45252,31907,2138,39612,22688,15750,1174,39685,22564,16157,964,43215,23596,18519,1100,21594,11639,9338,617,21621,11957,9181,483,36082,21656,13388,1038,18018,11049,6412,557,18064,10607,6976,481
N06000008,77016,57311,17825,1880,37067,27252,8713,1102,39949,30059,9112,778,34602,24555,9198,849,17300,12121,4687,492,17302,12434,4511,357,42414,32756,8627,1031,19767,15131,4026,610,22647,17625,4601,421
N06000009,79173,14520,59238,5415,38284,6764,28498,3022,40889,7756,30740,2393,47864,8678,36323,2863,23929,4065,18217,1647,23935,4613,18106,1216,31309,5842,22915,2552,14355,2699,10281,1375,16954,3143,12634,1177
N06000010,75434,49461,24376,1597,37514,24385,12204,925,37920,25076,12172,672,41302,26441,14045,816,20648,13087,7115,446,20654,13354,6930,370,34132,23020,10331,781,16866,11298,5089,479,17266,11722,5242,302
N06000011,85818,56644,26864,2310,42322,27715,13319,1288,43496,28929,13545,1022,45456,28602,15711,1143,22701,14163,7911,627,22755,14439,7800,516,40362,28042,11153,1167,19621,13552,5408,661,20741,14490,5745,506
N06000012,85237,23605,57962,3670,41830,11525,28277,2028,43407,12080,29685,1642,48750,12823,34191,1736,24351,6252,17117,982,24399,6571,17074,754,36487,10782,23771,1934,17479,5273,11160,1046,19008,5509,12611,888
N06000013,71442,9030,55431,6981,33824,4022,25985,3817,37618,5008,29446,3164,42721,5434,33742,3545,21352,2451,16924,1977,21369,2983,16818,1568,28721,3596,21689,3436,12472,1571,9061,1840,16249,2025,12628,1596
N06000014,76272,23388,48046,4838,36824,11065,23094,2665,39448,12323,24952,2173,45599,13541,29514,2544,22768,6532,14807,1429,22831,7009,14707,1115,30673,9847,18532,2294,14056,4533,8287,1236,16617,5314,10245,1058
N06000015,82959,56936,23433,2590,40939,27814,11647,1478,42020,29122,11786,1112,45917,30596,14080,1241,22925,15051,7159,715,22992,15545,6921,526,37042,26340,9353,1349,18014,12763,4488,763,19028,13577,4865,586
N06000016,70944,12048,53686,5210,34374,5721,25760,2893,36570,6327,27926,2317,42726,6753,33348,2625,21351,3215,16660,1476,21375,3538,16688,1149,28218,5295,20338,2585,13023,2506,9100,1417,15195,2789,11238,1168
N06000017,91390,39500,47383,4507,44508,19112,22847,2549,46882,20388,24536,1958,51210,20907,28122,2181,25572,10209,14142,1221,25638,10698,13980,960,40180,18593,19261,2326,18936,8903,8705,1328,21244,9690,10556,998
N06000018,69988,47068,21801,1119,34687,22951,11112,624,35301,24117,10689,495,36748,23876,12279,593,18355,11743,6276,336,18393,12133,6003,257,33240,23192,9522,526,16332,11208,4836,288,16908,11984,4686,238
