GeographyCode,LC2405NI0001,LC2405NI0002,LC2405NI0003,LC2405NI0004,LC2405NI0005,LC2405NI0006,LC2405NI0007,LC2405NI0008,LC2405NI0009,LC2405NI0010,LC2405NI0011,LC2405NI0012,LC2405NI0013,LC2405NI0014,LC2405NI0015,LC2405NI0016,LC2405NI0017,LC2405NI0018,LC2405NI0019,LC2405NI0020,LC2405NI0021,LC2405NI0022,LC2405NI0023,LC2405NI0024
N06000001,40918,4745,32740,3433,14342,1384,11888,1070,13195,1467,10714,1014,6143,850,4659,634,7238,1044,5479,715,2.23,2.47,2.18,2.38
N06000002,44601,19485,22632,2484,15823,6206,8800,817,13367,5507,7131,729,7160,3334,3374,452,8251,4438,3327,486,2.28,2.45,2.12,2.34
N06000003,46630,18926,23034,4670,15710,5542,8773,1395,14529,5672,7392,1465,7191,3114,3229,848,9200,4598,3640,962,2.32,2.50,2.16,2.41
N06000004,36580,28508,7078,994,10445,7635,2519,291,10339,8021,2072,246,6963,5536,1226,201,8833,7316,1261,256,2.55,2.61,2.28,2.59
N06000005,36112,6862,26910,2340,10210,1904,7669,637,11697,2005,8991,701,6176,1201,4506,469,8029,1752,5744,533,2.44,2.56,2.40,2.48
N06000006,37981,14531,22035,1415,10031,3510,6131,390,11787,3957,7374,456,6475,2610,3622,243,9688,4454,4908,326,2.57,2.77,2.45,2.47
N06000007,37590,20848,15730,1012,9952,5393,4310,249,10412,5305,4797,310,6159,3511,2462,186,11067,6639,4161,267,2.70,2.80,2.58,2.63
N06000008,38404,28110,9378,916,10861,7721,2863,277,10790,7668,2860,262,6642,4941,1542,159,10111,7780,2113,218,2.59,2.64,2.44,2.48
N06000009,39850,7065,30324,2461,10435,1586,8309,540,13000,2090,10132,778,6793,1322,4963,508,9622,2067,6920,635,2.51,2.73,2.45,2.63
N06000010,33690,21290,11708,692,7457,4388,2928,141,8897,5150,3513,234,5476,3448,1904,124,11860,8304,3363,193,2.92,3.07,2.67,2.71
N06000011,40538,26491,13052,995,10225,6669,3352,204,11186,7071,3795,320,6923,4467,2269,187,12204,8284,3636,284,2.75,2.79,2.66,2.74
N06000012,41458,10787,29066,1605,10676,2587,7711,378,12930,2829,9609,492,7082,1872,4870,340,10770,3499,6876,395,2.59,2.83,2.50,2.60
N06000013,37740,4558,29950,3232,11356,1321,9209,826,13031,1356,10634,1041,5981,806,4556,619,7372,1075,5551,746,2.33,2.48,2.29,2.50
N06000014,37715,10976,24566,2173,9129,2328,6345,456,11829,2967,8204,658,6767,2056,4277,434,9990,3625,5740,625,2.60,2.84,2.49,2.69
N06000015,39030,26533,11381,1116,9606,6460,2885,261,10801,7048,3429,324,6525,4491,1834,200,12098,8534,3233,331,2.76,2.81,2.67,2.72
N06000016,35412,5733,27384,2295,9058,1447,7104,507,11874,1604,9522,748,6014,1039,4565,410,8466,1643,6193,630,2.50,2.68,2.46,2.63
N06000017,45766,19014,24659,2093,12225,4685,7014,526,13741,5237,7889,615,8047,3543,4100,404,11753,5549,5656,548,2.56,2.71,2.45,2.63
N06000018,33260,22115,10586,559,8873,5904,2822,147,8881,5677,3049,155,5403,3583,1712,108,10103,6951,3003,149,2.72,2.76,2.65,2.61
