GeographyCode,LC3602NI0001,LC3602NI0002,LC3602NI0003,LC3602NI0004,LC3602NI0005,LC3602NI0006,LC3602NI0007,LC3602NI0008,LC3602NI0009,LC3602NI0010,LC3602NI0011,LC3602NI0012,LC3602NI0013,LC3602NI0014,LC3602NI0015,LC3602NI0016,LC3602NI0017,LC3602NI0018,LC3602NI0019,LC3602NI0020,LC3602NI0021,LC3602NI0022,LC3602NI0023,LC3602NI0024,LC3602NI0025,LC3602NI0026,LC3602NI0027,LC3602NI0028,LC3602NI0029,LC3602NI0030,LC3602NI0031,LC3602NI0032,LC3602NI0033,LC3602NI0034,LC3602NI0035,LC3602NI0036,LC3602NI0037,LC3602NI0038,LC3602NI0039,LC3602NI0040,LC3602NI0041,LC3602NI0042,LC3602NI0043,LC3602NI0044,LC3602NI0045
N06000001,67039,21087,13876,23300,8776,13688,2368,2569,6790,1961,53351,18719,11307,16510,6815,32478,10485,6035,11673,4285,6377,1144,1131,3204,898,26101,9341,4904,8469,3387,34561,10602,7841,11627,4491,7311,1224,1438,3586,1063,27250,9378,6403,8041,3428
N06000002,73558,15833,13383,30402,13940,19322,2395,2863,10270,3794,54236,13438,10520,20132,10146,35466,7717,5710,15132,6907,9241,1156,1288,5002,1795,26225,6561,4422,10130,5112,38092,8116,7673,15270,7033,10081,1239,1575,5268,1999,28011,6877,6098,10002,5034
N06000003,86086,31496,14266,20028,20296,12881,2870,2372,5294,2345,73205,28626,11894,14734,17951,42340,15854,6429,10326,9731,6103,1346,1024,2639,1094,36237,14508,5405,7687,8637,43746,15642,7837,9702,10565,6778,1524,1348,2655,1251,36968,14118,6489,7047,9314
N06000004,67002,11574,12032,26914,16482,19508,2043,2739,9849,4877,47494,9531,9293,17065,11605,31513,5413,5115,13014,7971,8899,926,1170,4636,2167,22614,4487,3945,8378,5804,35489,6161,6917,13900,8511,10609,1117,1569,5213,2710,24880,5044,5348,8687,5801
N06000005,66012,18155,14812,23190,9855,12607,2434,2640,5937,1596,53405,15721,12172,17253,8259,32365,8996,6575,11969,4825,5946,1165,1213,2813,755,26419,7831,5362,9156,4070,33647,9159,8237,11221,5030,6661,1269,1427,3124,841,26986,7890,6810,8097,4189
N06000006,72822,16914,16574,25599,13735,14489,2312,2970,6616,2591,58333,14602,13604,18983,11144,36147,7920,8916,12792,6519,7104,1057,1654,3182,1211,29043,6863,7262,9610,5308,36675,8994,7658,12807,7216,7385,1255,1316,3434,1380,29290,7739,6342,9373,5836
N06000007,73713,16081,17179,28692,11761,13951,2051,3018,6323,2559,59762,14030,14161,22369,9202,37378,7117,9342,15299,5620,7059,890,1797,3243,1129,30319,6227,7545,12056,4491,36335,8964,7837,13393,6141,6892,1161,1221,3080,1430,29443,7803,6616,10313,4711
N06000008,73474,16573,12892,26839,17170,17824,2487,2473,8899,3965,55650,14086,10419,17940,13205,35670,8121,6307,12849,8393,8374,1287,1230,3989,1868,27296,6834,5077,8860,6525,37804,8452,6585,13990,8777,9450,1200,1243,4910,2097,28354,7252,5342,9080,6680
N06000009,73686,23884,17610,23397,8795,12678,2540,2982,5636,1520,61008,21344,14628,17761,7275,36511,12015,8326,11808,4362,6026,1223,1470,2582,751,30485,10792,6856,9226,3611,37175,11869,9284,11589,4433,6652,1317,1512,3054,769,30523,10552,7772,8535,3664
N06000010,70671,15438,16239,26562,12432,14323,1900,3023,6665,2735,56348,13538,13216,19897,9697,35535,6541,9194,14154,5646,6957,783,1826,3158,1190,28578,5758,7368,10996,4456,35136,8897,7045,12408,6786,7366,1117,1197,3507,1545,27770,7780,5848,8901,5241
N06000011,80362,18172,18188,29500,14502,16446,2509,3366,7314,3257,63916,15663,14822,22186,11245,40200,8079,9582,15452,7087,8197,1139,1930,3576,1552,32003,6940,7652,11876,5535,40162,10093,8606,14048,7415,8249,1370,1436,3738,1705,31913,8723,7170,10310,5710
N06000012,78306,18684,18186,30546,10890,14813,2368,3154,7158,2133,63493,16316,15032,23388,8757,39008,8636,9412,15723,5237,7178,1075,1716,3372,1015,31830,7561,7696,12351,4222,39298,10048,8774,14823,5653,7635,1293,1438,3786,1118,31663,8755,7336,11037,4535
N06000013,65480,23047,16223,18721,7489,11431,2783,2722,4664,1262,54049,20264,13501,14057,6227,31764,11846,7478,8765,3675,5251,1359,1284,2008,600,26513,10487,6194,6757,3075,33716,11201,8745,9956,3814,6180,1424,1438,2656,662,27536,9777,7307,7300,3152
