GeographyCode,LC2404NI0001,LC2404NI0002,LC2404NI0003,LC2404NI0004,LC2404NI0005,LC2404NI0006,LC2404NI0007,LC2404NI0008,LC2404NI0009,LC2404NI0010,LC2404NI0011,LC2404NI0012,LC2404NI0013,LC2404NI0014,LC2404NI0015,LC2404NI0016,LC2404NI0017,LC2404NI0018,LC2404NI0019,LC2404NI0020,LC2404NI0021,LC2404NI0022,LC2404NI0023,LC2404NI0024,LC2404NI0025,LC2404NI0026,LC2404NI0027,LC2404NI0028,LC2404NI0029,LC2404NI0030,LC2404NI0031,LC2404NI0032,LC2404NI0033,LC2404NI0034,LC2404NI0035,LC2404NI0036,LC2404NI0037,LC2404NI0038,LC2404NI0039,LC2404NI0040,LC2404NI0041,LC2404NI0042
N06000001,40918,3455,26667,11743,8234,6690,10796,14342,971,9515,4200,3153,2162,3856,13195,1076,8894,3922,2733,2239,3225,6143,639,3816,1691,1179,946,1688,7238,769,4442,1930,1169,1343,2027,2.23,2.49,2.18,2.18,2.09,2.31,2.26
N06000002,44601,16705,18512,8139,5997,4376,9384,15823,5112,7154,3240,2363,1551,3557,13367,4782,5958,2658,1883,1417,2627,7160,2921,2751,1167,901,683,1488,8251,3890,2649,1074,850,725,1712,2.28,2.47,2.11,2.07,2.11,2.20,2.25
N06000003,46630,15524,17777,7347,6041,4389,13329,15710,4271,6712,2808,2406,1498,4727,14529,4637,5775,2386,1929,1460,4117,7191,2620,2479,1002,816,661,2092,9200,3996,2811,1151,890,770,2393,2.32,2.56,2.16,2.15,2.11,2.26,2.26
N06000004,36580,25726,5283,2062,2260,961,5571,10445,6638,1823,727,804,292,1984,10339,7312,1639,608,726,305,1388,6963,5076,950,385,373,192,937,8833,6700,871,342,357,172,1262,2.55,2.63,2.25,2.24,2.21,2.37,2.45
N06000005,36112,5855,22440,11520,5825,5095,7817,10210,1563,6283,3339,1635,1309,2364,11697,1737,7574,3860,2031,1683,2386,6176,1044,3780,1907,981,892,1352,8029,1511,4803,2414,1178,1211,1715,2.44,2.58,2.41,2.38,2.37,2.50,2.41
N06000006,37981,13193,19013,9674,7079,2260,5775,10031,3037,5075,2614,1922,539,1919,11787,3592,6450,3255,2400,795,1745,6475,2403,3192,1599,1208,385,880,9688,4161,4296,2206,1549,541,1231,2.57,2.81,2.47,2.46,2.45,2.55,2.37
N06000007,37590,18971,14032,2683,8270,3079,4587,9952,4659,3722,740,2237,745,1571,10412,4862,4317,825,2541,951,1233,6159,3252,2194,422,1262,510,713,11067,6198,3799,696,2230,873,1070,2.70,2.84,2.60,2.56,2.59,2.68,2.45
N06000008,38404,24869,8012,3841,3131,1040,5523,10861,6461,2379,1190,923,266,2021,10790,6840,2498,1195,995,308,1452,6642,4468,1329,630,526,173,845,10111,7100,1806,826,687,293,1205,2.59,2.68,2.45,2.39,2.43,2.70,2.39
N06000009,39850,5924,25853,10559,9774,5520,8073,10435,1256,6968,2836,2827,1305,2211,13000,1756,8746,3651,3302,1793,2498,6793,1112,4224,1761,1598,865,1457,9622,1800,5915,2311,2047,1557,1907,2.51,2.77,2.45,2.43,2.38,2.63,2.51
N06000010,33690,19764,10325,4332,4187,1806,3601,7457,3854,2473,1047,1056,370,1130,8897,4807,3122,1313,1256,553,968,5476,3224,1692,712,705,275,560,11860,7879,3038,1260,1170,608,943,2.92,3.11,2.70,2.69,2.64,2.86,2.57
N06000011,40538,23814,11254,4421,4569,2264,5470,10225,5740,2800,1078,1232,490,1685,11186,6356,3356,1345,1357,654,1474,6923,4066,1934,694,810,430,923,12204,7652,3164,1304,1170,690,1388,2.75,2.82,2.67,2.70,2.57,2.82,2.58
N06000012,41458,9680,25489,16040,5310,4139,6289,10676,2225,6562,4275,1392,895,1889,12930,2576,8536,5364,1787,1385,1818,7082,1664,4298,2676,907,715,1120,10770,3215,6093,3725,1224,1144,1462,2.59,2.86,2.51,2.48,2.49,2.67,2.48
N06000013,37740,3585,23994,11879,7049,5066,10161,11356,1007,7244,3637,2194,1413,3105,13031,1093,8664,4264,2592,1808,3274,5981,653,3651,1845,1026,780,1677,7372,832,4435,2133,1237,1065,2105,2.33,2.47,2.29,2.28,2.25,2.38,2.36
N06000014,37715,9695,20787,11623,5094,4070,7233,9129,1960,5241,3093,1311,837,1928,11829,2623,7064,3908,1787,1369,2142,6767,1831,3587,1947,899,741,1349,9990,3281,4895,2675,1097,1123,1814,2.60,2.88,2.50,2.46,2.44,2.67,2.54
N06000015,39030,24110,9645,5393,2584,1668,5275,9606,5552,2347,1277,722,348,1707,10801,6388,2965,1622,843,500,1448,6525,4164,1569,898,389,282,792,12098,8006,2764,1596,630,538,1328,2.76,2.85,2.68,2.72,2.50,2.86,2.51
N06000016,35412,4892,22888,12953,5622,4313,7632,9058,1182,5822,3313,1479,1030,2054,11874,1375,8035,4507,2027,1501,2464,6014,924,3850,2187,958,705,1240,8466,1411,5181,2946,1158,1077,1874,2.50,2.70,2.46,2.46,2.40,2.54,2.50
N06000017,45766,17103,21302,6446,9611,5245,7361,12225,3989,5836,1736,2705,1395,2400,13741,4737,6949,2115,3162,1672,2055,8047,3225,3564,1058,1635,871,1258,11753,5152,4953,1537,2109,1307,1648,2.56,2.75,2.46,2.48,2.42,2.53,2.42
N06000018,33260,20288,9535,4454,3868,1213,3437,8873,5114,2445,1145,1027,273,1314,8881,5267,2762,1295,1118,349,852,5403,3332,1582,746,626,210,489,10103,6575,2746,1268,1097,381,782,2.72,2.80,2.67,2.64,2.65,2.81,2.39
