GeographyCode,LC2105NI0001,LC2105NI0002,LC2105NI0003,LC2105NI0004,LC2105NI0005,LC2105NI0006,LC2105NI0007,LC2105NI0008,LC2105NI0009,LC2105NI0010,LC2105NI0011,LC2105NI0012,LC2105NI0013,LC2105NI0014,LC2105NI0015,LC2105NI0016,LC2105NI0017,LC2105NI0018,LC2105NI0019,LC2105NI0020
N06000001,92221,13283,70450,6712,3833,26942,4740,19510,1957,1092,13380,719,10232,1295,1549,51899,7824,40708,3460,1192
N06000002,102531,19019,62717,19734,3015,33700,7788,18266,7113,907,14496,1239,9680,2908,1030,54335,9992,34771,9713,1078
N06000003,111402,12421,68694,26468,7896,38747,4835,21997,10406,2437,19443,849,11294,5134,3114,53212,6737,35403,10928,2345
N06000004,93986,18006,40040,36286,1515,35551,8303,13094,14081,447,13285,1299,6716,5129,531,45150,8404,20230,17076,537
N06000005,90067,15028,67665,7185,1881,29095,5844,20619,2323,629,10022,709,8217,785,533,50950,8475,38829,4077,719
N06000006,99673,22777,60581,15754,2348,33423,9036,18166,5758,844,11968,1422,7999,2174,657,54282,12319,34416,7822,847
N06000007,102553,24206,47166,26431,6432,34428,9710,13761,8963,2322,14165,1247,7271,3879,2071,53960,13249,26134,13589,2039
N06000008,100807,18967,36867,44610,2123,36326,9017,10975,16010,673,13963,1306,5651,6664,611,50518,8644,20241,21936,839
N06000009,101710,15686,76440,9086,2795,32028,6272,22428,2813,950,12914,744,10253,1372,865,56768,8670,43759,4901,980
N06000010,99155,24795,45828,27121,3363,36141,11215,13849,10281,1170,14189,1229,8077,4238,1127,48825,12351,23902,12602,1066
N06000011,112401,22012,47711,39898,4980,39587,9969,14396,14068,1633,15628,1139,7223,5942,1691,57186,10904,26092,19888,1656
N06000012,108207,26163,69620,11135,2900,34445,9611,20242,3967,947,13456,1351,9940,1400,1003,60306,15201,39438,5768,950
N06000013,89498,10943,72396,6506,2197,25621,4202,19601,1585,665,10589,549,9031,709,572,53288,6192,43764,4212,960
N06000014,99238,15824,70091,12499,2774,33132,6803,21240,4625,847,13355,795,10049,1840,1017,52751,8226,38802,6034,910
N06000015,108835,22042,54954,31734,2767,38433,10043,16699,11241,931,14027,1115,8187,4397,800,56375,10884,30068,16096,1036
N06000016,89370,15366,67415,6766,1621,27503,5723,19573,2059,491,10151,738,8343,823,493,51716,8905,39499,3884,637
N06000017,118010,21733,70961,21351,6095,40199,9530,21189,7781,2135,16923,1225,10874,3208,2005,60888,10978,38898,10362,1955
N06000018,91199,23157,40817,26550,2266,31656,9862,11944,9373,810,11984,1311,6466,3820,697,47559,11984,22407,13357,759
