GeographyCode,LC4103NI0001,LC4103NI0002,LC4103NI0003,LC4103NI0004,LC4103NI0005,LC4103NI0006,LC4103NI0007,LC4103NI0008,LC4103NI0009,LC4103NI0010,LC4103NI0011,LC4103NI0012,LC4103NI0013,LC4103NI0014,LC4103NI0015,LC4103NI0016,LC4103NI0017,LC4103NI0018,LC4103NI0019,LC4103NI0020
N06000001,91207,17417,22925,33617,17248,60698,7015,15595,25565,12523,16297,3973,3659,5167,3498,14212,6429,3671,2885,1227
N06000002,101489,21934,23515,37541,18499,60154,7919,14059,26069,12107,25478,7006,5736,7953,4783,15857,7009,3720,3519,1609
N06000003,108289,30856,23954,37120,16359,63047,6677,14703,29244,12423,14327,3497,3516,4509,2805,30915,20682,5735,3367,1131
N06000004,93176,20549,22266,36206,14155,54557,7785,13264,24553,8955,28438,8011,6721,9576,4130,10181,4753,2281,2077,1070
N06000005,87942,13004,22156,37109,15673,68271,6756,17698,31622,12195,8119,1895,1498,2615,2111,11552,4353,2960,2872,1367
N06000006,97681,15761,25011,39646,17263,70366,6430,18262,32234,13440,10349,2296,2351,3603,2099,16966,7035,4398,3809,1724
N06000007,101557,15929,25962,42433,17233,76179,7204,19315,35515,14145,7573,1812,1714,2595,1452,17805,6913,4933,4323,1636
N06000008,99430,18674,25883,40678,14195,61599,6160,16172,29422,9845,21025,5617,5179,7270,2959,16806,6897,4532,3986,1391
N06000009,100083,15701,26061,40606,17715,77424,8020,20414,34899,14091,10917,2906,2527,3151,2333,11742,4775,3120,2556,1291
N06000010,98502,15633,27502,40104,15263,77070,8321,21781,34213,12755,6408,1410,1583,2313,1102,15024,5902,4138,3578,1406
N06000011,111333,18107,29571,45900,17755,83683,8426,22156,38611,14490,9546,2171,2387,3325,1663,18104,7510,5028,3964,1602
N06000012,107293,16188,27668,43421,20016,80512,7863,21165,35829,15655,10197,2167,2290,3478,2262,16584,6158,4213,4114,2099
N06000013,87868,12912,20894,36311,17751,68862,6867,16187,31151,14657,7214,1589,1470,2271,1884,11792,4456,3237,2889,1210
N06000014,98171,17067,26717,39378,15009,78220,9479,21812,34600,12329,7616,2205,1653,2211,1547,12335,5383,3252,2567,1133
N06000015,107832,16251,28561,45677,17343,83913,8053,22373,39259,14228,6992,1497,1556,2632,1307,16927,6701,4632,3786,1808
N06000016,88672,12610,21367,38393,16302,69037,6516,16814,32829,12878,8847,2119,1877,2871,1980,10788,3975,2676,2693,1444
N06000017,117347,22680,30867,45466,18334,84454,11073,22828,36800,13753,11691,2812,2471,3839,2569,21202,8795,5568,4827,2012
N06000018,90467,13403,23932,38161,14971,67067,6016,17946,31218,11887,8678,1879,2000,3341,1458,14722,5508,3986,3602,1626
