GeographyCode,LC2602NI0001,LC2602NI0002,LC2602NI0003,LC2602NI0004,LC2602NI0005,LC2602NI0006,LC2602NI0007,LC2602NI0008,LC2602NI0009,LC2602NI0010,LC2602NI0011,LC2602NI0012,LC2602NI0013,LC2602NI0014,LC2602NI0015,LC2602NI0016,LC2602NI0017,LC2602NI0018,LC2602NI0019,LC2602NI0020,LC2602NI0021
N06000001,67039,58094,8945,45800,38841,6959,23573,19908,3665,22227,18933,3294,21239,19253,1986,8905,8132,773,12334,11121,1213
N06000002,73558,65772,7786,45602,39974,5628,23483,20460,3023,22119,19514,2605,27956,25798,2158,11983,11076,907,15973,14722,1251
N06000003,86086,69090,16996,59911,47270,12641,30667,23948,6719,29244,23322,5922,26175,21820,4355,11673,9870,1803,14502,11950,2552
N06000004,67002,62291,4711,38843,35636,3207,19481,17787,1694,19362,17849,1513,28159,26655,1504,12032,11487,545,16127,15168,959
N06000005,66012,58985,7027,44880,40113,4767,23397,20901,2496,21483,19212,2271,21132,18872,2260,8968,8013,955,12164,10859,1305
N06000006,72822,64775,8047,46103,40923,5180,24748,22000,2748,21355,18923,2432,26719,23852,2867,11399,10241,1158,15320,13611,1709
N06000007,73713,59756,13957,50082,40181,9901,27474,22257,5217,22608,17924,4684,23631,19575,4056,9904,8383,1521,13727,11192,2535
N06000008,73474,63777,9697,44206,38192,6014,23202,20144,3058,21004,18048,2956,29268,25585,3683,12468,10996,1472,16800,14589,2211
N06000009,73686,64095,9591,51554,44268,7286,27247,23146,4101,24307,21122,3185,22132,19827,2305,9264,8345,919,12868,11482,1386
N06000010,70671,64095,6576,46574,41826,4748,25817,23199,2618,20757,18627,2130,24097,22269,1828,9718,9050,668,14379,13219,1160
N06000011,80362,68020,12342,53125,44544,8581,28767,24363,4404,24358,20181,4177,27237,23476,3761,11433,10102,1331,15804,13374,2430
N06000012,78306,70608,7698,52676,47138,5538,28468,25532,2936,24208,21606,2602,25630,23470,2160,10540,9723,817,15090,13747,1343
N06000013,65480,55666,9814,44424,37308,7116,23014,19021,3993,21410,18287,3123,21056,18358,2698,8750,7679,1071,12306,10679,1627
N06000014,71856,63478,8378,51300,44831,6469,26831,23266,3565,24469,21565,2904,20556,18647,1909,8329,7588,741,12227,11059,1168
N06000015,77403,68358,9045,51988,45755,6233,28277,24982,3295,23711,20773,2938,25415,22603,2812,10567,9501,1066,14848,13102,1746
N06000016,65507,59058,6449,44439,39915,4524,23183,20778,2405,21256,19137,2119,21068,19143,1925,8998,8236,762,12070,10907,1163
N06000017,85110,73914,11196,57344,49110,8234,30589,26188,4401,26755,22922,3833,27766,24804,2962,11436,10290,1146,16330,14514,1816
N06000018,65333,57614,7719,40916,36163,4753,22553,20067,2486,18363,16096,2267,24417,21451,2966,10231,9192,1039,14186,12259,1927
