GeographyCode,LC4406NI0001,LC4406NI0002,LC4406NI0003,LC4406NI0004,LC4406NI0005,LC4406NI0006,LC4406NI0007,LC4406NI0008,LC4406NI0009,LC4406NI0010,LC4406NI0011,LC4406NI0012
N06000001,91207,60698,16297,14212,81268,58480,11955,10833,9939,2218,4342,3379
N06000002,101489,60154,25478,15857,90646,58113,20118,12415,10843,2041,5360,3442
N06000003,108289,63047,14327,30915,91700,59726,10725,21249,16589,3321,3602,9666
N06000004,93176,54557,28438,10181,86029,53052,24718,8259,7147,1505,3720,1922
N06000005,87942,68271,8119,11552,82674,66700,5962,10012,5268,1571,2157,1540
N06000006,97681,70366,10349,16966,93972,69570,9051,15351,3709,796,1298,1615
N06000007,101557,76179,7573,17805,98757,75605,6850,16302,2800,574,723,1503
N06000008,99430,61599,21025,16806,93392,60742,18217,14433,6038,857,2808,2373
N06000009,100083,77424,10917,11742,95331,76017,8823,10491,4752,1407,2094,1251
N06000010,98502,77070,6408,15024,96706,76610,5838,14258,1796,460,570,766
N06000011,111333,83683,9546,18104,108085,82951,8454,16680,3248,732,1092,1424
N06000012,107293,80512,10197,16584,103753,79728,8804,15221,3540,784,1393,1363
N06000013,87868,68862,7214,11792,81460,66575,5200,9685,6408,2287,2014,2107
N06000014,98171,78220,7616,12335,94449,77134,6238,11077,3722,1086,1378,1258
N06000015,107832,83913,6992,16927,104437,82847,6098,15492,3395,1066,894,1435
N06000016,88672,69037,8847,10788,85286,68090,7482,9714,3386,947,1365,1074
N06000017,117347,84454,11691,21202,113327,83795,9892,19640,4020,659,1799,1562
N06000018,90467,67067,8678,14722,88674,66709,8092,13873,1793,358,586,849
