GeographyCode,LC6303NI0001,LC6303NI0002,LC6303NI0003,LC6303NI0004,LC6303NI0005,LC6303NI0006,LC6303NI0007,LC6303NI0008,LC6303NI0009
N06000001,75141,11715,63426,55020,10130,44890,20121,1585,18536
N06000002,81552,9681,71871,55034,7989,47045,26518,1692,24826
N06000003,93724,18775,74949,75167,16902,58265,18557,1873,16684
N06000004,72358,7385,64973,47721,6068,41653,24637,1317,23320
N06000005,72357,11197,61160,55026,9672,45354,17331,1525,15806
N06000006,79190,12132,67058,60078,10576,49502,19112,1556,17556
N06000007,80237,12789,67448,61578,11123,50455,18659,1666,16993
N06000008,78383,10708,67675,56646,9056,47590,21737,1652,20085
N06000009,80795,13034,67761,63091,11450,51641,17704,1584,16120
N06000010,76074,10439,65635,57004,8987,48017,19070,1452,17618
N06000011,86877,12587,74290,65642,10948,54694,21235,1639,19596
N06000012,86137,12690,73447,65773,11095,54678,20364,1595,18769
N06000013,73038,12414,60624,56764,10809,45955,16274,1605,14669
N06000014,77330,11123,66207,60568,9709,50859,16762,1414,15348
N06000015,83951,13497,70454,64565,11770,52795,19386,1727,17659
N06000016,71638,10769,60869,54392,9286,45106,17246,1483,15763
N06000017,92049,12360,79689,68282,10565,57717,23767,1795,21972
N06000018,70709,10556,60153,50551,9058,41493,20158,1498,18660
