GeographyCode,LC2604NI0001,LC2604NI0002,LC2604NI0003,LC2604NI0004,LC2604NI0005,LC2604NI0006,LC2604NI0007,LC2604NI0008,LC2604NI0009,LC2604NI0010,LC2604NI0011,LC2604NI0012,LC2604NI0013,LC2604NI0014,LC2604NI0015,LC2604NI0016,LC2604NI0017,LC2604NI0018,LC2604NI0019,LC2604NI0020,LC2604NI0021,LC2604NI0022,LC2604NI0023,LC2604NI0024,LC2604NI0025,LC2604NI0026,LC2604NI0027,LC2604NI0028,LC2604NI0029,LC2604NI0030,LC2604NI0031,LC2604NI0032,LC2604NI0033,LC2604NI0034,LC2604NI0035,LC2604NI0036,LC2604NI0037,LC2604NI0038,LC2604NI0039,LC2604NI0040
N06000001,67039,6475,41762,18140,12422,11200,18802,13217,21087,2391,12339,5360,3431,3548,6357,4706,13876,986,8850,3855,2559,2436,4040,2959,23300,2150,15428,6650,4935,3843,5722,3755,8776,948,5145,2275,1497,1373,2683,1797
N06000002,73558,29827,27880,12007,8935,6938,15851,8561,15833,7199,4754,2023,1378,1353,3880,2432,13383,5470,4936,2173,1455,1308,2977,1686,30402,10688,13757,5884,4619,3254,5957,2976,13940,6470,4433,1927,1483,1023,3037,1467
N06000003,86086,32294,29030,11953,9498,7579,24762,16417,31496,13670,8571,3514,2770,2287,9255,6233,14266,5066,5054,2072,1655,1327,4146,2717,20028,5579,8892,3595,3115,2182,5557,3472,20296,7979,6513,2772,1958,1783,5804,3995
N06000004,67002,48576,8373,3151,3627,1595,10053,3190,11574,8257,1192,406,455,331,2125,857,12032,8966,1253,472,505,276,1813,610,26914,18940,4293,1608,1978,707,3681,1038,16482,12413,1635,665,689,281,2434,685
N06000005,66012,11744,39562,19991,10232,9339,14706,10369,18155,3101,10749,5184,2839,2726,4305,3213,14812,2496,9169,4738,2289,2142,3147,2219,23190,3974,14438,7414,3751,3273,4778,3183,9855,2173,5206,2655,1353,1198,2476,1754
N06000006,72822,27665,34408,17318,12729,4361,10749,6351,16914,5740,8283,4236,2672,1375,2891,1887,16574,6268,8133,4460,2709,964,2173,1239,25599,9867,12287,5949,5081,1257,3445,1858,13735,5790,5705,2673,2267,765,2240,1367
N06000007,73713,39108,26112,4982,15264,5866,8493,3616,16081,8347,5751,1251,2979,1521,1983,969,17179,8169,7277,1430,4107,1740,1733,747,28692,15608,9781,1694,6224,1863,3303,1339,11761,6984,3303,607,1954,742,1474,561
N06000008,73474,49169,14105,6837,5413,1855,10200,3753,16573,10727,3226,1546,1149,531,2620,1257,12892,8103,2987,1491,1109,387,1802,686,26839,17969,5655,2748,2262,645,3215,902,17170,12370,2237,1052,893,292,2563,908
N06000009,73686,12070,46334,18862,16958,10514,15282,10717,23884,4189,14554,5935,4930,3689,5141,3782,17610,2661,11506,4855,3969,2682,3443,2421,23397,3672,15158,5958,6223,2977,4567,3022,8795,1548,5116,2114,1836,1166,2131,1492
N06000010,70671,43848,19793,8118,7970,3705,7030,2812,15438,9823,4095,1760,1506,829,1520,658,16239,9872,4889,2217,1743,929,1478,570,26562,15753,8072,3071,3547,1454,2737,1114,12432,8400,2737,1070,1174,493,1295,470
N06000011,80362,48457,21412,8493,8433,4486,10493,3804,18172,10508,5127,1953,1936,1238,2537,1023,18188,10185,5815,2443,2136,1236,2188,793,29500,17901,7777,3012,3294,1471,3822,1352,14502,9863,2693,1085,1067,541,1946,636
N06000012,78306,20127,46264,28747,9608,7909,11915,6908,18684,4771,10968,6684,1992,2292,2945,1886,18186,4703,10953,6985,2022,1946,2530,1440,30546,7374,18729,11687,4237,2805,4443,2465,10890,3279,5614,3391,1357,866,1997,1117
N06000013,65480,6906,40124,19686,11538,8900,18450,13958,23047,2624,13798,6502,4055,3241,6625,5209,16223,1602,10110,5028,2820,2262,4511,3415,18721,1796,11991,6061,3462,2468,4934,3510,7489,884,4225,2095,1201,929,2380,1824
N06000014,71856,20258,37682,20750,9059,7873,13916,9398,20757,5950,10681,5746,2419,2516,4126,2913,17205,4660,9401,5288,2089,2024,3144,2151,24900,6718,13426,7391,3551,2484,4756,3133,8994,2930,4174,2325,1000,849,1890,1201
N06000015,77403,49259,18069,10206,4498,3365,10075,5022,19699,12482,4384,2208,1169,1007,2833,1654,19822,12094,5409,3164,1272,973,2319,1150,25515,16254,6116,3646,1491,979,3145,1410,12367,8429,2160,1188,566,406,1778,808
N06000016,65507,9882,41152,23159,10007,7986,14473,10415,18106,2501,11303,5959,2866,2478,4302,3281,17607,2634,11349,6547,2566,2236,3624,2590,21763,3350,13958,8099,3432,2427,4455,3032,8031,1397,4542,2554,1143,845,2092,1512
N06000017,85110,34199,37559,11314,16590,9655,13352,7567,20687,7260,10153,3280,4063,2810,3274,2023,17782,6472,8693,2733,3644,2316,2617,1456,34116,14582,14280,3989,6917,3374,5254,2877,12525,5885,4433,1312,1966,1155,2207,1211
N06000018,65333,41098,18078,8380,7274,2424,6157,2078,13782,8852,3510,1651,1264,595,1420,610,14874,8751,4824,2374,1771,679,1299,456,23925,15001,6864,3073,2996,795,2060,629,12752,8494,2880,1282,1243,355,1378,383
