GeographyCode,LC2101NI0001,LC2101NI0002,LC2101NI0003,LC2101NI0004,LC2101NI0005,LC2101NI0006,LC2101NI0007,LC2101NI0008,LC2101NI0009,LC2101NI0010,LC2101NI0011,LC2101NI0012,LC2101NI0013,LC2101NI0014,LC2101NI0015,LC2101NI0016,LC2101NI0017,LC2101NI0018,LC2101NI0019,LC2101NI0020,LC2101NI0021,LC2101NI0022,LC2101NI0023,LC2101NI0024,LC2101NI0025
N06000001,92221,52710,6062,16180,17269,17080,9370,1276,3290,3144,23242,11069,1940,4646,5587,26368,15060,1767,4568,4973,25531,17211,1079,3676,3565
N06000002,102531,42080,27624,20098,12729,20979,7787,6659,4189,2344,27217,9584,8193,5295,4145,27448,11245,7540,5141,3522,26887,13464,5232,5473,2718
N06000003,111402,38060,28282,22321,22739,17678,5733,4861,3751,3333,40512,9802,12121,8353,10236,28345,9788,7386,5595,5576,24867,12737,3914,4622,3594
N06000004,93986,17038,53082,17375,6491,21628,3828,12868,3559,1373,27208,4259,16182,4541,2226,24405,4408,13933,4345,1719,20745,4543,10099,4930,1173
N06000005,90067,51027,7081,17200,14759,17710,9757,1396,3641,2916,21407,11024,1953,4491,3939,26259,15019,2077,4711,4452,24691,15227,1655,4357,3452
N06000006,99673,44480,19581,22538,13074,20483,8634,4559,4738,2552,24908,9623,5731,6008,3546,28178,12729,5522,6009,3918,26104,13494,3769,5783,3058
N06000007,102553,32914,32271,23149,14219,22316,6711,7309,5096,3200,26277,7321,8616,5561,4779,28274,9061,9140,6004,4069,25686,9821,7206,6488,2171
N06000008,100807,19562,52969,19555,8721,22424,3905,12533,4161,1825,27865,4682,15486,5120,2577,28086,5432,14900,5188,2566,22432,5543,10050,5086,1753
N06000009,101710,57130,8567,18552,17461,20915,11160,1909,4274,3572,24027,12013,2350,4726,4938,29534,16396,2606,5286,5246,27234,17561,1702,4266,3705
N06000010,99155,26041,38109,24795,10210,23081,5214,9636,5844,2387,27249,6180,11185,6539,3345,26889,7211,10338,6412,2928,21936,7436,6950,6000,1550
N06000011,112401,28164,47896,23684,12657,25524,5933,11438,5344,2809,29691,6414,13247,5773,4257,30702,7737,13130,6211,3624,26484,8080,10081,6356,1967
N06000012,108207,58182,13278,21012,15735,22070,11223,3079,4478,3290,25831,12608,3463,5297,4463,30486,16564,3761,5628,4533,29820,17787,2975,5609,3449
N06000013,89498,50685,4392,16925,17496,16460,8912,740,3576,3232,19750,10414,913,4135,4288,24971,14002,1325,4642,5002,28317,17357,1414,4572,4974
N06000014,99238,49603,14112,20050,15473,21908,10104,3770,4758,3276,24579,10931,3872,5228,4548,28584,14207,4244,5548,4585,24167,14361,2226,4516,3064
N06000015,108835,29587,39024,28758,11466,24884,5977,9446,6945,2516,27576,6645,10662,6974,3295,29931,8016,10934,7668,3313,26444,8949,7982,7171,2342
N06000016,89370,51371,5925,17220,14854,17732,9938,1174,3609,3011,19922,10496,1509,4193,3724,25867,14915,1684,4790,4478,25849,16022,1558,4628,3641
N06000017,118010,49784,25106,24940,18180,25961,10175,5957,5703,4126,31161,11349,7256,6621,5935,32897,14021,6994,6677,5205,27991,14239,4899,5939,2914
N06000018,91199,23961,34121,24915,8202,20490,4987,8056,5500,1947,23150,5349,9429,5997,2375,25462,6779,9647,6640,2396,22097,6846,6989,6778,1484
