GeographyCode,LC6111NI0001,LC6111NI0002,LC6111NI0003,LC6111NI0004,LC6111NI0005,LC6111NI0006,LC6111NI0007,LC6111NI0008,LC6111NI0009,LC6111NI0010,LC6111NI0011,LC6111NI0012,LC6111NI0013,LC6111NI0014,LC6111NI0015
N06000001,35029,15952,19077,12732,6593,6139,7459,3204,4255,12828,5026,7802,2010,1129,881
N06000002,38563,17456,21107,9226,4603,4623,7226,3367,3859,17556,6935,10621,4555,2551,2004
N06000003,41165,21611,19554,18762,10149,8613,7526,3496,4030,10695,4757,5938,4182,3209,973
N06000004,32697,14853,17844,6518,3330,3188,6399,3201,3198,14710,5699,9011,5070,2623,2447
N06000005,31599,12384,19215,10218,4023,6195,7521,2880,4641,12297,4624,7673,1563,857,706
N06000006,33404,13556,19848,9077,3609,5468,8792,3357,5435,12514,4860,7654,3021,1730,1291
N06000007,32895,13362,19533,7882,3472,4410,8973,3168,5805,13691,5658,8033,2349,1064,1285
N06000008,34925,15535,19390,9303,4148,5155,6803,2969,3834,13948,5552,8396,4871,2866,2005
N06000009,34918,14530,20388,13225,5962,7263,8938,3400,5538,11401,4469,6932,1354,699,655
N06000010,29827,12957,16870,6937,3488,3449,8412,3311,5101,12183,5243,6940,2295,915,1380
N06000011,35818,15137,20681,8980,4073,4907,9320,3546,5774,14249,5952,8297,3269,1566,1703
N06000012,35968,14363,21605,9566,4129,5437,9291,3373,5918,14973,5795,9178,2138,1066,1072
N06000013,32437,12339,20098,13368,5139,8229,8289,2999,5290,9533,3558,5975,1247,643,604
N06000014,33855,14770,19085,11265,5398,5867,8707,3564,5143,12526,5072,7454,1357,736,621
N06000015,34305,13933,20372,9858,4003,5855,10151,3989,6162,11900,4758,7142,2396,1183,1213
N06000016,31110,11538,19572,9876,3697,6179,8929,3131,5798,11015,4033,6982,1290,677,613
N06000017,40713,18300,22413,11166,5437,5729,9254,3899,5355,17686,7583,10103,2607,1381,1226
N06000018,29331,11945,17386,6560,2885,3675,7865,2884,4981,11666,4630,7036,3240,1546,1694
