GeographyCode,LC4401NI0001,LC4401NI0002,LC4401NI0003,LC4401NI0004,LC4401NI0005,LC4401NI0006,LC4401NI0007,LC4401NI0008,LC4401NI0009,LC4401NI0010,LC4401NI0011,LC4401NI0012,LC4401NI0013,LC4401NI0014,LC4401NI0015,LC4401NI0016,LC4401NI0017,LC4401NI0018,LC4401NI0019,LC4401NI0020,LC4401NI0021,LC4401NI0022,LC4401NI0023,LC4401NI0024,LC4401NI0025,LC4401NI0026,LC4401NI0027,LC4401NI0028,LC4401NI0029,LC4401NI0030,LC4401NI0031,LC4401NI0032,LC4401NI0033,LC4401NI0034,LC4401NI0035,LC4401NI0036,LC4401NI0037,LC4401NI0038,LC4401NI0039,LC4401NI0040,LC4401NI0041,LC4401NI0042,LC4401NI0043,LC4401NI0044,LC4401NI0045,LC4401NI0046,LC4401NI0047,LC4401NI0048
N06000001,40918,16997,23921,11675,8079,3596,18343,8530,9813,10900,388,10512,25926,8563,17363,3686,2566,1120,12560,5709,6851,9680,288,9392,8152,5003,3149,4903,3497,1406,2886,1461,1425,363,45,318,6840,3431,3409,3086,2016,1070,2897,1360,1537,857,55,802
N06000002,44601,20672,23929,18167,12502,5665,18577,7808,10769,7857,362,7495,24379,8119,16260,5125,3272,1853,12203,4586,7617,7051,261,6790,12523,7939,4584,8613,6086,2527,3588,1800,1788,322,53,269,7699,4614,3085,4429,3144,1285,2786,1422,1364,484,48,436
N06000003,46630,17875,28755,13668,8332,5336,19662,9042,10620,13300,501,12799,26401,8909,17492,3576,2495,1081,12371,6115,6256,10454,299,10155,7192,4463,2729,4633,3280,1353,2280,1149,1131,279,34,245,13037,4503,8534,5459,2557,2902,5011,1778,3233,2567,168,2399
N06000004,36580,15470,21110,16314,9936,6378,14924,5317,9607,5342,217,5125,20005,6148,13857,5237,2924,2313,9923,3058,6865,4845,166,4679,11865,6559,5306,8115,5030,3085,3472,1494,1978,278,35,243,4710,2763,1947,2962,1982,980,1529,765,764,219,16,203
N06000005,36112,12654,23458,7406,5351,2055,15268,6802,8466,13438,501,12937,26378,6868,19510,2580,1786,794,11312,4672,6640,12486,410,12076,4423,2882,1541,2705,2029,676,1539,839,700,179,14,165,5311,2904,2407,2121,1536,585,2417,1291,1126,773,77,696
N06000006,37981,12522,25459,7695,5269,2426,15892,6703,9189,14394,550,13844,25826,6138,19688,2221,1471,750,10665,4223,6442,12940,444,12496,4980,2889,2091,2841,2007,834,1884,861,1023,255,21,234,7175,3495,3680,2633,1791,842,3343,1619,1724,1199,85,1114
N06000007,37590,11898,25692,6117,4306,1811,14910,6920,7990,16563,672,15891,26691,6515,20176,2117,1574,543,9809,4395,5414,14765,546,14219,3694,2243,1451,1913,1395,518,1543,829,714,238,19,219,7205,3140,4065,2087,1337,750,3558,1696,1862,1560,107,1453
N06000008,38404,15092,23312,12489,8300,4189,16236,6425,9811,9679,367,9312,21751,5518,16233,3011,1784,1227,10049,3444,6605,8691,290,8401,9083,5346,3737,5569,3850,1719,3170,1470,1700,344,26,318,7570,4228,3342,3909,2666,1243,3017,1511,1506,644,51,593
N06000009,39850,12508,27342,6304,4473,1831,16387,7460,8927,17159,575,16584,29499,7151,22348,2109,1469,640,11652,5197,6455,15738,485,15253,5283,3194,2089,2824,2049,775,2160,1116,1044,299,29,270,5068,2163,2905,1371,955,416,2575,1147,1428,1122,61,1061
N06000010,33690,9276,24414,4942,3501,1441,12862,5228,7634,15886,547,15339,24701,4848,19853,1798,1265,533,8543,3148,5395,14360,435,13925,2889,1623,1266,1374,1005,369,1290,606,684,225,12,213,6100,2805,3295,1770,1231,539,3029,1474,1555,1301,100,1201
N06000011,40538,13062,27476,7352,5098,2254,16510,7317,9193,16676,647,16029,28586,6863,21723,2617,1850,767,10927,4487,6440,15042,526,14516,4500,2683,1817,2272,1632,640,1911,1029,882,317,22,295,7452,3516,3936,2463,1616,847,3672,1801,1871,1317,99,1218
N06000012,41458,12904,28554,7117,5053,2064,16982,7242,9740,17359,609,16750,29346,6597,22749,2151,1514,637,11436,4588,6848,15759,495,15264,4989,2891,2098,2637,1928,709,2032,938,1094,320,25,295,7123,3416,3707,2329,1611,718,3514,1716,1798,1280,89,1191
N06000013,37740,13308,24432,6614,4895,1719,16306,7873,8433,14820,540,14280,28432,8018,20414,2625,1876,749,12093,5689,6404,13714,453,13261,3874,2502,1372,2164,1696,468,1526,787,739,184,19,165,5434,2788,2646,1825,1323,502,2687,1397,1290,922,68,854
N06000014,37715,11600,26115,6017,4232,1785,15555,6832,8723,16143,536,15607,28659,6718,21941,2145,1463,682,11472,4800,6672,15042,455,14587,3850,2483,1367,2233,1675,558,1451,796,655,166,12,154,5206,2399,2807,1639,1094,545,2632,1236,1396,935,69,866
N06000015,39030,11994,27036,5987,4379,1608,15385,6910,8475,17658,705,16953,28516,6289,22227,2068,1504,564,10332,4220,6112,16116,565,15551,3207,1852,1355,1617,1177,440,1343,659,684,247,16,231,7307,3853,3454,2302,1698,604,3710,2031,1679,1295,124,1171
N06000016,35412,11046,24366,5631,4019,1612,14144,6438,7706,15637,589,15048,26254,6149,20105,1868,1353,515,9989,4329,5660,14397,467,13930,4332,2508,1824,2202,1562,640,1820,916,904,310,30,280,4826,2389,2437,1561,1104,457,2335,1193,1142,930,92,838
N06000017,45766,15515,30251,9658,6721,2937,19649,8199,11450,16459,595,15864,30786,7369,23417,2868,1884,984,12962,5026,7936,14956,459,14497,5898,3618,2280,3295,2454,841,2322,1137,1185,281,27,254,9082,4528,4554,3495,2383,1112,4365,2036,2329,1222,109,1113
N06000018,33260,11043,22217,6506,4690,1816,13424,5841,7583,13330,512,12818,22615,5056,17559,1858,1302,556,8601,3324,5277,12156,430,11726,4151,2510,1641,2205,1602,603,1697,893,804,249,15,234,6494,3477,3017,2443,1786,657,3126,1624,1502,925,67,858
