GeographyCode,LC2606NI0001,LC2606NI0002,LC2606NI0003,LC2606NI0004,LC2606NI0005,LC2606NI0006,LC2606NI0007,LC2606NI0008,LC2606NI0009,LC2606NI0010,LC2606NI0011,LC2606NI0012,LC2606NI0013,LC2606NI0014,LC2606NI0015,LC2606NI0016,LC2606NI0017,LC2606NI0018,LC2606NI0019,LC2606NI0020,LC2606NI0021,LC2606NI0022,LC2606NI0023,LC2606NI0024,LC2606NI0025,LC2606NI0026,LC2606NI0027,LC2606NI0028
N06000001,67039,6475,41762,18802,45800,4961,26888,13951,10550,978,6850,2722,27678,3307,15760,8611,4402,358,2581,1463,3170,318,1697,1155,21239,1514,14874,4851
N06000002,73558,29827,27880,15851,45602,18694,16128,10780,11950,5091,4409,2450,24982,10012,8873,6097,3464,1507,1096,861,5206,2084,1750,1372,27956,11133,11752,5071
N06000003,86086,32294,29030,24762,59911,24010,17821,18080,14487,5843,5017,3627,35071,14320,9756,10995,5814,2371,1607,1836,4539,1476,1441,1622,26175,8284,11209,6682
N06000004,67002,48576,8373,10053,38843,27796,4683,6364,11546,8596,1326,1624,19184,13359,2464,3361,2734,1961,311,462,5379,3880,582,917,28159,20780,3690,3689
N06000005,66012,11744,39562,14706,44880,7998,26511,10371,10709,1966,6598,2145,25746,4373,15186,6187,5086,997,2972,1117,3339,662,1755,922,21132,3746,13051,4335
N06000006,72822,27665,34408,10749,46103,17595,21527,6981,11109,4032,5502,1575,22945,8589,10699,3657,7362,2979,3458,925,4687,1995,1868,824,26719,10070,12881,3768
N06000007,73713,39108,26112,8493,50082,26387,17839,5856,10784,5553,4066,1165,26636,14340,9124,3172,8885,4260,3719,906,3777,2234,930,613,23631,12721,8273,2637
N06000008,73474,49169,14105,10200,44206,28882,8794,6530,11231,7634,2189,1408,21894,13958,4731,3205,4560,2819,1028,713,6521,4471,846,1204,29268,20287,5311,3670
N06000009,73686,12070,46334,15282,51554,8927,31356,11271,11548,1871,7391,2286,30197,5593,17884,6720,6916,970,4496,1450,2893,493,1585,815,22132,3143,14978,4011
N06000010,70671,43848,19793,7030,46574,28684,13149,4741,10032,6107,2971,954,24387,15015,6854,2518,8475,5118,2591,766,3680,2444,733,503,24097,15164,6644,2289
N06000011,80362,48457,21412,10493,53125,31167,14666,7292,12090,7236,3375,1479,27421,15715,7788,3918,8376,4579,2771,1026,5238,3637,732,869,27237,17290,6746,3201
N06000012,78306,20127,46264,11915,52676,13673,30697,8306,11524,2900,7065,1559,28457,7313,16501,4643,8643,2316,5122,1205,4052,1144,2009,899,25630,6454,15567,3609
N06000013,65480,6906,40124,18450,44424,4961,26177,13286,10401,1122,6573,2706,25298,2966,14620,7712,5866,619,3455,1792,2859,254,1529,1076,21056,1945,13947,5164
N06000014,71856,20258,37682,13916,51300,15049,25901,10350,11647,3468,6058,2121,30358,8925,15144,6289,6253,1713,3375,1165,3042,943,1324,775,20556,5209,11781,3566
N06000015,77403,49259,18069,10075,51988,32964,12290,6734,11749,7745,2675,1329,25887,16313,6101,3473,10056,5921,2921,1214,4296,2985,593,718,25415,16295,5779,3341
N06000016,65507,9882,41152,14473,44439,6827,27397,10215,10369,1528,6745,2096,24196,3714,14708,5774,6862,1045,4326,1491,3012,540,1618,854,21068,3055,13755,4258
N06000017,85110,34199,37559,13352,57344,22977,24999,9368,12965,5402,5751,1812,33177,13086,14536,5555,6628,2350,3243,1035,4574,2139,1469,966,27766,11222,12560,3984
N06000018,65333,41098,18078,6157,40916,25426,11666,3824,8712,5507,2468,737,20551,12745,5881,1925,7413,4280,2481,652,4240,2894,836,510,24417,15672,6412,2333
