GeographyCode,LC2403NI0001,LC2403NI0002,LC2403NI0003,LC2403NI0004,LC2403NI0005,LC2403NI0006,LC2403NI0007,LC2403NI0008,LC2403NI0009,LC2403NI0010,LC2403NI0011,LC2403NI0012,LC2403NI0013,LC2403NI0014,LC2403NI0015,LC2403NI0016
N06000001,40918,3455,26667,10796,25926,1831,17799,6296,8152,568,5583,2001,6840,1056,3285,2499
N06000002,44601,16705,18512,9384,24379,9610,10002,4767,12523,4298,5714,2511,7699,2797,2796,2106
N06000003,46630,15524,17777,13329,26401,9512,10642,6247,7192,1430,3900,1862,13037,4582,3235,5220
N06000004,36580,25726,5283,5571,20005,14947,2423,2635,11865,7827,2153,1885,4710,2952,707,1051
N06000005,36112,5855,22440,7817,26378,4092,16835,5451,4423,654,2805,964,5311,1109,2800,1402
N06000006,37981,13193,19013,5775,25826,8936,13315,3575,4980,1642,2551,787,7175,2615,3147,1413
N06000007,37590,18971,14032,4587,26691,13006,10935,2750,3694,2126,981,587,7205,3839,2116,1250
N06000008,38404,24869,8012,5523,21751,13837,5214,2700,9083,6385,1419,1279,7570,4647,1379,1544
N06000009,39850,5924,25853,8073,29499,4302,19710,5487,5283,643,3463,1177,5068,979,2680,1409
N06000010,33690,19764,10325,3601,24701,14661,7752,2288,2889,1576,957,356,6100,3527,1616,957
N06000011,40538,23814,11254,5470,28586,16420,8767,3399,4500,2842,975,683,7452,4552,1512,1388
N06000012,41458,9680,25489,6289,29346,6700,18689,3957,4989,1076,3098,815,7123,1904,3702,1517
N06000013,37740,3585,23994,10161,28432,2601,18602,7229,3874,288,2593,993,5434,696,2799,1939
N06000014,37715,9695,20787,7233,28659,7346,16254,5059,3850,819,2195,836,5206,1530,2338,1338
N06000015,39030,24110,9645,5275,28516,17532,7568,3416,3207,2170,572,465,7307,4408,1505,1394
N06000016,35412,4892,22888,7632,26254,3330,17556,5368,4332,648,2762,922,4826,914,2570,1342
N06000017,45766,17103,21302,7361,30786,10994,15549,4243,5898,2327,2443,1128,9082,3782,3310,1990
N06000018,33260,20288,9535,3437,22615,13611,6990,2014,4151,2739,896,516,6494,3938,1649,907
