GeographyCode,LC2111NI0001,LC2111NI0002,LC2111NI0003,LC2111NI0004,LC2111NI0005,LC2111NI0006,LC2111NI0007,LC2111NI0008,LC2111NI0009,LC2111NI0010,LC2111NI0011,LC2111NI0012,LC2111NI0013,LC2111NI0014,LC2111NI0015,LC2111NI0016,LC2111NI0017,LC2111NI0018,LC2111NI0019,LC2111NI0020,LC2111NI0021,LC2111NI0022,LC2111NI0023,LC2111NI0024
N06000001,92221,8783,57976,25401,17011,15564,25462,17570,44086,3956,26555,11774,7737,7044,13575,9647,48135,4827,31421,13627,9274,8520,11887,7923
N06000002,102531,41872,38718,16659,12347,9712,21941,11426,49107,19565,17832,7686,5745,4401,11710,6414,53424,22307,20886,8973,6602,5311,10231,5012
N06000003,111402,41803,38701,15796,12767,10138,30898,19922,54202,19360,17694,7253,5881,4560,17148,11530,57200,22443,21007,8543,6886,5578,13750,8392
N06000004,93986,68246,11589,4432,4909,2248,14151,4187,44532,31755,5372,2084,2254,1034,7405,2438,49454,36491,6217,2348,2655,1214,6746,1749
N06000005,90067,15925,54120,27416,13945,12759,20022,13893,43822,7585,25507,13053,6545,5909,10730,7624,46245,8340,28613,14363,7400,6850,9292,6269
N06000006,99673,38264,46777,23446,17591,5740,14632,8420,49241,18743,22579,11400,8479,2700,7919,4749,50432,19521,24198,12046,9112,3040,6713,3671
N06000007,102553,54435,36400,6839,21387,8174,11718,4849,51407,27153,17981,3375,10619,3987,6273,2777,51146,27282,18419,3464,10768,4187,5445,2072
N06000008,100807,68042,19195,9016,7672,2507,13570,4655,49076,32342,9294,4399,3726,1169,7440,2781,51731,35700,9901,4617,3946,1338,6130,1874
N06000009,101710,16776,63571,25603,23411,14557,21363,14695,50025,7987,30521,12371,11125,7025,11517,8209,51685,8789,33050,13232,12286,7532,9846,6486
N06000010,99155,61964,27359,11142,11117,5100,9832,3771,49602,30667,13561,5563,5507,2491,5374,2170,49553,31297,13798,5579,5610,2609,4458,1601
N06000011,112401,67807,30048,11883,11873,6292,14546,4916,55830,33281,14797,5971,5819,3007,7752,2857,56571,34526,15251,5912,6054,3285,6794,2059
N06000012,108207,28020,63625,39553,13160,10912,16562,9430,53259,13607,30817,19227,6386,5204,8835,5183,54948,14413,32808,20326,6774,5708,7727,4247
N06000013,89498,9239,55120,27096,15939,12085,25139,18754,43078,4166,25464,12524,7331,5609,13448,10313,46420,5073,29656,14572,8608,6476,11691,8441
N06000014,99238,28618,51233,28178,12370,10685,19387,12946,48594,13683,24470,13613,5795,5062,10441,7211,50644,14935,26763,14565,6575,5623,8946,5735
N06000015,108835,69673,25254,14268,6387,4599,13908,6663,54161,34104,12531,7145,3102,2284,7526,3793,54674,35569,12723,7123,3285,2315,6382,2870
N06000016,89370,13496,55969,31549,13514,10906,19905,14100,43722,6443,26613,15175,6314,5124,10666,7764,45648,7053,29356,16374,7200,5782,9239,6336
N06000017,118010,47557,51915,15427,23218,13270,18538,10273,58080,23116,24942,7496,11169,6277,10022,5867,59930,24441,26973,7931,12049,6993,8516,4406
N06000018,91199,57513,24985,11397,10203,3385,8701,2694,45499,28129,12699,5872,5114,1713,4671,1538,45700,29384,12286,5525,5089,1672,4030,1156
