GeographyCode,LC4402NI0001,LC4402NI0002,LC4402NI0003,LC4402NI0004,LC4402NI0005,LC4402NI0006,LC4402NI0007,LC4402NI0008,LC4402NI0009,LC4402NI0010,LC4402NI0011,LC4402NI0012,LC4402NI0013,LC4402NI0014,LC4402NI0015,LC4402NI0016,LC4402NI0017,LC4402NI0018,LC4402NI0019,LC4402NI0020,LC4402NI0021,LC4402NI0022,LC4402NI0023,LC4402NI0024
N06000001,40918,34268,6650,199,150,49,15956,11865,4091,2565,732,1833,20212,19776,436,445,413,32,157,54,103,1384,1278,106
N06000002,44601,37317,7284,247,171,76,20929,16118,4811,2275,516,1759,18750,18444,306,711,679,32,217,82,135,1472,1307,165
N06000003,46630,37061,9569,317,236,81,20774,14064,6710,2701,656,2045,20531,20112,419,353,318,35,145,50,95,1809,1625,184
N06000004,36580,32062,4518,95,66,29,17516,14433,3083,1250,361,889,16133,15864,269,411,387,24,193,50,143,982,901,81
N06000005,36112,32428,3684,233,215,18,8688,6284,2404,1182,418,764,21423,21074,349,797,780,17,96,54,42,3693,3603,90
N06000006,37981,35485,2496,174,139,35,1218,632,586,1179,310,869,26483,25676,807,1442,1378,64,223,183,40,7262,7167,95
N06000007,37590,35975,1615,253,225,28,372,149,223,852,342,510,25199,24512,687,1387,1344,43,337,315,22,9190,9088,102
N06000008,38404,34329,4075,148,102,46,2815,1509,1306,1663,383,1280,26988,25836,1152,1142,1068,74,228,138,90,5420,5293,127
N06000009,39850,36596,3254,186,168,18,6820,5275,1545,1424,462,962,25336,24874,462,1000,918,82,298,195,103,4786,4704,82
N06000010,33690,32682,1008,183,165,18,189,107,82,339,155,184,23481,22887,594,1213,1173,40,337,326,11,7948,7869,79
N06000011,40538,38643,1895,208,176,32,724,405,319,1108,438,670,28972,28296,676,1444,1376,68,355,323,32,7727,7629,98
N06000012,41458,39104,2354,262,237,25,1435,815,620,1261,533,728,28635,27856,779,1462,1396,66,242,196,46,8161,8071,90
N06000013,37740,33293,4447,237,179,58,11401,8742,2659,1832,664,1168,20694,20314,380,599,543,56,108,71,37,2869,2780,89
N06000014,37715,35248,2467,146,128,18,4893,3744,1149,948,323,625,25932,25414,518,899,816,83,131,104,27,4766,4719,47
N06000015,39030,36961,2069,268,232,36,901,477,424,901,241,660,27424,26650,774,1333,1282,51,350,303,47,7853,7776,77
N06000016,35412,33166,2246,252,229,23,4395,3248,1147,1119,488,631,24209,23865,344,1060,1035,25,131,109,22,4246,4192,54
N06000017,45766,43067,2699,182,157,25,1704,1060,644,1658,662,996,34206,33383,823,1199,1094,105,238,185,53,6579,6526,53
N06000018,33260,32099,1161,176,161,15,226,93,133,414,200,214,22661,21996,665,1223,1181,42,297,280,17,8263,8188,75
