GeographyCode,LC6502NI0001,LC6502NI0002,LC6502NI0003,LC6502NI0004,LC6502NI0005,LC6502NI0006,LC6502NI0007,LC6502NI0008,LC6502NI0009,LC6502NI0010,LC6502NI0011,LC6502NI0012,LC6502NI0013,LC6502NI0014,LC6502NI0015,LC6502NI0016,LC6502NI0017,LC6502NI0018,LC6502NI0019,LC6502NI0020,LC6502NI0021,LC6502NI0022,LC6502NI0023,LC6502NI0024,LC6502NI0025,LC6502NI0026,LC6502NI0027,LC6502NI0028,LC6502NI0029,LC6502NI0030,LC6502NI0031,LC6502NI0032,LC6502NI0033,LC6502NI0034,LC6502NI0035
N06000001,67039,15614,8191,9809,8189,19567,5669,21087,1015,1168,1983,2055,13989,877,13876,2317,2019,2906,2253,3072,1309,23300,9234,3740,3065,2304,1791,3166,8776,3048,1264,1855,1577,715,317
N06000002,73558,23123,10494,11321,8688,14535,5397,15833,1060,1130,1743,1796,9463,641,13383,2477,2157,2933,2290,2410,1116,30402,13624,4960,4072,2764,1773,3209,13940,5962,2247,2573,1838,889,431
N06000003,86086,12939,6883,9812,15871,35103,5478,31496,837,1021,1826,2281,24680,851,14266,1900,1702,2556,2340,4543,1225,20028,6935,2763,2552,2355,2689,2734,20296,3267,1397,2878,8895,3191,668
N06000004,67002,23322,9945,10860,8072,10458,4345,11574,965,991,1432,1362,6370,454,12032,2273,2018,2817,2122,1864,938,26914,12554,4408,3582,2519,1393,2458,16482,7530,2528,3029,2069,831,495
N06000005,66012,14123,8650,11016,9767,16466,5990,18155,992,1205,1938,1973,11243,804,14812,2469,2228,3294,2579,2652,1590,23190,8068,3940,3483,2758,1740,3201,9855,2594,1277,2301,2457,831,395
N06000006,72822,20060,8932,11611,9821,16681,5717,16914,1007,966,1705,1599,10986,651,16574,3687,2326,3311,2691,2784,1775,25599,10817,3966,3610,2543,1865,2798,13735,4549,1674,2985,2988,1046,493
N06000007,73713,20493,8848,11575,8659,16418,7720,16081,1018,884,1458,1391,10638,692,17179,4302,2297,3188,2629,2878,1885,28692,10602,4141,4168,2986,2196,4599,11761,4571,1526,2761,1653,706,544
N06000008,73474,21903,9020,11420,9650,16541,4940,16573,1048,957,1518,1678,10736,636,12892,2531,1746,2567,2257,2577,1214,26839,11886,3970,3547,2984,1949,2503,17170,6438,2347,3788,2731,1279,587
N06000009,73686,15066,9086,12028,9595,21727,6184,23884,1160,1468,2292,2388,15599,977,17610,3149,2389,3716,2951,3487,1918,23397,8142,4012,3705,2593,1920,3025,8795,2615,1217,2315,1663,721,264
N06000010,70671,20267,8601,11347,8946,15101,6409,15438,910,846,1423,1395,10342,522,16239,4165,2160,3073,2603,2343,1895,26562,10661,3995,3900,2746,1643,3617,12432,4531,1600,2951,2202,773,375
N06000011,80362,22009,9577,12751,10025,17814,8186,18172,1113,1007,1700,1717,11901,734,18188,4153,2463,3425,3072,2865,2210,29500,11085,4300,4173,3225,2194,4523,14502,5658,1807,3453,2011,854,719
N06000012,78306,21861,9513,12868,9741,17193,7130,18684,1195,1168,1898,1927,11670,826,18186,4241,2349,3716,2913,2847,2120,30546,12539,4519,4465,3221,1998,3804,10890,3886,1477,2789,1680,678,380
N06000013,65480,11138,8087,11180,9083,20793,5199,23047,944,1412,2572,2499,14678,942,16223,2289,2392,3569,2822,3544,1607,18721,5831,3203,3069,2331,1859,2428,7489,2074,1080,1970,1431,712,222
N06000014,71856,15673,9418,12595,9634,18248,6288,20757,1069,1377,2411,2193,12805,902,17205,3134,2550,3887,2832,3045,1757,24900,8678,4230,3935,2941,1756,3360,8994,2792,1261,2362,1668,642,269
N06000015,77403,18290,9088,12859,10579,19085,7502,19699,948,1072,1888,1890,13152,749,19822,4225,2544,3692,3478,3038,2845,25515,8894,3866,4091,3218,2079,3367,12367,4223,1606,3188,1993,816,541
N06000016,65507,14614,8764,11367,8796,15887,6079,18106,992,1251,2099,1996,10930,838,17607,3223,2681,3754,2979,2873,2097,21763,7942,3714,3324,2373,1533,2877,8031,2457,1118,2190,1448,551,267
N06000017,85110,22709,10871,14125,10597,19095,7713,20687,1246,1310,2214,2273,12834,810,17782,3467,2422,3828,3148,3049,1868,34116,13712,5281,4995,3247,2316,4565,12525,4284,1858,3088,1929,896,470
N06000018,65333,20955,7677,10005,7770,13703,5223,13782,866,802,1260,1264,9102,488,14874,4148,1951,2593,2284,2310,1588,23925,10388,3370,3316,2553,1577,2721,12752,5553,1554,2836,1669,714,426
