GeographyCode,LC2108NI0001,LC2108NI0002,LC2108NI0003,LC2108NI0004,LC2108NI0005,LC2108NI0006,LC2108NI0007,LC2108NI0008,LC2108NI0009
N06000001,88533,85273,3260,42213,40519,1694,46320,44754,1566
N06000002,97995,94994,3001,46829,45282,1547,51166,49712,1454
N06000003,107615,100813,6802,52219,48768,3451,55396,52045,3351
N06000004,89872,87357,2515,42432,41145,1287,47440,46212,1228
N06000005,86916,85585,1331,42267,41579,688,44649,44006,643
N06000006,95890,93928,1962,47348,46347,1001,48542,47581,961
N06000007,98103,92142,5961,49132,46015,3117,48971,46127,2844
N06000008,96591,94702,1889,46961,45986,975,49630,48716,914
N06000009,97364,95151,2213,47757,46668,1089,49607,48483,1124
N06000010,94457,91225,3232,47256,45512,1744,47201,45713,1488
N06000011,107388,102787,4601,53296,50986,2310,54092,51801,2291
N06000012,103991,101284,2707,51101,49740,1361,52890,51544,1346
N06000013,86272,84871,1401,41439,40761,678,44833,44110,723
N06000014,94820,92439,2381,46319,45107,1212,48501,47332,1169
N06000015,103964,101707,2257,51672,50490,1182,52292,51217,1075
N06000016,86183,84965,1218,42087,41481,606,44096,43484,612
N06000017,112428,106701,5727,55180,52243,2937,57248,54458,2790
N06000018,87329,85247,2082,43520,42392,1128,43809,42855,954
