GeographyCode,LC2409NI0001,LC2409NI0002,LC2409NI0003,LC2409NI0004,LC2409NI0005,LC2409NI0006,LC2409NI0007,LC2409NI0008,LC2409NI0009,LC2409NI0010,LC2409NI0011,LC2409NI0012,LC2409NI0013,LC2409NI0014,LC2409NI0015,LC2409NI0016,LC2409NI0017,LC2409NI0018
N06000001,40918,14342,13195,6143,7238,2.23,35782,12900,11601,5204,6077,2.20,5136,1442,1594,939,1161,2.46
N06000002,44601,15823,13367,7160,8251,2.28,40067,14494,12120,6308,7145,2.25,4534,1329,1247,852,1106,2.51
N06000003,46630,15710,14529,7191,9200,2.32,37841,13161,11779,5646,7255,2.29,8789,2549,2750,1545,1945,2.45
N06000004,36580,10445,10339,6963,8833,2.55,33888,9770,9646,6377,8095,2.54,2692,675,693,586,738,2.68
N06000005,36112,10210,11697,6176,8029,2.44,32181,9158,10414,5468,7141,2.43,3931,1052,1283,708,888,2.47
N06000006,37981,10031,11787,6475,9688,2.57,33629,9025,10379,5690,8535,2.57,4352,1006,1408,785,1153,2.62
N06000007,37590,9952,10412,6159,11067,2.70,30454,8289,8449,4826,8890,2.68,7136,1663,1963,1333,2177,2.78
N06000008,38404,10861,10790,6642,10111,2.59,32734,9309,9093,5676,8656,2.59,5670,1552,1697,966,1455,2.57
N06000009,39850,10435,13000,6793,9622,2.51,34733,9347,11414,5799,8173,2.49,5117,1088,1586,994,1449,2.69
N06000010,33690,7457,8897,5476,11860,2.92,30459,6872,8004,4843,10740,2.92,3231,585,893,633,1120,2.96
N06000011,40538,10225,11186,6923,12204,2.75,34054,8864,9325,5642,10223,2.73,6484,1361,1861,1281,1981,2.81
N06000012,41458,10676,12930,7082,10770,2.59,37475,9837,11698,6303,9637,2.57,3983,839,1232,779,1133,2.73
N06000013,37740,11356,13031,5981,7372,2.33,31999,9819,11059,5082,6039,2.31,5741,1537,1972,899,1333,2.45
N06000014,37715,9129,11829,6767,9990,2.60,33305,8272,10523,5843,8667,2.58,4410,857,1306,924,1323,2.76
N06000015,39030,9606,10801,6525,12098,2.76,34369,8533,9412,5728,10696,2.77,4661,1073,1389,797,1402,2.75
N06000016,35412,9058,11874,6014,8466,2.50,31731,8196,10613,5393,7529,2.50,3681,862,1261,621,937,2.57
N06000017,45766,12225,13741,8047,11753,2.56,39637,10890,11959,6799,9989,2.54,6129,1335,1782,1248,1764,2.72
N06000018,33260,8873,8881,5403,10103,2.72,28914,7774,7637,4619,8884,2.73,4346,1099,1244,784,1219,2.66
