GeographyCode,LC3603NI0001,LC3603NI0002,LC3603NI0003,LC3603NI0004,LC3603NI0005,LC3603NI0006,LC3603NI0007,LC3603NI0008,LC3603NI0009,LC3603NI0010,LC3603NI0011,LC3603NI0012,LC3603NI0013,LC3603NI0014,LC3603NI0015,LC3603NI0016,LC3603NI0017,LC3603NI0018,LC3603NI0019,LC3603NI0020,LC3603NI0021,LC3603NI0022,LC3603NI0023,LC3603NI0024,LC3603NI0025,LC3603NI0026,LC3603NI0027,LC3603NI0028,LC3603NI0029,LC3603NI0030,LC3603NI0031,LC3603NI0032
N06000001,67039,27500,24472,15067,42630,21271,16906,4453,11829,5513,4806,1510,30801,15758,12100,2943,24409,6229,7566,10614,9484,1517,3402,4565,4501,172,435,3894,10424,4540,3729,2155
N06000002,73558,27381,25197,20980,40396,19494,15886,5016,12955,6043,5087,1825,27441,13451,10799,3191,33162,7887,9311,15964,9709,1134,2889,5686,7822,300,764,6758,15631,6453,5658,3520
N06000003,86086,43171,28782,14133,55372,31343,19589,4440,16096,8973,5651,1472,39276,22370,13938,2968,30714,11828,9193,9693,8844,1850,3258,3736,4347,203,519,3625,17523,9775,5416,2332
N06000004,67002,25357,20978,20667,33464,16833,12513,4118,12407,6136,4573,1698,21057,10697,7940,2420,33538,8524,8465,16549,7479,716,1786,4977,9001,374,841,7786,17058,7434,5838,3786
N06000005,66012,27602,24933,13477,41541,20353,16822,4366,12034,5667,4955,1412,29507,14686,11867,2954,24471,7249,8111,9111,9762,1732,3752,4278,3682,131,457,3094,11027,5386,3902,1739
N06000006,72822,30813,26672,15337,41416,21132,16319,3965,12705,6193,5094,1418,28711,14939,11225,2547,31406,9681,10353,11372,10014,1781,3865,4368,5110,274,689,4147,16282,7626,5799,2857
N06000007,73713,32691,26618,14404,46305,24149,17895,4261,12574,6136,4993,1445,33731,18013,12902,2816,27408,8542,8723,10143,8696,1465,3041,4190,4610,252,667,3691,14102,6825,5015,2262
N06000008,73474,30928,24101,18445,37685,20322,13761,3602,12593,6493,4733,1367,25092,13829,9028,2235,35789,10606,10340,14843,8787,1315,2782,4690,8001,337,938,6726,19001,8954,6620,3427
N06000009,73686,33251,26914,13521,48661,25537,18621,4503,13196,6514,5146,1536,35465,19023,13475,2967,25025,7714,8293,9018,10496,2100,4032,4364,3494,167,434,2893,11035,5447,3827,1761
N06000010,70671,30714,24538,15419,42894,22236,16375,4283,11645,5583,4616,1446,31249,16653,11759,2837,27777,8478,8163,11136,7595,1126,2372,4097,5303,269,638,4396,14879,7083,5153,2643
N06000011,80362,35984,27383,16995,47887,25877,17614,4396,13905,7245,5164,1496,33982,18632,12450,2900,32475,10107,9769,12599,9323,1465,3072,4786,6199,370,850,4979,16953,8272,5847,2834
N06000012,78306,33307,29350,15649,48624,24582,19414,4628,13312,6375,5455,1482,35312,18207,13959,3146,29682,8725,9936,11021,11005,1983,4196,4826,4759,239,648,3872,13918,6503,5092,2323
N06000013,65480,28429,25112,11939,41565,21074,16548,3943,12099,5864,4888,1347,29466,15210,11660,2596,23915,7355,8564,7996,11442,2540,4788,4114,3064,185,417,2462,9409,4630,3359,1420
N06000014,71856,31487,26950,13419,48258,24445,19171,4642,13112,6325,5277,1510,35146,18120,13894,3132,23598,7042,7779,8777,9259,1632,3557,4070,3818,171,550,3097,10521,5239,3672,1610
N06000015,77403,35221,26755,15427,47692,25790,17588,4314,13690,7080,5171,1439,34002,18710,12417,2875,29711,9431,9167,11113,9150,1686,3204,4260,5484,279,762,4443,15077,7466,5201,2410
N06000016,65507,27027,24987,13493,41427,20301,16851,4275,12019,5698,4844,1477,29408,14603,12007,2798,24080,6726,8136,9218,10425,1883,4013,4529,3557,142,477,2938,10098,4701,3646,1751
N06000017,85110,35492,30283,19335,52770,26601,20624,5545,14479,6994,5646,1839,38291,19607,14978,3706,32340,8891,9659,13790,10725,1622,3588,5515,6511,261,760,5490,15104,7008,5311,2785
N06000018,65333,27095,21738,16500,36676,19185,13570,3921,10071,4893,3850,1328,26605,14292,9720,2593,28657,7910,8168,12579,7821,1010,2359,4452,6217,330,701,5186,14619,6570,5108,2941
