GeographyCode,LC2301NI0001,LC2301NI0002,LC2301NI0003,LC2301NI0004,LC2301NI0005,LC2301NI0006,LC2301NI0007,LC2301NI0008,LC2301NI0009,LC2301NI0010,LC2301NI0011,LC2301NI0012,LC2301NI0013,LC2301NI0014,LC2301NI0015,LC2301NI0016,LC2301NI0017,LC2301NI0018,LC2301NI0019,LC2301NI0020,LC2301NI0021,LC2301NI0022,LC2301NI0023,LC2301NI0024,LC2301NI0025,LC2301NI0026,LC2301NI0027,LC2301NI0028,LC2301NI0029,LC2301NI0030,LC2301NI0031,LC2301NI0032
N06000001,92221,8783,57976,25401,17011,15564,25462,17570,41080,4803,23914,10614,6368,6932,12363,8782,30361,2716,19109,8364,5695,5050,8536,6043,20780,1264,14953,6423,4948,3582,4563,2745
N06000002,102531,41872,38718,16659,12347,9712,21941,11426,43402,19865,13594,5747,4088,3759,9943,5289,31676,12194,12365,5449,3861,3055,7117,3938,27453,9813,12759,5463,4398,2898,4881,2199
N06000003,111402,41803,38701,15796,12767,10138,30898,19922,57726,25222,16598,6776,5178,4644,15906,10443,34529,11658,12519,5164,4150,3205,10352,6820,19147,4923,9584,3856,3439,2289,4640,2659
N06000004,93986,68246,11589,4432,4909,2248,14151,4187,41706,30879,4230,1575,1738,917,6597,1953,26430,18646,3537,1395,1447,695,4247,1318,25850,18721,3822,1462,1724,636,3307,916
N06000005,90067,15925,54120,27416,13945,12759,20022,13893,41772,8047,23982,11937,6131,5914,9743,6906,30421,4963,18590,9665,4719,4206,6868,4863,17874,2915,11548,5814,3095,2639,3411,2124
N06000006,99673,38264,46777,23446,17591,5740,14632,8420,47094,19334,20758,10510,7452,2796,7002,4203,32858,11879,16059,8161,6026,1872,4920,2905,19721,7051,9960,4775,4113,1072,2710,1312
N06000007,102553,54435,36400,6839,21387,8174,11718,4849,50416,28120,16737,3111,9530,4096,5559,2390,32894,16674,12141,2305,7273,2563,4079,1700,19243,9641,7522,1423,4584,1515,2080,759
N06000008,100807,68042,19195,9016,7672,2507,13570,4655,48639,33555,8410,3823,3377,1210,6674,2224,29642,19259,6220,2986,2451,783,4163,1591,22526,15228,4565,2207,1844,514,2733,840
N06000009,101710,16776,63571,25603,23411,14557,21363,14695,50280,9339,29941,11858,10385,7698,11000,7918,33115,4960,21121,8699,7947,4475,7034,4836,18315,2477,12509,5046,5079,2384,3329,1941
N06000010,99155,61964,27359,11142,11117,5100,9832,3771,48604,32048,11845,4749,4655,2441,4711,1892,30687,18331,9154,3801,3690,1663,3202,1272,19864,11585,6360,2592,2772,996,1919,607
N06000011,112401,67807,30048,11883,11873,6292,14546,4916,56544,34882,14318,5718,5312,3288,7344,2457,33933,19631,9707,3858,3938,1911,4595,1712,21924,13294,6023,2307,2623,1093,2607,747
N06000012,108207,28020,63625,39553,13160,10912,16562,9430,50740,14339,28506,17448,5593,5465,7895,4653,36548,8983,21807,13792,4547,3468,5758,3328,20919,4698,13312,8313,3020,1979,2909,1449
N06000013,89498,9239,55120,27096,15939,12085,25139,18754,42248,5038,24549,12134,6827,5588,12661,9747,30625,2868,19133,9428,5616,4089,8624,6470,16625,1333,11438,5534,3496,2408,3854,2537
N06000014,99238,28618,51233,28178,12370,10685,19387,12946,48918,15690,23349,12710,5406,5233,9879,6756,32917,8726,17697,9862,4273,3562,6494,4449,17403,4202,10187,5606,2691,1890,3014,1741
N06000015,108835,69673,25254,14268,6387,4599,13908,6663,55143,36311,12034,6792,2863,2379,6798,3421,33557,20801,8218,4678,2134,1406,4538,2245,20135,12561,5002,2798,1390,814,2572,997
N06000016,89370,13496,55969,31549,13514,10906,19905,14100,41231,6803,24730,13791,5748,5191,9698,7095,30362,4210,19371,11077,4769,3525,6781,4840,17777,2483,11868,6681,2997,2190,3426,2165
N06000017,118010,47557,51915,15427,23218,13270,18538,10273,55811,23386,23540,7206,9884,6450,8885,5091,37616,14414,17006,5015,7871,4120,6196,3586,24583,9757,11369,3206,5463,2700,3457,1596
N06000018,91199,57513,24985,11397,10203,3385,8701,2694,42833,28092,10756,4812,4336,1608,3985,1252,27445,16564,8235,3828,3270,1137,2646,895,20921,12857,5994,2757,2597,640,2070,547
