GeographyCode,LC6102NI0001,LC6102NI0002,LC6102NI0003,LC6102NI0004,LC6102NI0005,LC6102NI0006,LC6102NI0007,LC6102NI0008,LC6102NI0009,LC6102NI0010,LC6102NI0011,LC6102NI0012,LC6102NI0013,LC6102NI0014,LC6102NI0015,LC6102NI0016,LC6102NI0017,LC6102NI0018,LC6102NI0019,LC6102NI0020,LC6102NI0021,LC6102NI0022,LC6102NI0023,LC6102NI0024,LC6102NI0025,LC6102NI0026,LC6102NI0027
N06000001,42630,615,3197,1920,9258,3388,7236,14664,2352,27262,355,1816,1165,6781,2225,4855,8533,1532,15368,260,1381,755,2477,1163,2381,6131,820
N06000002,40396,611,2901,2112,10005,3796,5942,12890,2139,25919,356,1657,1256,7386,2358,4032,7447,1427,14477,255,1244,856,2619,1438,1910,5443,712
N06000003,55372,674,2768,1846,13288,4371,9936,19814,2675,38419,447,1813,1159,10866,3234,7222,11792,1886,16953,227,955,687,2422,1137,2714,8022,789
N06000004,33464,404,1960,1788,8316,2670,4487,12078,1761,22646,233,1246,1153,6409,1651,3295,7462,1197,10818,171,714,635,1907,1019,1192,4616,564
N06000005,41541,1437,4290,2956,9177,3700,5510,12503,1968,24397,654,2544,1785,6241,2057,3304,6607,1205,17144,783,1746,1171,2936,1643,2206,5896,763
N06000006,41416,1751,3574,4052,10260,1913,4789,13151,1926,24863,729,2252,2585,6997,1109,2929,7113,1149,16553,1022,1322,1467,3263,804,1860,6038,777
N06000007,46305,3250,6753,4474,10230,2474,4798,12446,1880,28636,1404,4717,2900,6972,1456,3205,6808,1174,17669,1846,2036,1574,3258,1018,1593,5638,706
N06000008,37685,808,3284,2112,9336,2685,5019,12658,1783,24248,416,2112,1298,6921,1773,3396,7200,1132,13437,392,1172,814,2415,912,1623,5458,651
N06000009,48661,1241,4480,3253,11221,2904,6647,16652,2263,29435,602,2759,1910,7465,1722,4046,9492,1439,19226,639,1721,1343,3756,1182,2601,7160,824
N06000010,42894,2492,6202,6491,8814,1999,3841,11411,1644,28441,1162,4389,4386,6334,1248,2735,7032,1155,14453,1330,1813,2105,2480,751,1106,4379,489
N06000011,47887,2748,5223,4830,11250,2860,4932,14020,2024,30589,1422,3503,3238,8027,1765,3327,7942,1365,17298,1326,1720,1592,3223,1095,1605,6078,659
N06000012,48624,2740,6424,4896,10972,2620,4847,14063,2062,29312,1241,4025,3050,7252,1521,2944,8008,1271,19312,1499,2399,1846,3720,1099,1903,6055,791
N06000013,41565,632,2779,2157,9040,2891,7325,14581,2160,23945,298,1365,1181,5967,1721,4379,7752,1282,17620,334,1414,976,3073,1170,2946,6829,878
N06000014,48258,1519,4629,3628,11071,4253,5996,15194,1968,29974,708,2869,2178,7754,2552,3830,8832,1251,18284,811,1760,1450,3317,1701,2166,6362,717
N06000015,47692,2336,3885,6548,10320,2463,5286,14656,2198,29467,1045,2446,4274,7251,1481,3437,8172,1361,18225,1291,1439,2274,3069,982,1849,6484,837
N06000016,41427,1596,3318,3483,8886,2440,5979,13734,1991,23629,766,1712,2036,5734,1401,3485,7303,1192,17798,830,1606,1447,3152,1039,2494,6431,799
N06000017,52770,1475,8007,4017,12777,3102,6009,15272,2111,34076,779,5262,2531,9063,1925,3943,9144,1429,18694,696,2745,1486,3714,1177,2066,6128,682
N06000018,36676,2765,3398,4496,7866,1744,3642,11199,1566,23015,1223,2345,2999,5445,1083,2413,6576,931,13661,1542,1053,1497,2421,661,1229,4623,635
