GeographyCode,LC4102NI0001,LC4102NI0002,LC4102NI0003,LC4102NI0004,LC4102NI0005,LC4102NI0006,LC4102NI0007,LC4102NI0008,LC4102NI0009,LC4102NI0010,LC4102NI0011,LC4102NI0012,LC4102NI0013,LC4102NI0014,LC4102NI0015,LC4102NI0016,LC4102NI0017,LC4102NI0018,LC4102NI0019,LC4102NI0020,LC4102NI0021,LC4102NI0022,LC4102NI0023,LC4102NI0024,LC4102NI0025,LC4102NI0026,LC4102NI0027,LC4102NI0028
N06000001,40918,25926,8152,6840,14342,7803,3814,2725,23987,16908,3859,3220,12906,10736,1003,1167,5339,2259,2087,993,5742,3913,769,1060,2589,1215,479,895
N06000002,44601,24379,12523,7699,15823,6837,5759,3227,25389,15975,5827,3587,11461,9278,1254,929,8815,3315,3632,1868,5113,3382,941,790,3389,1567,937,885
N06000003,46630,26401,7192,13037,15710,8288,3552,3870,23964,16617,3044,4303,13177,10752,807,1618,4764,2168,1628,968,6023,3697,609,1717,6956,1496,596,4864
N06000004,36580,20005,11865,4710,10445,4735,3984,1726,22415,13350,6681,2384,9161,7310,1342,509,9917,3911,4606,1400,3337,2129,733,475,3720,1920,1200,600
N06000005,36112,26378,4423,5311,10210,5950,2326,1934,24091,19220,1913,2958,14435,12990,501,944,4784,2495,973,1316,4872,3735,439,698,1811,1208,184,419
N06000006,37981,25826,4980,7175,10031,5497,2195,2339,25135,18722,2524,3889,15278,13035,841,1402,5086,2255,1263,1568,4771,3432,420,919,2815,1607,261,947
N06000007,37590,26691,3694,7205,9952,5906,1713,2333,24582,19018,1742,3822,16011,13824,537,1650,4492,2398,911,1183,4079,2796,294,989,3056,1767,239,1050
N06000008,38404,21751,9083,7570,10861,4675,3378,2808,23884,15155,4998,3731,12502,10180,1291,1031,7885,2696,3235,1954,3497,2279,472,746,3659,1921,707,1031
N06000009,39850,29499,5283,5068,10435,6372,2401,1662,27348,21792,2596,2960,17151,15024,734,1393,4398,2341,1316,741,5799,4427,546,826,2067,1335,286,446
N06000010,33690,24701,2889,6100,7457,4355,1208,1894,23671,18641,1507,3523,15999,14002,521,1476,4363,2252,784,1327,3309,2387,202,720,2562,1705,174,683
N06000011,40538,28586,4500,7452,10225,6007,1996,2222,27267,20773,2242,4252,17116,14867,700,1549,6016,3040,1220,1756,4135,2866,322,947,3046,1806,262,978
N06000012,41458,29346,4989,7123,10676,5968,2299,2409,28061,21595,2418,4048,17542,15253,773,1516,5079,2486,1138,1455,5440,3856,507,1077,2721,1783,272,666
N06000013,37740,28432,3874,5434,11356,7224,2031,2101,24684,20085,1658,2941,14747,13155,451,1141,4030,2261,798,971,5907,4669,409,829,1700,1123,185,392
N06000014,37715,28659,3850,5206,9129,5716,1837,1576,26432,21481,1860,3091,16649,14937,486,1226,4806,2660,1016,1130,4977,3884,358,735,2154,1462,153,539
N06000015,39030,28516,3207,7307,9606,5537,1444,2625,26754,21160,1559,4035,17323,15327,531,1465,5173,2717,793,1663,4258,3116,235,907,2670,1819,204,647
N06000016,35412,26254,4332,4826,9058,5438,1906,1714,24549,19606,2199,2744,15365,13667,674,1024,4130,2129,1051,950,5054,3810,474,770,1805,1210,227,368
N06000017,45766,30786,5898,9082,12225,6366,2913,2946,30781,22892,2667,5222,18436,15926,805,1705,6421,2986,1283,2152,5924,3980,579,1365,2760,1528,318,914
N06000018,33260,22615,4151,6494,8873,4528,1867,2478,22082,16592,2035,3455,14162,12209,646,1307,4732,2097,1143,1492,3188,2286,246,656,2305,1495,249,561
