GeographyCode,LC3101NI0001,LC3101NI0002,LC3101NI0003,LC3101NI0004,LC3101NI0005,LC3101NI0006,LC3101NI0007,LC3101NI0008,LC3101NI0009,LC3101NI0010,LC3101NI0011,LC3101NI0012,LC3101NI0013,LC3101NI0014,LC3101NI0015,LC3101NI0016,LC3101NI0017,LC3101NI0018
N06000001,91207,79613,11594,40171,37893,2278,13436,11354,2082,12877,9818,3059,9461,7360,2101,15262,13188,2074
N06000002,101489,88678,12811,48119,45005,3114,13352,10891,2461,13911,10684,3227,10358,8311,2047,15749,13787,1962
N06000003,108289,95774,12515,56231,53288,2943,14334,12307,2027,13800,10427,3373,9721,7550,2171,14203,12202,2001
N06000004,93176,80711,12465,48737,45018,3719,11642,9128,2514,12691,9723,2968,8922,7127,1795,11184,9715,1469
N06000005,87942,76760,11182,37758,35752,2006,12679,10686,1993,13498,10360,3138,10387,8183,2204,13620,11779,1841
N06000006,97681,87266,10415,44400,42495,1905,14080,12017,2063,13845,11098,2747,11070,9087,1983,14286,12569,1717
N06000007,101557,90614,10943,48462,46226,2236,14345,12031,2314,13828,10949,2879,11117,9168,1949,13805,12240,1565
N06000008,99430,88005,11425,49707,46959,2748,14079,11737,2342,13844,10919,2925,10302,8344,1958,11498,10046,1452
N06000009,100083,87871,12212,44380,42260,2120,14865,12567,2298,14387,11090,3297,11118,8682,2436,15333,13272,2061
N06000010,98502,87752,10750,50251,47724,2527,14270,11831,2439,12587,9902,2685,9616,7820,1796,11778,10475,1303
N06000011,111333,98726,12607,55139,52290,2849,15714,13089,2625,14819,11589,3230,11453,9272,2181,14208,12486,1722
N06000012,107293,95268,12025,47843,45506,2337,15701,13322,2379,14721,11658,3063,12196,9910,2286,16832,14872,1960
N06000013,87868,76095,11773,35647,33842,1805,12217,10396,1821,12625,9542,3083,11557,8840,2717,15822,13475,2347
N06000014,98171,86362,11809,46231,43886,2345,14781,12402,2379,13624,10401,3223,10650,8468,2182,12885,11205,1680
N06000015,107832,94836,12996,52190,49293,2897,15216,12600,2616,14602,11288,3314,11645,9294,2351,14179,12361,1818
N06000016,88672,76758,11914,37632,35590,2042,12436,10299,2137,13369,10090,3279,11203,8680,2523,14032,12099,1933
N06000017,117347,103481,13866,57073,54074,2999,16968,14202,2766,15897,12271,3626,11900,9508,2392,15509,13426,2083
N06000018,90467,80357,10110,43594,41223,2371,12982,10864,2118,12388,9738,2650,9719,8016,1703,11784,10516,1268
