GeographyCode,LC4407NI0001,LC4407NI0002,LC4407NI0003,LC4407NI0004,LC4407NI0005,LC4407NI0006,LC4407NI0007,LC4407NI0008,LC4407NI0009,LC4407NI0010,LC4407NI0011,LC4407NI0012,LC4407NI0013,LC4407NI0014,LC4407NI0015,LC4407NI0016,LC4407NI0017,LC4407NI0018,LC4407NI0019,LC4407NI0020,LC4407NI0021,LC4407NI0022,LC4407NI0023,LC4407NI0024,LC4407NI0025,LC4407NI0026,LC4407NI0027,LC4407NI0028,LC4407NI0029,LC4407NI0030,LC4407NI0031,LC4407NI0032
N06000001,40918,25926,8152,6840,199,121,29,49,15956,7629,4935,3392,2565,840,1259,466,20212,16049,1530,2633,445,220,180,45,157,39,83,35,1384,1028,136,220
N06000002,44601,24379,12523,7699,247,128,47,72,20929,8065,8842,4022,2275,512,1322,441,18750,14405,1565,2780,711,323,294,94,217,42,127,48,1472,904,326,242
N06000003,46630,26401,7192,13037,317,160,40,117,20774,8838,4888,7048,2701,907,862,932,20531,15053,1067,4411,353,216,98,39,145,34,67,44,1809,1193,170,446
N06000004,36580,20005,11865,4710,95,47,30,18,17516,6574,8454,2488,1250,261,838,151,16133,12258,2054,1821,411,204,171,36,193,35,105,53,982,626,213,143
N06000005,36112,26378,4423,5311,233,171,15,47,8688,4461,2560,1667,1182,416,524,242,21423,17776,974,2673,797,495,190,112,96,39,28,29,3693,3020,132,541
N06000006,37981,25826,4980,7175,174,112,20,42,1218,488,257,473,1179,277,578,324,26483,18385,3319,4779,1442,681,562,199,223,141,45,37,7262,5742,199,1321
N06000007,37590,26691,3694,7205,253,187,16,50,372,154,13,205,852,203,335,314,25199,17735,2698,4766,1387,841,317,229,337,232,52,53,9190,7339,263,1588
N06000008,38404,21751,9083,7570,148,76,27,45,2815,431,1637,747,1663,238,791,634,26988,16299,5791,4898,1142,507,488,147,228,75,91,62,5420,4125,258,1037
N06000009,39850,29499,5283,5068,186,131,25,30,6820,3359,2459,1002,1424,533,638,253,25336,20608,1634,3094,1000,580,331,89,298,186,60,52,4786,4102,136,548
N06000010,33690,24701,2889,6100,183,123,22,38,189,115,1,73,339,90,129,120,23481,17022,2212,4247,1213,706,310,197,337,274,30,33,7948,6371,185,1392
N06000011,40538,28586,4500,7452,208,125,30,53,724,248,220,256,1108,267,518,323,28972,20784,2960,5228,1444,740,515,189,355,255,47,53,7727,6167,210,1350
N06000012,41458,29346,4989,7123,262,189,20,53,1435,546,529,360,1261,340,578,343,28635,20698,3182,4755,1462,852,395,215,242,142,39,61,8161,6579,246,1336
N06000013,37740,28432,3874,5434,237,143,18,76,11401,7353,2138,1910,1832,750,571,511,20694,17410,815,2469,599,327,213,59,108,55,26,27,2869,2394,93,382
N06000014,37715,28659,3850,5206,146,108,14,24,4893,2797,1390,706,948,298,431,219,25932,20668,1760,3504,899,629,153,117,131,87,21,23,4766,4072,81,613
N06000015,39030,28516,3207,7307,268,185,23,60,901,478,49,374,901,250,367,284,27424,20242,2234,4948,1333,780,352,201,350,250,46,54,7853,6331,136,1386
N06000016,35412,26254,4332,4826,252,165,24,63,4395,2081,1444,870,1119,318,599,202,24209,19480,1742,2987,1060,534,390,136,131,81,27,23,4246,3595,106,545
N06000017,45766,30786,5898,9082,182,112,19,51,1704,513,741,450,1658,401,812,445,34206,23778,3707,6721,1199,651,343,205,238,137,55,46,6579,5194,221,1164
N06000018,33260,22615,4151,6494,176,129,19,28,226,103,14,109,414,131,117,166,22661,14954,3410,4297,1223,701,290,232,297,198,45,54,8263,6399,256,1608
