GeographyCode,LC3303NI0001,LC3303NI0002,LC3303NI0003,LC3303NI0004,LC3303NI0005,LC3303NI0006,LC3303NI0007,LC3303NI0008,LC3303NI0009,LC3303NI0010,LC3303NI0011,LC3303NI0012,LC3303NI0013,LC3303NI0014,LC3303NI0015,LC3303NI0016,LC3303NI0017,LC3303NI0018,LC3303NI0019,LC3303NI0020,LC3303NI0021,LC3303NI0022,LC3303NI0023,LC3303NI0024,LC3303NI0025,LC3303NI0026,LC3303NI0027
N06000001,91207,19874,71333,71480,12292,59188,19727,7582,12145,71123,12072,59051,4582,1307,3275,66541,10765,55776,20084,7802,12282,15145,6275,8870,4939,1527,3412
N06000002,101489,33082,68407,75511,20857,54654,25978,12225,13753,74822,20377,54445,4979,1889,3090,69843,18488,51355,26667,12705,13962,20999,10336,10663,5668,2369,3299
N06000003,108289,25344,82945,90347,18292,72055,17942,7052,10890,90143,17982,72161,4783,1387,3396,85360,16595,68765,18146,7362,10784,13159,5665,7494,4987,1697,3290
N06000004,93176,34365,58811,68113,22374,45739,25063,11991,13072,67877,22038,45839,4531,1803,2728,63346,20235,43111,25299,12327,12972,20532,10188,10344,4767,2139,2628
N06000005,87942,12318,75624,70662,7569,63093,17280,4749,12531,70721,7613,63108,4406,941,3465,66315,6672,59643,17221,4705,12516,12874,3808,9066,4347,897,3450
N06000006,97681,13855,83826,78727,9070,69657,18954,4785,14169,78758,8950,69808,4679,927,3752,74079,8023,66056,18923,4905,14018,14275,3858,10417,4648,1047,3601
N06000007,101557,10692,90865,82508,6694,75814,19049,3998,15051,82993,6837,76156,4746,759,3987,78247,6078,72169,18564,3855,14709,14303,3239,11064,4261,616,3645
N06000008,99430,24688,74742,77355,16749,60606,22075,7939,14136,77503,16616,60887,4667,1388,3279,72836,15228,57608,21927,8072,13855,17408,6551,10857,4519,1521,2998
N06000009,100083,10689,89394,82380,6489,75891,17703,4200,13503,82581,6554,76027,4738,824,3914,77843,5730,72113,17502,4135,13367,12965,3376,9589,4537,759,3778
N06000010,98502,8547,89955,79513,5033,74480,18989,3514,15475,79136,4976,74160,4156,585,3571,74980,4391,70589,19366,3571,15795,14833,2929,11904,4533,642,3891
N06000011,111333,13065,98268,89781,8145,81636,21552,4920,16632,90169,8159,82010,5116,864,4252,85053,7295,77758,21164,4906,16258,16436,4056,12380,4728,850,3878
N06000012,107293,12176,95117,86878,7656,79222,20415,4520,15895,87053,7706,79347,5189,938,4251,81864,6768,75096,20240,4470,15770,15226,3582,11644,5014,888,4126
N06000013,87868,10477,77391,71456,6338,65118,16412,4139,12273,72082,6499,65583,4672,869,3803,67410,5630,61780,15786,3978,11808,11740,3270,8470,4046,708,3338
N06000014,98171,10665,87506,81333,6804,74529,16838,3861,12977,81355,6774,74581,4455,711,3744,76900,6063,70837,16816,3891,12925,12383,3150,9233,4433,741,3692
N06000015,107832,10109,97723,87288,5950,81338,20544,4159,16385,88236,6113,82123,5300,792,4508,82936,5321,77615,19596,3996,15600,15244,3367,11877,4352,629,3723
N06000016,88672,9418,79254,71236,5651,65585,17436,3767,13669,71397,5649,65748,4486,696,3790,66911,4953,61958,17275,3769,13506,12950,3071,9879,4325,698,3627
N06000017,117347,17015,100332,93618,10737,82881,23729,6278,17451,93211,10599,82612,5349,1072,4277,87862,9527,78335,24136,6416,17720,18380,5206,13174,5756,1210,4546
N06000018,90467,11152,79315,70197,6560,63637,20270,4592,15678,70062,6426,63636,4162,695,3467,65900,5731,60169,20405,4726,15679,16108,3897,12211,4297,829,3468
