GeographyCode,LC3601NI0001,LC3601NI0002,LC3601NI0003,LC3601NI0004,LC3601NI0005,LC3601NI0006,LC3601NI0007,LC3601NI0008,LC3601NI0009,LC3601NI0010,LC3601NI0011,LC3601NI0012,LC3601NI0013,LC3601NI0014,LC3601NI0015,LC3601NI0016,LC3601NI0017,LC3601NI0018,LC3601NI0019,LC3601NI0020,LC3601NI0021,LC3601NI0022,LC3601NI0023,LC3601NI0024,LC3601NI0025,LC3601NI0026,LC3601NI0027,LC3601NI0028,LC3601NI0029,LC3601NI0030,LC3601NI0031,LC3601NI0032,LC3601NI0033,LC3601NI0034,LC3601NI0035,LC3601NI0036,LC3601NI0037,LC3601NI0038,LC3601NI0039,LC3601NI0040,LC3601NI0041,LC3601NI0042,LC3601NI0043,LC3601NI0044,LC3601NI0045,LC3601NI0046,LC3601NI0047,LC3601NI0048,LC3601NI0049,LC3601NI0050,LC3601NI0051,LC3601NI0052,LC3601NI0053,LC3601NI0054,LC3601NI0055,LC3601NI0056,LC3601NI0057,LC3601NI0058,LC3601NI0059,LC3601NI0060
N06000001,67039,21087,13876,23300,8776,27500,10886,5400,7008,4206,24472,7633,5616,8658,2565,15067,2568,2860,7634,2005,32478,10485,6035,11673,4285,13668,5356,2364,3843,2105,11724,3840,2402,4223,1259,7086,1289,1269,3607,921,34561,10602,7841,11627,4491,13832,5530,3036,3165,2101,12748,3793,3214,4435,1306,7981,1279,1591,4027,1084
N06000002,73558,15833,13383,30402,13940,27381,7542,5159,8694,5986,25197,5709,5126,10348,4014,20980,2582,3098,11360,3940,35466,7717,5710,15132,6907,13578,3594,2196,4653,3135,11962,2841,2131,5023,1967,9926,1282,1383,5456,1805,38092,8116,7673,15270,7033,13803,3948,2963,4041,2851,13235,2868,2995,5325,2047,11054,1300,1715,5904,2135
N06000003,86086,31496,14266,20028,20296,43171,17926,6164,6830,12251,28782,10512,5420,7315,5535,14133,3058,2682,5883,2510,42340,15854,6429,10326,9731,21205,8839,2818,3695,5853,14215,5457,2388,3689,2681,6920,1558,1223,2942,1197,43746,15642,7837,9702,10565,21966,9087,3346,3135,6398,14567,5055,3032,3626,2854,7213,1500,1459,2941,1313
N06000004,67002,11574,12032,26914,16482,25357,5457,4860,8001,7039,20978,3943,4240,8396,4399,20667,2174,2932,10517,5044,31513,5413,5115,13014,7971,12300,2565,1999,4154,3582,9819,1831,1874,3922,2192,9394,1017,1242,4938,2197,35489,6161,6917,13900,8511,13057,2892,2861,3847,3457,11159,2112,2366,4474,2207,11273,1157,1690,5579,2847
N06000005,66012,18155,14812,23190,9855,27602,8661,5950,7616,5375,24933,6973,6043,8974,2943,13477,2521,2819,6600,1537,32365,8996,6575,11969,4825,13889,4242,2579,4324,2744,12041,3500,2654,4500,1387,6435,1254,1342,3145,694,33647,9159,8237,11221,5030,13713,4419,3371,3292,2631,12892,3473,3389,4474,1556,7042,1267,1477,3455,843
N06000006,72822,16914,16574,25599,13735,30813,8282,6901,8803,6827,26672,6355,6536,9521,4260,15337,2277,3137,7275,2648,36147,7920,8916,12792,6519,15458,3783,3650,4691,3334,13175,3058,3481,4622,2014,7514,1079,1785,3479,1171,36675,8994,7658,12807,7216,15355,4499,3251,4112,3493,13497,3297,3055,4899,2246,7823,1198,1352,3796,1477
N06000007,73713,16081,17179,28692,11761,32691,8516,7521,10734,5920,26618,5556,6524,11044,3494,14404,2009,3134,6914,2347,37378,7117,9342,15299,5620,16616,3673,3859,6097,2987,13509,2576,3574,5747,1612,7253,868,1909,3455,1021,36335,8964,7837,13393,6141,16075,4843,3662,4637,2933,13109,2980,2950,5297,1882,7151,1141,1225,3459,1326
N06000008,73474,16573,12892,26839,17170,30928,8439,5547,8835,8107,24101,5595,4689,8750,5067,18445,2539,2656,9254,3996,35670,8121,6307,12849,8393,15328,3998,2667,4562,4101,11746,2828,2302,4172,2444,8596,1295,1338,4115,1848,37804,8452,6585,13990,8777,15600,4441,2880,4273,4006,12355,2767,2387,4578,2623,9849,1244,1318,5139,2148
N06000009,73686,23884,17610,23397,8795,33251,12707,7512,8098,4934,26914,8519,6905,9087,2403,13521,2658,3193,6212,1458,36511,12015,8326,11808,4362,16830,6300,3533,4450,2547,13216,4392,3180,4501,1143,6465,1323,1613,2857,672,37175,11869,9284,11589,4433,16421,6407,3979,3648,2387,13698,4127,3725,4586,1260,7056,1335,1580,3355,786
N06000010,70671,15438,16239,26562,12432,30714,8256,6690,9534,6234,24538,5208,6253,9609,3468,15419,1974,3296,7419,2730,35535,6541,9194,14154,5646,15691,3474,3662,5625,2930,12378,2229,3548,5045,1556,7466,838,1984,3484,1160,35136,8897,7045,12408,6786,15023,4782,3028,3909,3304,12160,2979,2705,4564,1912,7953,1136,1312,3935,1570
