GeographyCode,LC4409NI0001,LC4409NI0002,LC4409NI0003,LC4409NI0004,LC4409NI0005,LC4409NI0006,LC4409NI0007,LC4409NI0008,LC4409NI0009,LC4409NI0010,LC4409NI0011,LC4409NI0012,LC4409NI0013,LC4409NI0014,LC4409NI0015,LC4409NI0016,LC4409NI0017,LC4409NI0018,LC4409NI0019,LC4409NI0020,LC4409NI0021,LC4409NI0022,LC4409NI0023,LC4409NI0024,LC4409NI0025
N06000001,40918,1120,11200,21169,7429,14342,744,6197,6270,1131,13195,259,3394,7214,2328,6143,80,1054,3675,1334,7238,37,555,4010,2636
N06000002,44601,1490,13598,22984,6529,15823,997,7276,6444,1106,13367,351,4137,7197,1682,7160,102,1400,4390,1268,8251,40,785,4953,2473
N06000003,46630,1764,14020,20223,10623,15710,1087,7007,6001,1615,14529,451,4646,6500,2932,7191,121,1519,3634,1917,9200,105,848,4088,4159
N06000004,36580,1281,9782,20976,4541,10445,754,4470,4670,551,10339,337,3133,5915,954,6963,127,1378,4555,903,8833,63,801,5836,2133
N06000005,36112,480,6684,17987,10961,10210,341,3840,4785,1244,11697,108,2008,6287,3294,6176,17,539,3444,2176,8029,14,297,3471,4247
N06000006,37981,620,5579,18802,12980,10031,437,2973,4873,1748,11787,112,1695,6208,3772,6475,34,522,3541,2378,9688,37,389,4180,5082
N06000007,37590,610,5486,17758,13736,9952,365,2928,4845,1814,10412,160,1445,5427,3380,6159,46,577,3119,2417,11067,39,536,4367,6125
N06000008,38404,1185,7699,21051,8469,10861,857,4012,4886,1106,10790,225,2352,6089,2124,6642,59,797,4173,1613,10111,44,538,5903,3626
N06000009,39850,572,6785,19244,13249,10435,389,3613,5027,1406,13000,135,2153,6565,4147,6793,32,631,3601,2529,9622,16,388,4051,5167
N06000010,33690,430,4049,16159,13052,7457,270,1928,3923,1336,8897,114,1185,4773,2825,5476,26,440,2901,2109,11860,20,496,4562,6782
N06000011,40538,674,6004,20441,13419,10225,416,3036,5231,1542,11186,157,1761,6154,3114,6923,51,682,3812,2378,12204,50,525,5244,6385
N06000012,41458,614,6153,20065,14626,10676,388,3269,5200,1819,12930,145,1828,6731,4226,7082,47,608,3764,2663,10770,34,448,4370,5918
N06000013,37740,642,7292,17600,12206,11356,470,4219,5085,1582,13031,120,2289,6270,4352,5981,28,518,3134,2301,7372,24,266,3111,3971
N06000014,37715,462,5389,19375,12489,9129,301,2854,4695,1279,11829,105,1649,6564,3511,6767,32,545,3842,2348,9990,24,341,4274,5351
N06000015,39030,566,5622,18395,14447,9606,360,2989,4551,1706,10801,133,1594,5562,3512,6525,42,582,3517,2384,12098,31,457,4765,6845
N06000016,35412,554,6473,17438,10947,9058,382,3289,4192,1195,11874,137,2182,6026,3529,6014,19,643,3290,2062,8466,16,359,3930,4161
N06000017,45766,728,7020,24887,13131,12225,489,3839,6347,1550,13741,152,2021,8091,3477,8047,49,659,4805,2534,11753,38,501,5644,5570
N06000018,33260,603,4596,16402,11659,8873,427,2511,4513,1422,8881,108,1206,4815,2752,5403,37,454,2939,1973,10103,31,425,4135,5512
