GeographyCode,LC6109NI0001,LC6109NI0002,LC6109NI0003,LC6109NI0004,LC6109NI0005,LC6109NI0006,LC6109NI0007,LC6109NI0008,LC6109NI0009,LC6109NI0010,LC6109NI0011,LC6109NI0012,LC6109NI0013,LC6109NI0014,LC6109NI0015,LC6109NI0016,LC6109NI0017,LC6109NI0018
N06000001,42630,11829,30801,5238,2576,2662,11068,2120,8948,10956,2769,8187,9630,2552,7078,5738,1812,3926
N06000002,40396,12955,27441,5989,3112,2877,10573,2768,7805,9357,2705,6652,8990,2589,6401,5487,1781,3706
N06000003,55372,16096,39276,10630,6604,4026,16155,2597,13558,11634,2451,9183,10776,2516,8260,6177,1928,4249
N06000004,33464,12407,21057,6017,3374,2643,9194,2810,6384,7435,2596,4839,7168,2369,4799,3650,1258,2392
N06000005,41541,12034,29507,5804,2881,2923,8133,1777,6356,10460,2737,7723,10517,2569,7948,6627,2070,4557
N06000006,41416,12705,28711,5516,2924,2592,8894,2086,6808,10453,2841,7612,9880,2720,7160,6673,2134,4539
N06000007,46305,12574,33731,6077,2347,3730,11511,2152,9359,11048,2841,8207,10277,2875,7402,7392,2359,5033
N06000008,37685,12593,25092,5451,3147,2304,9551,2659,6892,9246,2722,6524,8576,2492,6084,4861,1573,3288
N06000009,48661,13196,35465,5949,2668,3281,10876,1971,8905,12610,3192,9418,11586,2878,8708,7640,2487,5153
N06000010,42894,11645,31249,6226,2462,3764,11464,2129,9335,10751,2795,7956,8719,2480,6239,5734,1779,3955
N06000011,47887,13905,33982,6848,2816,4032,12144,2573,9571,11597,3226,8371,10365,2937,7428,6933,2353,4580
N06000012,48624,13312,35312,6083,2452,3631,10812,2261,8551,12417,3242,9175,11222,2915,8307,8090,2442,5648
N06000013,41565,12099,29466,4900,2292,2608,8830,1826,7004,10215,2650,7565,10035,2686,7349,7585,2645,4940
N06000014,48258,13112,35146,6224,2802,3422,11261,2237,9024,12489,3197,9292,10913,2594,8319,7371,2282,5089
N06000015,47692,13690,34002,6852,2908,3944,11031,2299,8732,11584,3197,8387,10583,2899,7684,7642,2387,5255
N06000016,41427,12019,29408,5078,2222,2856,8322,1813,6509,10229,2801,7428,10540,2739,7801,7258,2444,4814
N06000017,52770,14479,38291,7207,3284,3923,13704,2745,10959,13165,3366,9799,11578,2892,8686,7116,2192,4924
N06000018,36676,10071,26605,4918,2040,2878,8958,1750,7208,9139,2427,6712,8297,2284,6013,5364,1570,3794
