GeographyCode,KS801NI0001,KS801NI0002,KS801NI0003,KS801NI0004,KS801NI0005,KS801NI0006,KS801NI0007,KS801NI0008,KS801NI0009,KS801NI0010
95AA01S1,269,167,83,11,8,1,62.08,30.86,4.09,2.97
95AA01S2,1666,1548,32,24,62,0,92.92,1.92,1.44,3.72
95AA01S3,1320,1230,17,26,47,1,93.18,1.29,1.97,3.56
95AA02W1,1505,1384,27,17,77,1,91.96,1.79,1.13,5.12
95AA03W1,1632,1539,22,26,45,0,94.30,1.35,1.59,2.76
95AA04W1,2791,2643,37,21,90,0,94.70,1.33,0.75,3.22
95AA05W1,2477,2329,44,22,82,0,94.03,1.78,0.89,3.31
95AA06S1,1792,1687,24,25,56,1,94.14,1.34,1.40,3.13
95AA06S2,2504,2383,27,24,70,0,95.17,1.08,0.96,2.80
95AA07W1,1956,1839,30,13,74,3,94.02,1.53,0.66,3.78
95AA08W1,1465,1382,16,14,53,0,94.33,1.09,0.96,3.62
95AA09W1,1898,1764,30,21,83,0,92.94,1.58,1.11,4.37
95AA10W1,1721,1611,25,24,61,2,93.61,1.45,1.39,3.54
95AA11S1,2344,2167,29,48,100,7,92.45,1.24,2.05,4.27
95AA11S2,2094,1927,41,49,77,0,92.02,1.96,2.34,3.68
95AA12W1,2582,2411,30,51,90,6,93.38,1.16,1.98,3.49
95AA13S1,1512,1419,11,23,59,4,93.85,0.73,1.52,3.90
95AA13S2,1383,1291,28,21,43,0,93.35,2.02,1.52,3.11
95AA14W1,2185,2051,31,19,84,0,93.87,1.42,0.87,3.84
95AA15S1,2096,1921,45,55,75,8,91.65,2.15,2.62,3.58
95AA15S2,1232,1151,13,18,50,0,93.43,1.06,1.46,4.06
95AA16W1,1490,1404,12,25,49,1,94.23,0.81,1.68,3.29
95AA17W1,1857,1738,27,9,83,1,93.59,1.45,0.48,4.47
95AA18W1,2201,2005,56,31,109,1,91.09,2.54,1.41,4.95
95AA19W1,2551,2439,39,30,43,1,95.61,1.53,1.18,1.69
95BB01S1,1481,1421,7,15,38,0,95.95,0.47,1.01,2.57
95BB01S2,1903,1817,19,19,48,0,95.48,1.00,1.00,2.52
95BB02W1,2122,1994,32,18,78,0,93.97,1.51,0.85,3.68
95BB03S1,1815,1671,21,39,84,1,92.07,1.16,2.15,4.63
95BB03S2,1969,1826,34,22,87,0,92.74,1.73,1.12,4.42
95BB04S1,1306,1207,12,22,65,1,92.42,0.92,1.68,4.98
95BB04S2,1471,1346,30,17,78,0,91.50,2.04,1.16,5.30
95BB05S1,1360,1262,28,14,56,0,92.79,2.06,1.03,4.12
95BB05S2,1743,1621,24,30,68,0,93.00,1.38,1.72,3.90
95BB06W1,2564,2405,42,45,72,1,93.80,1.64,1.76,2.81
95BB07S1,1472,1368,35,19,50,4,92.93,2.38,1.29,3.40
95BB07S2,1209,1155,11,8,35,0,95.53,0.91,0.66,2.89
95BB08S1,1236,1174,22,13,27,2,94.98,1.78,1.05,2.18
95BB08S2,1182,1112,22,9,39,0,94.08,1.86,0.76,3.30
95BB09S1,1191,1099,25,25,42,0,92.28,2.10,2.10,3.53
95BB09S2,1489,1389,18,20,62,2,93.28,1.21,1.34,4.16
95BB10S1,1425,1243,40,42,100,0,87.23,2.81,2.95,7.02
95BB10S2,1473,1332,39,13,89,0,90.43,2.65,0.88,6.04
95BB11S1,1289,1217,12,10,50,0,94.41,0.93,0.78,3.88
95BB11S2,1375,1246,19,31,79,0,90.62,1.38,2.25,5.75
95BB12S1,1300,1241,18,14,27,1,95.46,1.38,1.08,2.08
95BB12S2,1206,1106,25,17,58,0,91.71,2.07,1.41,4.81
95BB13S1,1262,1165,14,12,71,1,92.31,1.11,0.95,5.63
95BB13S2,1369,1309,11,5,44,0,95.62,0.80,0.37,3.21
95BB13S3,1444,1355,18,17,54,0,93.84,1.25,1.18,3.74
95BB14S1,1377,1272,21,14,70,0,92.37,1.53,1.02,5.08
95BB14S2,1379,1204,30,31,114,1,87.31,2.18,2.25,8.27
95BB15S1,1864,1772,20,24,48,2,95.06,1.07,1.29,2.58
95BB15S2,1364,1302,17,21,24,0,95.45,1.25,1.54,1.76
95BB16S1,1429,1346,25,16,42,0,94.19,1.75,1.12,2.94
95BB16S2,1477,1354,30,18,75,0,91.67,2.03,1.22,5.08
95BB17S1,1645,1544,21,20,60,0,93.86,1.28,1.22,3.65
95BB17S2,1589,1489,18,24,58,0,93.71,1.13,1.51,3.65
95BB18S1,1543,1445,24,28,46,0,93.65,1.56,1.81,2.98
95BB18S2,2347,2161,36,59,91,0,92.07,1.53,2.51,3.88
95BB19S1,1492,1425,23,14,30,0,95.51,1.54,0.94,2.01
95BB19S2,1659,1565,17,20,57,0,94.33,1.02,1.21,3.44
95BB19S3,1276,1208,19,12,37,0,94.67,1.49,0.94,2.90
