GeographyCode,KS212NI0001,KS212NI0002,KS212NI0003,KS212NI0004,KS212NI0005,KS212NI0006,KS212NI0007,KS212NI0008,KS212NI0009
95AA01S1,1113,161,516,24,412,14.47,46.36,2.16,37.02
95AA01S2,1829,1003,736,8,82,54.84,40.24,0.44,4.48
95AA01S3,1502,321,1032,15,134,21.37,68.71,1.00,8.92
95AA02W1,1734,570,1048,7,109,32.87,60.44,0.40,6.29
95AA03W1,1822,195,1422,15,190,10.70,78.05,0.82,10.43
95AA04W1,3013,832,1979,26,176,27.61,65.68,0.86,5.84
95AA05W1,2701,1683,900,12,106,62.31,33.32,0.44,3.92
95AA06S1,1953,1585,319,3,46,81.16,16.33,0.15,2.36
95AA06S2,2694,2170,455,6,63,80.55,16.89,0.22,2.34
95AA07W1,2140,336,1680,17,107,15.70,78.50,0.79,5.00
95AA08W1,1698,757,761,14,166,44.58,44.82,0.82,9.78
95AA09W1,2220,491,1466,28,235,22.12,66.04,1.26,10.59
95AA10W1,1953,806,939,25,183,41.27,48.08,1.28,9.37
95AA11S1,2800,955,1548,37,260,34.11,55.29,1.32,9.29
95AA11S2,2564,1130,1190,25,219,44.07,46.41,0.98,8.54
95AA12W1,2775,197,2395,23,160,7.10,86.31,0.83,5.77
95AA13S1,1745,1201,456,7,81,68.83,26.13,0.40,4.64
95AA13S2,1562,1081,412,3,66,69.21,26.38,0.19,4.23
95AA14W1,2349,872,1373,13,91,37.12,58.45,0.55,3.87
95AA15S1,2641,1091,1226,62,262,41.31,46.42,2.35,9.92
95AA15S2,1545,665,652,44,184,43.04,42.20,2.85,11.91
95AA16W1,1807,344,1276,14,173,19.04,70.61,0.77,9.57
95AA17W1,2142,813,1067,27,235,37.96,49.81,1.26,10.97
95AA18W1,2439,341,1891,37,170,13.98,77.53,1.52,6.97
95AA19W1,2687,2410,231,6,40,89.69,8.60,0.22,1.49
95BB01S1,1574,255,1197,14,108,16.20,76.05,0.89,6.86
95BB01S2,2035,150,1697,11,177,7.37,83.39,0.54,8.70
95BB02W1,2347,224,1881,33,209,9.54,80.14,1.41,8.90
95BB03S1,2026,59,1781,22,164,2.91,87.91,1.09,8.09
95BB03S2,2193,174,1782,31,206,7.93,81.26,1.41,9.39
95BB04S1,1438,127,1150,19,142,8.83,79.97,1.32,9.87
95BB04S2,1610,100,1388,5,117,6.21,86.21,0.31,7.27
95BB05S1,1490,54,1289,36,111,3.62,86.51,2.42,7.45
95BB05S2,1911,57,1658,18,178,2.98,86.76,0.94,9.31
95BB06W1,2870,335,2173,61,301,11.67,75.71,2.13,10.49
95BB07S1,1658,90,1367,21,180,5.43,82.45,1.27,10.86
95BB07S2,1295,28,1154,12,101,2.16,89.11,0.93,7.80
95BB08S1,1331,90,1087,24,130,6.76,81.67,1.80,9.77
95BB08S2,1294,69,1116,11,98,5.33,86.24,0.85,7.57
95BB09S1,1325,56,1138,7,124,4.23,85.89,0.53,9.36
95BB09S2,1618,74,1375,8,161,4.57,84.98,0.49,9.95
95BB10S1,1690,143,1347,27,173,8.46,79.70,1.60,10.24
95BB10S2,1637,107,1379,17,134,6.54,84.24,1.04,8.19
95BB11S1,1408,52,1214,17,125,3.69,86.22,1.21,8.88
95BB11S2,1547,88,1319,23,117,5.69,85.26,1.49,7.56
95BB12S1,1440,142,1039,39,220,9.86,72.15,2.71,15.28
95BB12S2,1336,91,1107,16,122,6.81,82.86,1.20,9.13
95BB13S1,1392,82,1130,16,164,5.89,81.18,1.15,11.78
95BB13S2,1472,128,1190,28,126,8.70,80.84,1.90,8.56
95BB13S3,1580,101,1281,9,189,6.39,81.08,0.57,11.96
95BB14S1,1510,81,1301,12,116,5.36,86.16,0.79,7.68
95BB14S2,1606,127,1306,18,155,7.91,81.32,1.12,9.65
